,Date,Price
0,2000-01-31,287790.18779198074
1,2000-02-29,289184.6240868446
2,2000-03-31,290617.6170333186
3,2000-04-30,293490.9128672884
4,2000-05-31,296693.34467145085
5,2000-06-30,299661.5953118596
6,2000-07-31,302850.46729778714
7,2000-08-31,305304.9500906773
8,2000-09-30,307357.70284328266
9,2000-10-31,308820.8543686303
10,2000-11-30,310373.20703058084
11,2000-12-31,312312.4317892764
12,2001-01-31,314718.9637869973
13,2001-02-28,317215.7948580584
14,2001-03-31,319488.07383499056
15,2001-04-30,321123.0373615922
16,2001-05-31,322187.1121248824
17,2001-06-30,323147.53879354737
18,2001-07-31,324182.29724606336
19,2001-08-31,325465.2967221262
20,2001-09-30,326436.08783108887
21,2001-10-31,327488.2222189894
22,2001-11-30,328397.12143299496
23,2001-12-31,329834.7736699427
24,2002-01-31,330790.39934937184
25,2002-02-28,331973.0107008533
26,2002-03-31,333297.777442075
27,2002-04-30,335168.44851141656
28,2002-05-31,337008.38787597977
29,2002-06-30,338294.0094783061
30,2002-07-31,339361.5168369815
31,2002-08-31,340578.047305586
32,2002-09-30,341832.32710269064
33,2002-10-31,343128.82565957325
34,2002-11-30,344469.57807788183
35,2002-12-31,345343.25530943245
36,2003-01-31,346928.858995398
37,2003-02-28,348225.78309884894
38,2003-03-31,350348.21137879184
39,2003-04-30,352006.0390413822
40,2003-05-31,354265.79451556184
41,2003-06-30,356299.9702585984
42,2003-07-31,358164.1128640722
43,2003-08-31,360190.14009988884
44,2003-09-30,362431.8735362435
45,2003-10-31,364743.8501389916
46,2003-11-30,366360.4438813601
47,2003-12-31,368309.9008670684
48,2004-01-31,370835.08111545927
49,2004-02-29,373953.3926536607
50,2004-03-31,376740.5152769688
51,2004-04-30,379957.14480480953
52,2004-05-31,384048.57285591634
53,2004-06-30,389092.57486969227
54,2004-07-31,393870.0877193821
55,2004-08-31,398037.6362391985
56,2004-09-30,401802.9430191163
57,2004-10-31,405086.253964003
58,2004-11-30,408259.5735211495
59,2004-12-31,411703.7424462394
60,2005-01-31,415730.4283777762
61,2005-02-28,419306.297757693
