,Date,Price
0,2000-01-31,180777.80570390823
1,2000-02-29,181180.02059656812
2,2000-03-31,181591.48258256933
3,2000-04-30,182422.3689060364
4,2000-05-31,183324.94571656652
5,2000-06-30,184188.7368704884
6,2000-07-31,185120.64932658055
7,2000-08-31,185987.58084003945
8,2000-09-30,186772.96611446448
9,2000-10-31,187462.17723551355
10,2000-11-30,188155.8491055416
11,2000-12-31,188981.0465335693
12,2001-01-31,189844.45266275367
13,2001-02-28,190701.7095722661
14,2001-03-31,191507.977355771
15,2001-04-30,192295.89321197217
16,2001-05-31,192976.20684033103
17,2001-06-30,193677.52469188216
18,2001-07-31,194343.07113208345
19,2001-08-31,195167.71948985287
20,2001-09-30,195919.7750108539
21,2001-10-31,196760.35118996573
22,2001-11-30,197499.18848873343
23,2001-12-31,198395.51324397876
24,2002-01-31,199165.45779552628
25,2002-02-28,199919.94182517807
26,2002-03-31,200593.0386083744
27,2002-04-30,201192.57872298383
28,2002-05-31,201712.74893542135
29,2002-06-30,202175.8006840298
30,2002-07-31,202777.20630137125
31,2002-08-31,203502.4826148536
32,2002-09-30,204222.8535588336
33,2002-10-31,204926.3649951513
34,2002-11-30,205588.13062825025
35,2002-12-31,206102.89016367216
36,2003-01-31,206670.4311637349
37,2003-02-28,207238.4125855193
38,2003-03-31,208096.25372732876
39,2003-04-30,209058.82557826044
40,2003-05-31,210261.56661936812
41,2003-06-30,211478.22319142424
42,2003-07-31,212755.14798553547
43,2003-08-31,214201.86061796627
44,2003-09-30,215687.1899031424
45,2003-10-31,217154.1881839902
46,2003-11-30,218381.8166392949
47,2003-12-31,219623.05905462743
48,2004-01-31,220927.0025332696
49,2004-02-29,222255.5946131916
50,2004-03-31,223661.00029634783
51,2004-04-30,225289.3550111492
52,2004-05-31,227377.1319126537
53,2004-06-30,229800.7197318568
54,2004-07-31,232269.84257248195
55,2004-08-31,234658.70384700733
56,2004-09-30,236887.5525993872
57,2004-10-31,239061.99188303264
58,2004-11-30,241294.71585736543
59,2004-12-31,243780.1294901992
60,2005-01-31,246327.8140219458
61,2005-02-28,248626.73549172227
62,2005-03-31,251160.67848303437
63,2005-04-30,254191.86605278568
64,2005-05-31,257758.37444610533
65,2005-06-30,261903.25310150688
66,2005-07-31,266450.66818483925
67,2005-08-31,271522.52345906314
68,2005-09-30,276364.1238379448
69,2005-10-31,280744.3871503397
70,2005-11-30,284791.5034148647
71,2005-12-31,288555.9157903161
72,2006-01-31,291913.9712245684
73,2006-02-28,295362.3103104961
74,2006-03-31,298901.49803652056
75,2006-04-30,302988.667663137
76,2006-05-31,307111.9746855652
77,2006-06-30,310997.7987204763
78,2006-07-31,314571.8796837413
79,2006-08-31,317798.9263260017
80,2006-09-30,320631.826741534
81,2006-10-31,323032.9876124846
82,2006-11-30,324732.70400586753
83,2006-12-31,325927.5015278677
84,2007-01-31,326832.1206173663
85,2007-02-28,327991.04603574035
86,2007-03-31,329753.49240963656
87,2007-04-30,331983.8438858425
88,2007-05-31,333954.87594227673
89,2007-06-30,335201.8038442806
90,2007-07-31,335736.8141039095
91,2007-08-31,336114.8318279112
92,2007-09-30,336244.78610448085
93,2007-10-31,335650.79721600976
94,2007-11-30,334323.0431017508
95,2007-12-31,332709.3525767548
96,2008-01-31,331096.3914054782
97,2008-02-29,329624.5952814798
98,2008-03-31,328165.57987751794
99,2008-04-30,326253.93275635067
100,2008-05-31,323777.0076198311
101,2008-06-30,320880.8796635479
102,2008-07-31,317994.5958413003
103,2008-08-31,314857.78921990184
104,2008-09-30,311661.57097162615
105,2008-10-31,308653.01177752553
106,2008-11-30,305729.2737321132
107,2008-12-31,302739.672984235
108,2009-01-31,300015.58489945834
109,2009-02-28,297216.4080675833
110,2009-03-31,294246.36022823263
111,2009-04-30,290438.57967870747
112,2009-05-31,286860.16297417297
113,2009-06-30,283740.6456272581
114,2009-07-31,281475.1986511412
115,2009-08-31,279513.9811025234
116,2009-09-30,277883.3865327173
117,2009-10-31,276807.1149871797
118,2009-11-30,276261.8314920067
119,2009-12-31,275869.9751695083
120,2010-01-31,274905.2416658345
121,2010-02-28,273826.4293944046
122,2010-03-31,272846.380230235
123,2010-04-30,272863.92807316995
124,2010-05-31,273175.7816361272
125,2010-06-30,272852.1367790205
126,2010-07-31,271308.6448605689
127,2010-08-31,268855.14702357864
128,2010-09-30,266377.4895475039
