Date,Price
2000-01-31,98995.2037997176
2000-02-29,99167.5862655962
2000-03-31,99281.22427243924
2000-04-30,99535.21799014596
2000-05-31,99817.68865560336
2000-06-30,100162.51173745158
2000-07-31,100484.55277009615
2000-08-31,100777.41930196476
2000-09-30,101091.48460138951
2000-10-31,101452.4335995654
2000-11-30,101860.07462398824
2000-12-31,102312.78227797971
2001-01-31,102817.79658147202
2001-02-28,103246.26853665232
2001-03-31,103597.94702965656
2001-04-30,103849.36395977988
2001-05-31,104097.23996258956
2001-06-30,104349.37123928498
2001-07-31,104637.04248571408
2001-08-31,104890.521173577
2001-09-30,105178.78219721928
2001-10-31,105512.47539455026
2001-11-30,105839.2200270596
2001-12-31,106084.54369963073
2002-01-31,106229.31046086586
2002-02-28,106389.74855215669
2002-03-31,106522.41573717968
2002-04-30,106668.56906619908
2002-05-31,106854.06534830068
2002-06-30,107087.05363897912
2002-07-31,107360.29799378796
2002-08-31,107606.80189421076
2002-09-30,107867.32293948004
2002-10-31,108128.16296380071
2002-11-30,108400.87027101703
2002-12-31,108679.803858227
2003-01-31,108921.20646048512
2003-02-28,109194.96385498894
2003-03-31,109474.37286828858
2003-04-30,109818.21037184366
2003-05-31,110122.58220672538
2003-06-30,110399.11069432295
2003-07-31,110662.55020073624
2003-08-31,110948.48694074016
2003-09-30,111257.37485090816
2003-10-31,111533.39615602874
2003-11-30,111810.71666759124
2003-12-31,112070.35932926236
2004-01-31,112338.1252754396
2004-02-29,112593.9222137272
2004-03-31,112877.09419615706
2004-04-30,113163.7069419924
2004-05-31,113516.7373355853
2004-06-30,113960.22711368828
2004-07-31,114492.27986851188
2004-08-31,114998.5731476152
2004-09-30,115463.1185401627
2004-10-31,115941.57074261912
2004-11-30,116513.27455138088
2004-12-31,117132.89043892908
2005-01-31,117666.56761255256
2005-02-28,118087.13164298028
2005-03-31,118401.22425497562
2005-04-30,118716.47904665564
2005-05-31,119056.59091862215
2005-06-30,119478.8516266568
2005-07-31,119968.23904669128
2005-08-31,120485.15359943574
2005-09-30,121020.18091355082
2005-10-31,121651.54666847542
2005-11-30,122438.63590547176
2005-12-31,123310.37107145488
2006-01-31,124200.1383788896
2006-02-28,125082.86793586034
2006-03-31,126059.83033560996
2006-04-30,127097.40432164323
2006-05-31,128126.45046033962
2006-06-30,129111.2074966254
2006-07-31,130025.92941143984
2006-08-31,130966.06312407188
2006-09-30,131783.16259556296
2006-10-31,132508.08645581917
2006-11-30,132956.35791525315
2006-12-31,133296.57046608973
2007-01-31,133487.95743014195
2007-02-28,133929.3749485577
2007-03-31,134469.69619995507
2007-04-30,135165.33609235458
2007-05-31,135585.18114493947
2007-06-30,135859.7429815426
2007-07-31,135948.93896074407
2007-08-31,136073.2230973109
2007-09-30,136173.5322020778
2007-10-31,136263.60793555886
2007-11-30,136251.57775907416
2007-12-31,136157.3228533248
2008-01-31,135953.24281708803
2008-02-29,135747.3612675129
2008-03-31,135513.48808618405
2008-04-30,135341.62337474685
2008-05-31,135226.96032238973
2008-06-30,135205.8079172888
2008-07-31,135150.85127165847
2008-08-31,134917.76455227213
2008-09-30,134643.70668203995
2008-10-31,134257.17687138938
2008-11-30,133938.46996250478
2008-12-31,133450.5616882857
2009-01-31,133024.7032969213
2009-02-28,132522.92614435006
2009-03-31,132026.66759594993
2009-04-30,131417.96054295852
2009-05-31,130823.029850182
2009-06-30,130204.71669738124
2009-07-31,129605.18788258418
2009-08-31,128985.08063510749
2009-09-30,128399.54906429864
2009-10-31,127920.3803790776
2009-11-30,127537.26474774396
2009-12-31,127227.68603585132
2010-01-31,127050.23068244518
2010-02-28,126925.82676091162
2010-03-31,126672.23086448095
2010-04-30,126309.72409834458
2010-05-31,125884.35061306167
2010-06-30,125466.23094346476
2010-07-31,124905.99660276771
2010-08-31,124283.63212761848
2010-09-30,123704.42805477482
2010-10-31,123227.7297590162
2010-11-30,122660.67105871568
2010-12-31,121995.4257830778
2011-01-31,121290.05369467952
2011-02-28,120683.6037753992
2011-03-31,120257.91304578826
2011-04-30,119919.21876413522
2011-05-31,119658.08362034368
2011-06-30,119381.65558002832
2011-07-31,119076.3137848068
2011-08-31,118767.19673378118
2011-09-30,118414.15727266169
2011-10-31,118053.63841521862
2011-11-30,117593.50987922744
2011-12-31,117211.69234502708
2012-01-31,117066.91954071146
2012-02-29,117124.79292367389
2012-03-31,117441.08614971153
2012-04-30,117931.93015118672
2012-05-31,118835.01986430916
2012-06-30,120137.77104866214
2012-07-31,121504.06971938616
2012-08-31,122505.13086576712
2012-09-30,123433.8075625208
2012-10-31,124268.5784337024
2012-11-30,125177.22126048408
2012-12-31,125798.93865718009
2013-01-31,126084.0347438518
2013-02-28,126228.28715012588
2013-03-31,126448.9059569639
2013-04-30,126913.1349085072
2013-05-31,127587.81015579676
2013-06-30,128179.640676813
2013-07-31,128582.1534778102
2013-08-31,128944.87608489806
2013-09-30,129242.9781061811
2013-10-31,129730.13557596016
2013-11-30,130036.82004006194
2013-12-31,130435.2722983096
2014-01-31,130786.20464696742
2014-02-28,131307.0607122743
2014-03-31,131698.96037698755
2014-04-30,132079.9054489996
2014-05-31,132416.52027045362
2014-06-30,132664.48853486212
2014-07-31,132966.83294265546
2014-08-31,133240.57005266656
2014-09-30,133376.05818918833
2014-10-31,133134.075059791
2014-11-30,132849.67231140367
2014-12-31,132666.02247694382
2015-01-31,132549.21004660448
2015-02-28,132423.86149157744
2015-03-31,132517.09376098242
2015-04-30,133011.18536402748
2015-05-31,133643.01281301046
2015-06-30,134174.99466051988
2015-07-31,134535.05650695358
2015-08-31,134862.15289760774
2015-09-30,135145.7520220797
2015-10-31,135550.8997845437
2015-11-30,135931.8623298297
2015-12-31,136481.61566806975
2016-01-31,137095.62349393053
2016-02-29,137784.8051119322
2016-03-31,138135.75645969188
2016-04-30,138482.69758319878
2016-05-31,138690.67502618805
2016-06-30,139032.05406034362
2016-07-31,139099.2611311154
2016-08-31,139276.86196547138
2016-09-30,139577.78059308077
2016-10-31,140085.72735334854
2016-11-30,140579.92918973343
2016-12-31,141079.71706848987
2017-01-31,141514.5626434783
2017-02-28,141823.725572178
2017-03-31,142013.458222317
2017-04-30,142184.88004694568
2017-05-31,142304.02419672385
2017-06-30,142388.40871702338
2017-07-31,142644.02049167838
2017-08-31,143091.78667313128
2017-09-30,143704.86771203263
2017-10-31,144335.7037271124
2017-11-30,144994.1303347123
2017-12-31,145571.64506209845
2018-01-31,146092.23265644343
2018-02-28,146520.430024925
2018-03-31,147218.51908952623
2018-04-30,147743.50451073714
2018-05-31,148212.1634829672
2018-06-30,148353.4989955672
2018-07-31,148760.80547392616
2018-08-31,149259.41149198334
2018-09-30,149857.21614686737
2018-10-31,150122.762830806
2018-11-30,150530.46028065763
2018-12-31,151054.42509802282
2019-01-31,151968.041631715
2019-02-28,153060.07552079446
2019-03-31,154334.7354428798
2019-04-30,155330.948330176
2019-05-31,155986.15234243
2019-06-30,156505.1598856464
2019-07-31,157157.13115113656
2019-08-31,157937.9346188428
2019-09-30,158539.21278760885
2019-10-31,159314.30556034762
2019-11-30,160369.9873326339
2019-12-31,161734.24925329362
2020-01-31,163003.4010916133
2020-02-29,164061.68190405052
2020-03-31,165145.96770849577
2020-04-30,166272.2887297956
2020-05-31,167222.7073620387
2020-06-30,168023.95221980326
2020-07-31,168880.09447571402
2020-08-31,170171.89284628787
2020-09-30,172087.5014844574
2020-10-31,174249.54404002006
2020-11-30,176532.9588463792
2020-12-31,178488.03980436348
2021-01-31,180326.5286430378
2021-02-28,182237.27544994792
2021-03-31,184318.60300891628
2021-04-30,186625.45341828803
2021-05-31,189213.7309211945
2021-06-30,192175.28306591208
2021-07-31,195106.84071456024
2021-08-31,197386.76213238516
2021-09-30,198840.4676368904
2021-10-31,200233.2407892272
2021-11-30,202159.1313137588
2021-12-31,204276.43531766985
2022-01-31,206633.1937030639
2022-02-28,208961.16927633257
2022-03-31,211472.8423226684
2022-04-30,214190.07110691167
2022-05-31,216621.84050935312
2022-06-30,219109.26573828535
2022-07-31,220550.7131553775
2022-08-31,221373.21337544452
2022-09-30,221230.6680319944
2022-10-31,220882.5281424994
2022-11-30,220301.19310657945
2022-12-31,219768.3407989872
2023-01-31,219324.61151853087
2023-02-28,219076.59918161275
2023-03-31,219443.375570429
2023-04-30,220508.8205704623
2023-05-31,222095.8709379164
2023-06-30,223485.97701155397
2023-07-31,224138.5880215302
2023-08-31,224147.4467939617
2023-09-30,223900.92971273532
2023-10-31,223691.5848214184
2023-11-30,223726.1638225993
2023-12-31,223664.6338932036
2024-01-31,223388.23881163343
2024-02-29,223299.6808074561
2024-03-31,224049.45154450543
2024-04-30,225448.2304959496
