Date,Price
2000-01-31,138595.25296871684
2000-02-29,138854.96891353358
2000-03-31,139183.52546343187
2000-04-30,139850.18669595706
2000-05-31,140599.83429090597
2000-06-30,141266.51108488577
2000-07-31,141948.8159496874
2000-08-31,142601.5598908943
2000-09-30,143330.42826024635
2000-10-31,144030.73559170004
2000-11-30,144710.15021538592
2000-12-31,145371.9771297821
2001-01-31,146016.5704122024
2001-02-28,146656.6174478936
2001-03-31,147295.35396181498
2001-04-30,147946.99135563025
2001-05-31,148609.87156040207
2001-06-30,149276.98875428518
2001-07-31,149908.15933210088
2001-08-31,150530.0800907629
2001-09-30,151156.42393143024
2001-10-31,151832.20505210606
2001-11-30,152536.50427313955
2001-12-31,153195.8503573587
2002-01-31,153747.57006715762
2002-02-28,154245.9869266765
2002-03-31,154790.44761234857
2002-04-30,155397.18264127613
2002-05-31,156011.68446279483
2002-06-30,156699.54753955096
2002-07-31,157440.75820505025
2002-08-31,158285.13871234248
2002-09-30,159010.63050662776
2002-10-31,159743.0160744417
2002-11-30,160406.46716071744
2002-12-31,161145.50696156794
2003-01-31,161834.4047553394
2003-02-28,162564.5325836979
2003-03-31,163234.57687454877
2003-04-30,163978.95332703716
2003-05-31,164745.4085887244
2003-06-30,165592.8372298483
2003-07-31,166469.07640135018
2003-08-31,167414.18959678288
2003-09-30,168472.78133561325
2003-10-31,169528.8224418322
2003-11-30,170451.3694975005
2003-12-31,171247.8698006077
2004-01-31,171961.73413467637
2004-02-29,172855.33807513744
2004-03-31,173940.62157893964
2004-04-30,175261.79386293617
2004-05-31,176873.1089362983
2004-06-30,178676.67963297386
2004-07-31,
2004-08-31,183616.0733178476
2004-09-30,186246.06897810477
2004-10-31,188961.4036284609
2004-11-30,191688.1181911078
2004-12-31,194947.3784436361
2005-01-31,198471.7430955623
2005-02-28,202768.7602713972
2005-03-31,207330.32503470805
2005-04-30,212803.2464507009
2005-05-31,219174.9805646304
2005-06-30,227195.3805887469
2005-07-31,236237.44200710396
2005-08-31,245168.0698862622
2005-09-30,254211.304355828
2005-10-31,262101.9970653505
2005-11-30,269342.4805852843
2005-12-31,274281.8067208217
2006-01-31,276864.26630828594
2006-02-28,280153.09303658985
