Date,Price
2000-01-31,86953.79055083347
2000-02-29,87069.34481525703
2000-03-31,87200.36849410574
2000-04-30,87480.8841990332
2000-05-31,87757.33804941108
2000-06-30,88022.97025036374
2000-07-31,88279.1313140316
2000-08-31,88570.52560259511
2000-09-30,88900.63761252463
2000-10-31,89232.05731780695
2000-11-30,89665.38798049201
2000-12-31,90156.79981453676
2001-01-31,90739.0250972589
2001-02-28,91114.75974061096
2001-03-31,91396.65285741596
2001-04-30,91572.47965217328
2001-05-31,91893.6170075143
2001-06-30,92258.82905706664
2001-07-31,92679.1693968078
2001-08-31,93028.67595208217
2001-09-30,93327.12008401442
2001-10-31,93517.22521264123
2001-11-30,93648.55224588954
2001-12-31,93727.50444176295
2002-01-31,93820.29565205023
2002-02-28,93966.1689160602
2002-03-31,94147.97805263467
2002-04-30,94358.56110150908
2002-05-31,94631.73012136792
2002-06-30,94959.54821632127
2002-07-31,95339.88602385398
2002-08-31,95672.35287655058
2002-09-30,96012.15508595058
2002-10-31,96388.122357429
2002-11-30,96777.32698432142
2002-12-31,97146.76024940192
2003-01-31,97403.09251576972
2003-02-28,97674.58999158585
2003-03-31,97942.53889349168
2003-04-30,98273.3618305261
2003-05-31,98673.5397370603
2003-06-30,99103.77800158777
2003-07-31,99579.6879570088
2003-08-31,100010.2222862637
2003-09-30,100467.78781867924
2003-10-31,100899.5537542844
2003-11-30,101309.81678643404
2003-12-31,101680.37799050412
2004-01-31,102057.8430724814
2004-02-29,102516.43346427169
2004-03-31,103041.59439375805
2004-04-30,103621.83333160456
2004-05-31,104165.55680320122
2004-06-30,104709.7175976808
2004-07-31,105237.26003269247
2004-08-31,105789.82329111044
2004-09-30,106355.4279913301
2004-10-31,106913.95699793774
2004-11-30,107454.04379863715
2004-12-31,107969.44606185432
2005-01-31,108589.62208556075
2005-02-28,109318.04555085524
2005-03-31,110123.87429649028
2005-04-30,110915.5190200591
2005-05-31,111668.83608674642
2005-06-30,112417.29706737412
2005-07-31,113189.29157230236
2005-08-31,113900.63955272216
2005-09-30,114624.76204004957
2005-10-31,115345.78860294748
2005-11-30,116160.57865453952
2005-12-31,116926.43250897064
2006-01-31,117588.0328706309
2006-02-28,118189.98254923656
2006-03-31,118782.53758040738
2006-04-30,119395.61225097589
2006-05-31,119978.66580645328
2006-06-30,120542.8008547955
2006-07-31,121075.77417081756
2006-08-31,121574.63132761855
2006-09-30,122063.89254929374
2006-10-31,122434.34729122928
2006-11-30,122751.5267660376
2006-12-31,123006.96085649332
2007-01-31,123243.19596872716
2007-02-28,123466.8551040138
2007-03-31,123638.92045083428
2007-04-30,123835.40134640026
2007-05-31,123932.92794006084
2007-06-30,124023.61052257128
2007-07-31,124087.61605436068
2007-08-31,124253.59812791571
2007-09-30,124371.78515021109
2007-10-31,124474.99551733908
2007-11-30,124471.68896095944
2007-12-31,124468.2066209256
2008-01-31,124425.20027506367
2008-02-29,124436.9632833539
2008-03-31,124469.9803435186
2008-04-30,124525.65401644412
2008-05-31,124478.87632358546
2008-06-30,124317.14369362942
2008-07-31,124117.47857429356
2008-08-31,123840.06613375728
2008-09-30,123566.77738031484
2008-10-31,123234.62972447336
2008-11-30,122927.37299531714
2008-12-31,122576.10788687704
2009-01-31,122200.84682043835
2009-02-28,121759.33290129346
2009-03-31,121292.48477495776
2009-04-30,120819.65496552268
2009-05-31,120439.35641536168
2009-06-30,120160.62208184566
2009-07-31,119888.66017420877
2009-08-31,119551.09722905858
2009-09-30,119155.89813100756
2009-10-31,118782.39211810156
2009-11-30,118577.94495196744
2009-12-31,118504.37361147592
2010-01-31,118590.08578933192
2010-02-28,118685.94305482274
2010-03-31,118811.8377348985
2010-04-30,118907.2262086154
2010-05-31,119007.81999730064
2010-06-30,119017.2742454494
2010-07-31,118842.85333716276
2010-08-31,118600.39992986876
2010-09-30,118195.48155135592
2010-10-31,117766.56304333512
2010-11-30,117225.67915201452
2010-12-31,116703.0015663394
2011-01-31,116245.37517635628
2011-02-28,115907.8009309108
2011-03-31,115695.0710778596
2011-04-30,115489.34695998288
2011-05-31,115207.43402807711
2011-06-30,114960.18168654131
2011-07-31,114800.21300752058
2011-08-31,114748.58412459196
2011-09-30,114742.87649202353
2011-10-31,114783.30312584266
2011-11-30,114796.1672667847
2011-12-31,114763.7457588746
2012-01-31,114744.47308502375
2012-02-29,114896.78885819802
2012-03-31,115134.2088710608
2012-04-30,115426.84079077872
2012-05-31,115822.10448107896
2012-06-30,116353.14426846131
2012-07-31,116970.49067844334
2012-08-31,117361.64926024136
2012-09-30,117726.64120337188
2012-10-31,117915.6748630985
2012-11-30,118125.59836944116
2012-12-31,118343.79788213328
2013-01-31,118616.33828980562
2013-02-28,118936.25303725616
2013-03-31,119272.98075132922
2013-04-30,119559.63970512846
2013-05-31,119766.14378872506
2013-06-30,119914.71958162224
2013-07-31,119938.05358429789
2013-08-31,120046.77105528676
2013-09-30,120209.07651154412
2013-10-31,120519.26646457256
2013-11-30,120592.85430219649
2013-12-31,120468.3706130504
2014-01-31,120464.18544514198
2014-02-28,120743.94066264608
2014-03-31,120986.84286581792
2014-04-30,121179.3853806817
2014-05-31,121464.18245375065
2014-06-30,121872.48802402052
2014-07-31,122300.08604347742
2014-08-31,122697.20415650668
2014-09-30,123041.04352355364
2014-10-31,123131.81969511676
2014-11-30,123192.44906152067
2014-12-31,123301.48503738968
2015-01-31,123473.18233494512
2015-02-28,123622.44485629372
2015-03-31,123886.96342670596
2015-04-30,124314.03458068706
2015-05-31,124716.31555461275
2015-06-30,125127.7587385762
2015-07-31,125618.98376314704
2015-08-31,126309.04221855
2015-09-30,127033.876959586
2015-10-31,127890.02743371631
2015-11-30,128540.69992968912
2015-12-31,129188.12171849344
2016-01-31,129890.24463777638
2016-02-29,130573.3518204415
2016-03-31,130937.41151753858
2016-04-30,131120.65738610082
2016-05-31,131295.91481796894
2016-06-30,131635.35209583447
2016-07-31,131802.3235412848
2016-08-31,132137.845445058
2016-09-30,132537.71258684833
2016-10-31,133132.10193381718
2016-11-30,133602.58382141634
2016-12-31,133987.05602256383
2017-01-31,134294.65379198338
2017-02-28,134543.1291057236
2017-03-31,134842.39652399512
2017-04-30,135194.17138219444
2017-05-31,135573.9845975879
2017-06-30,135853.22680650256
2017-07-31,136222.79885372505
2017-08-31,136575.2742749977
2017-09-30,137102.54932850148
2017-10-31,137651.46879274398
2017-11-30,138269.44928087544
2017-12-31,138858.85114678458
2018-01-31,139356.31225954613
2018-02-28,139756.1016833991
2018-03-31,140381.04076571207
2018-04-30,140882.0741671658
2018-05-31,141375.69767985234
2018-06-30,141417.26382296576
2018-07-31,141648.64687938316
2018-08-31,141813.88254963918
2018-09-30,142130.03450989586
2018-10-31,142155.957970715
2018-11-30,142397.59397667742
2018-12-31,142775.17019586635
2019-01-31,143376.71967523705
2019-02-28,144088.08684086768
2019-03-31,144866.666384819
2019-04-30,145690.5400207114
2019-05-31,146405.73468559058
2019-06-30,147198.82831039702
2019-07-31,147783.21826792238
2019-08-31,148209.73658523857
2019-09-30,148240.10556126604
2019-10-31,148498.77613523192
2019-11-30,148944.0076822916
2019-12-31,149662.28886109125
