Date,Price
2000-01-31,197834.0546312193
2000-02-29,198494.47683952568
2000-03-31,199379.07811579248
2000-04-30,201296.4604864864
2000-05-31,203516.94056219063
2000-06-30,205910.44913539363
2000-07-31,208445.91484728703
2000-08-31,211103.18253177463
2000-09-30,213778.41044510933
2000-10-31,216317.89391812985
2000-11-30,218819.7336357908
2000-12-31,221264.60584518904
2001-01-31,223337.87801222055
2001-02-28,225386.6744444211
2001-03-31,227688.72735419744
2001-04-30,230542.641514854
2001-05-31,233403.46540143408
2001-06-30,236014.29227594243
2001-07-31,238467.7014040562
2001-08-31,240837.73928503945
2001-09-30,243142.0224595968
2001-10-31,245305.7598685796
2001-11-30,247352.21095339497
2001-12-31,249275.0712549494
2002-01-31,250839.01670616792
2002-02-28,252422.1176233266
2002-03-31,254260.2034460368
2002-04-30,256722.55642782847
2002-05-31,259594.06042780692
2002-06-30,262783.63792006107
2002-07-31,266473.3641984133
2002-08-31,270459.17564597656
2002-09-30,274493.5563950807
2002-10-31,278334.73541452474
2002-11-30,282099.3814132186
2002-12-31,285810.9062934781
2003-01-31,289096.92451363464
2003-02-28,292155.67666741187
2003-03-31,295386.06209956825
2003-04-30,299136.9961289396
2003-05-31,303304.73817681166
2003-06-30,307176.9450840822
2003-07-31,311253.1948250883
2003-08-31,315550.2921841532
2003-09-30,320314.7430979644
2003-10-31,324973.01508600014
2003-11-30,329458.57138116815
2003-12-31,333788.2230389932
2004-01-31,338252.0381368179
2004-02-29,343269.2856175022
2004-03-31,348998.0333204859
2004-04-30,355569.8497965911
2004-05-31,363130.1786041176
2004-06-30,371559.747011184
2004-07-31,380206.1204657387
2004-08-31,388494.95555160736
2004-09-30,396366.1162621605
2004-10-31,403931.3185895525
2004-11-30,410614.1755005181
2004-12-31,417084.7511881034
2005-01-31,422861.472206743
2005-02-28,429105.7920956877
2005-03-31,435653.3089012168
2005-04-30,443042.1332044306
2005-05-31,450231.7189411866
2005-06-30,456901.2687890192
2005-07-31,463263.8744061145
2005-08-31,469703.5964541317
2005-09-30,476162.37011622166
2005-10-31,482505.1976527623
2005-11-30,487661.8864746007
2005-12-31,492234.1555485636
2006-01-31,496043.4216871662
2006-02-28,499458.3090821581
2006-03-31,502730.1319337299
2006-04-30,505680.6295448059
2006-05-31,508589.2588385469
2006-06-30,510599.5179073797
2006-07-31,511384.75206247607
2006-08-31,511437.06944328
2006-09-30,510389.5837552192
2006-10-31,509158.78207440814
2006-11-30,507836.9120614784
2006-12-31,506670.1151319845
2007-01-31,505721.051448982
2007-02-28,504603.0767576254
2007-03-31,503020.2150840778
2007-04-30,500973.56069831765
2007-05-31,497770.5883284574
2007-06-30,494069.50489785103
2007-07-31,489317.71084320656
2007-08-31,484336.9934920455
2007-09-30,478721.80884062615
