Date,Price
2000-01-31,183390.7684346756
2000-02-29,184041.35505305004
2000-03-31,184757.7614696328
2000-04-30,186355.28057504783
2000-05-31,188136.17108370725
2000-06-30,190054.6940124357
2000-07-31,191993.3696126668
2000-08-31,194102.8681770415
2000-09-30,196329.0700737747
2000-10-31,198559.80934329683
2000-11-30,200708.5176883588
2000-12-31,202756.838024801
2001-01-31,204797.7869906247
2001-02-28,206714.67564453743
2001-03-31,208659.6102157502
2001-04-30,210558.62238105235
2001-05-31,212453.12980335925
2001-06-30,214147.2395255212
2001-07-31,215819.8276235978
2001-08-31,217474.43338310192
2001-09-30,219023.24786797632
2001-10-31,220368.17654043785
2001-11-30,221452.8170485371
2001-12-31,222299.1390914897
2002-01-31,222779.29728651952
2002-02-28,223216.0474728601
2002-03-31,223842.6210757608
2002-04-30,224655.51014590616
2002-05-31,225574.1649016594
2002-06-30,226353.663191119
2002-07-31,227110.6385384086
2002-08-31,227645.3383081763
2002-09-30,228206.59516875364
2002-10-31,228770.17279654284
2002-11-30,229300.18443161083
2002-12-31,229585.94529067035
2003-01-31,229674.91169683644
2003-02-28,229724.05541949367
2003-03-31,230022.75670716583
2003-04-30,230388.3774532812
2003-05-31,230661.9585777246
2003-06-30,230793.87973363383
2003-07-31,230937.6184525661
2003-08-31,231154.90370429296
2003-09-30,231442.2438890823
2003-10-31,231709.19069729597
2003-11-30,232098.3649793272
2003-12-31,232525.020341498
2004-01-31,232903.0666529497
2004-02-29,233207.7528698888
2004-03-31,233553.24148534905
2004-04-30,234078.61180864065
2004-05-31,234766.98313785205
2004-06-30,235494.27883324292
2004-07-31,236165.74693969148
2004-08-31,236793.2233255515
2004-09-30,237185.763961014
2004-10-31,237583.73966930123
2004-11-30,237916.1153714202
2004-12-31,238464.4388903056
2005-01-31,239083.0494710528
2005-02-28,239567.21804826809
2005-03-31,240045.7359014159
2005-04-30,240584.40565862143
2005-05-31,241322.5451151187
2005-06-30,242006.48205461912
2005-07-31,242624.85280184992
2005-08-31,243229.61393300505
2005-09-30,243807.09088921724
2005-10-31,244462.51450538635
2005-11-30,245053.63106068465
2005-12-31,245668.4026913105
2006-01-31,246281.91967594196
2006-02-28,246716.8875985631
2006-03-31,247054.88601752423
2006-04-30,247331.1093947976
2006-05-31,247872.10255188943
2006-06-30,248380.3020688973
2006-07-31,248692.8051084983
2006-08-31,248975.4489971452
2006-09-30,249037.04823462028
2006-10-31,248944.89186557647
2006-11-30,248609.08296048117
2006-12-31,248481.57375651572
2007-01-31,248458.36968581253
2007-02-28,248364.70960883255
2007-03-31,248305.0324522869
2007-04-30,248444.85166465084
2007-05-31,248866.8446774468
2007-06-30,249324.0619649577
2007-07-31,249666.2137143128
2007-08-31,249830.23913847865
2007-09-30,249636.43836157292
2007-10-31,249169.3488130285
2007-11-30,248403.7118846967
2007-12-31,247501.7586002315
2008-01-31,246447.3332396997
2008-02-29,245472.7268756357
2008-03-31,244536.63908780905
2008-04-30,243713.1099985876
2008-05-31,242803.4927255088
2008-06-30,241911.21667100303
2008-07-31,240853.88991341044
2008-08-31,239841.61402900107
2008-09-30,238993.54068587045
2008-10-31,238320.40585853907
2008-11-30,237574.41976018823
2008-12-31,236731.7232577178
2009-01-31,235942.0784258553
2009-02-28,235475.26476048716
2009-03-31,235189.67743711543
2009-04-30,234978.62851068424
2009-05-31,234697.6825203384
2009-06-30,234346.8843835434
2009-07-31,233818.8141422364
2009-08-31,233302.20383750493
2009-09-30,232874.07706730277
2009-10-31,232651.87628812625
2009-11-30,232679.3267690653
2009-12-31,232885.8167393707
2010-01-31,233392.58902136455
2010-02-28,234008.36648473568
2010-03-31,234563.3247104052
2010-04-30,234768.8838791514
2010-05-31,234513.60370706383
2010-06-30,233892.536893628
2010-07-31,232994.12741235364
2010-08-31,231951.7394579604
2010-09-30,230844.8205268944
2010-10-31,229812.72638024727
2010-11-30,228857.54869166852
2010-12-31,227943.32083314031
2011-01-31,227179.7386590035
2011-02-28,226476.01782664275
2011-03-31,225805.85886413048
2011-04-30,225092.05414814115
2011-05-31,224169.44038379137
2011-06-30,223338.9880535364
2011-07-31,222554.7911439049
2011-08-31,222077.29070367964
2011-09-30,221812.19973052203
2011-10-31,221672.57234227643
2011-11-30,221657.12942426896
2011-12-31,221720.40856777888
2012-01-31,221989.82476176636
2012-02-29,222382.08873163568
2012-03-31,222843.80525695792
2012-04-30,223210.82469519624
2012-05-31,223789.57393531315
2012-06-30,224810.01141869687
2012-07-31,226316.45825224195
2012-08-31,228195.16519978916
2012-09-30,230367.3411187298
2012-10-31,232520.5667569627
2012-11-30,234524.05378914205
2012-12-31,236286.50709862835
2013-01-31,238061.09892688505
2013-02-28,239714.6272788657
2013-03-31,241020.97862105325
2013-04-30,242177.77560233325
2013-05-31,243508.02567711635
2013-06-30,245305.87937307023
2013-07-31,247412.6679856528
2013-08-31,249605.0893019034
2013-09-30,251703.81008435044
2013-10-31,253694.11570338596
2013-11-30,255414.7774136779
2013-12-31,256992.4944509953
2014-01-31,258309.63199283308
2014-02-28,259644.0975110339
2014-03-31,260914.98437439805
2014-04-30,262371.8364319872
2014-05-31,263940.6976361025
2014-06-30,265525.8796720772
2014-07-31,267200.84477542987
2014-08-31,268880.615561534
2014-09-30,270954.0859148323
2014-10-31,273188.30232948967
2014-11-30,275699.80762399803
2014-12-31,278392.12656030845
2015-01-31,281489.49102981755
2015-02-28,284972.6622829113
2015-03-31,288363.7082527404
2015-04-30,291507.2700670995
2015-05-31,294373.2762791162
2015-06-30,297137.2308719989
2015-07-31,300046.6345536525
2015-08-31,303104.6022856887
2015-09-30,306327.0269657094
2015-10-31,309330.27452095505
2015-11-30,312226.5891849752
2015-12-31,315043.4602401576
2016-01-31,317966.1143226567
2016-02-29,320789.2935010648
2016-03-31,323559.0782251436
2016-04-30,326490.4551361177
2016-05-31,329367.66462488496
2016-06-30,332058.93486941577
2016-07-31,334288.67163764185
2016-08-31,336065.6267975396
2016-09-30,337687.8917873858
2016-10-31,339615.95788008394
2016-11-30,342162.9803740518
2016-12-31,345203.7921185863
2017-01-31,348159.06300357607
2017-02-28,351298.4085541284
2017-03-31,354473.47803806496
2017-04-30,357742.2193805652
2017-05-31,360488.7505011344
2017-06-30,362540.2732838925
2017-07-31,363843.6045232625
2017-08-31,364863.8692867245
2017-09-30,366124.83865861065
2017-10-31,367867.3069884947
2017-11-30,370066.3607841838
2017-12-31,372733.1022559102
2018-01-31,375637.19558310433
2018-02-28,378582.1352082608
2018-03-31,381443.9689707073
2018-04-30,383993.6445195092
2018-05-31,386413.2013795924
2018-06-30,388222.3236389759
2018-07-31,390210.8610677389
2018-08-31,391842.2024669124
2018-09-30,393453.9740547928
2018-10-31,394662.3359679824
2018-11-30,395845.4169150975
2018-12-31,397179.4835092845
2019-01-31,398718.02406385815
2019-02-28,400759.45413854736
2019-03-31,403002.1094244471
2019-04-30,405016.106452232
2019-05-31,406061.1774233693
2019-06-30,406693.3067967391
2019-07-31,407161.6490831564
2019-08-31,408012.4195705547
2019-09-30,408899.822383812
2019-10-31,410232.5162175835
2019-11-30,412051.4540940524
2019-12-31,414192.3135282775
2020-01-31,416514.55150512094
2020-02-29,419089.26243249
2020-03-31,422054.99125078897
2020-04-30,424926.5417021035
2020-05-31,426314.3541743309
2020-06-30,426564.92696773866
2020-07-31,426829.5513989823
2020-08-31,428769.8443821611
2020-09-30,432885.4616045331
2020-10-31,438324.70292550937
2020-11-30,444487.6132426325
2020-12-31,450455.9621125385
2021-01-31,456201.5129070082
2021-02-28,462757.574792401
2021-03-31,470789.08800815255
2021-04-30,480120.6143718324
2021-05-31,490129.53368042735
2021-06-30,499821.2473265592
2021-07-31,507744.83492851694
2021-08-31,513035.0050338269
2021-09-30,516177.9950444992
2021-10-31,519461.5330102046
2021-11-30,524062.3448765317
2021-12-31,529741.3170393478
2022-01-31,537561.3656783832
2022-02-28,547722.5258792085
2022-03-31,560384.7080436569
2022-04-30,572805.2048314667
2022-05-31,582795.4846155356
2022-06-30,588770.5768440501
2022-07-31,589173.9042130271
2022-08-31,584984.9522755764
2022-09-30,578442.4631516016
2022-10-31,573179.8980756599
2022-11-30,569129.3259995097
2022-12-31,565746.5010483757
2023-01-31,561971.3845749468
2023-02-28,558728.5206859192
2023-03-31,555993.5335894584
2023-04-30,554572.3161016576
2023-05-31,554506.0782644156
2023-06-30,556036.8374494063
2023-07-31,558237.1584000033
2023-08-31,560606.0216186541
2023-09-30,562576.4780590972
2023-10-31,563880.7876465452
2023-11-30,564278.2385951843
2023-12-31,564161.0501001975
2024-01-31,563713.5910879605
2024-02-29,563804.5366026353
2024-03-31,564553.4413840037
