Date,Price
2000-01-31,173716.15642670818
2000-02-29,174371.25381240068
2000-03-31,175060.6402770601
2000-04-30,176225.63792554903
2000-05-31,177178.4968227127
2000-06-30,178124.65230876487
2000-07-31,179188.16214699086
2000-08-31,180467.53867858744
2000-09-30,181813.64490115704
2000-10-31,183271.6539195261
2000-11-30,184762.40763444052
2000-12-31,186105.24986371724
2001-01-31,187282.62472109764
2001-02-28,188233.15846485388
2001-03-31,189278.117190728
2001-04-30,190494.15448192283
2001-05-31,191883.7338300381
2001-06-30,193293.00160675004
2001-07-31,194652.65589400544
2001-08-31,196425.07171334495
2001-09-30,198385.85671505277
2001-10-31,200599.70766891132
2001-11-30,202532.95370417996
2001-12-31,204151.01790412204
2002-01-31,205439.03474613884
2002-02-28,206602.7951739571
2002-03-31,207933.57656329023
2002-04-30,209500.6447602537
2002-05-31,211384.88283886947
2002-06-30,213543.2097108649
2002-07-31,215854.8492311816
2002-08-31,218098.09764513603
2002-09-30,220099.54127711416
2002-10-31,222448.4131663722
2002-11-30,225108.8928420977
2002-12-31,227707.82334348423
2003-01-31,229883.6408387158
2003-02-28,231529.83960667808
2003-03-31,233285.15172618616
2003-04-30,235252.68484144929
2003-05-31,237649.3807028425
2003-06-30,240158.168208043
2003-07-31,242679.57135485808
2003-08-31,245028.1037291972
2003-09-30,247540.6209506347
2003-10-31,249778.52297285871
2003-11-30,252218.71130644815
2003-12-31,254542.179769907
2004-01-31,256763.29451691228
2004-02-29,258587.45594857857
2004-03-31,260322.2060701102
2004-04-30,262437.0611008751
2004-05-31,265063.8782377295
2004-06-30,268083.5985486335
2004-07-31,271174.9956667509
2004-08-31,274113.65082808305
2004-09-30,276941.62200508843
2004-10-31,280017.840399586
2004-11-30,283330.74841980555
2004-12-31,286414.135023671
2005-01-31,288833.6775286654
2005-02-28,290793.65176690853
2005-03-31,293080.8230601168
2005-04-30,295789.2538435228
2005-05-31,298851.88171861536
2005-06-30,301919.71312744933
2005-07-31,304917.79685971275
2005-08-31,307997.1518946597
2005-09-30,311069.15680891153
2005-10-31,314222.44608780456
2005-11-30,317167.40089445794
2005-12-31,319620.9520887314
2006-01-31,321414.9813487617
2006-02-28,322302.54595468024
2006-03-31,323677.3886159942
2006-04-30,325286.1824694655
2006-05-31,327352.65632828465
2006-06-30,328567.54294482694
2006-07-31,329383.1484184851
2006-08-31,329640.56662438146
2006-09-30,329631.2969459274
2006-10-31,329223.88757014857
2006-11-30,328574.9236219024
2006-12-31,327928.49287771777
2007-01-31,327679.6381089065
2007-02-28,327665.2905417694
2007-03-31,327706.8396440658
2007-04-30,327497.120753967
2007-05-31,327107.9418457353
2007-06-30,326354.5213692915
2007-07-31,325410.581880377
2007-08-31,324553.9533015173
2007-09-30,323960.6785921704
2007-10-31,323381.7674224135
2007-11-30,322402.82896956993
2007-12-31,321181.35627977905
2008-01-31,319062.61405866867
2008-02-29,316785.86582250294
2008-03-31,314153.820845892
2008-04-30,312160.6507087339
2008-05-31,310583.0647454895
2008-06-30,309272.7925864792
2008-07-31,307718.1075147106
2008-08-31,305601.6442603709
2008-09-30,302976.93249824835
2008-10-31,300202.1425356902
2008-11-30,297551.51890026336
2008-12-31,295346.75038143323
2009-01-31,293410.4749661689
2009-02-28,292195.85235866235
2009-03-31,290733.6129264135
2009-04-30,289321.20261573495
2009-05-31,287185.4416820616
2009-06-30,285021.55846379884
2009-07-31,282739.1991172059
2009-08-31,281076.0702637289
2009-09-30,279679.7714029144
2009-10-31,278568.61865055125
2009-11-30,277109.97198045155
2009-12-31,275698.7873066761
2010-01-31,274364.3766337769
2010-02-28,273737.4536659425
2010-03-31,273788.8908164424
2010-04-30,274579.66395467584
2010-05-31,275290.3831966528
2010-06-30,275850.3995951113
2010-07-31,275606.5491528423
2010-08-31,274853.4700410796
2010-09-30,273574.969712643
2010-10-31,271644.9519549166
2010-11-30,269237.9327751934
2010-12-31,266852.5703911117
2011-01-31,265472.3968570844
2011-02-28,264807.1778063647
2011-03-31,263911.5706590838
2011-04-30,262805.2903955476
2011-05-31,261396.37638183276
2011-06-30,260425.5425729704
2011-07-31,259159.69746838068
2011-08-31,257606.94757198685
2011-09-30,255703.4833118741
2011-10-31,253664.6702286386
2011-11-30,251975.09928626852
2011-12-31,250425.48999062864
2012-01-31,249171.9293993881
2012-02-29,248317.03103072336
2012-03-31,248155.65378569392
2012-04-30,248212.29665204397
2012-05-31,248007.2938942958
2012-06-30,247542.27229894584
2012-07-31,246994.3576102073
2012-08-31,246415.1597378472
2012-09-30,245711.52893716889
2012-10-31,245089.49253310703
2012-11-30,244897.87822203487
2012-12-31,245075.34673596476
2013-01-31,245739.1063125703
2013-02-28,246599.95763305575
2013-03-31,247303.37155602404
2013-04-30,247843.4418239114
2013-05-31,248349.03381551887
2013-06-30,249020.18415814865
2013-07-31,249762.9596386249
2013-08-31,250391.00735619105
2013-09-30,250854.51079187996
2013-10-31,251322.5934138116
2013-11-30,251755.68642869516
2013-12-31,252229.0743321581
2014-01-31,252606.8831687176
2014-02-28,252899.75916651016
2014-03-31,253347.91776642585
2014-04-30,253926.19047120865
2014-05-31,254690.0121484604
2014-06-30,255125.07498774384
2014-07-31,255288.51508369544
2014-08-31,255026.1336625987
2014-09-30,254606.3244139294
2014-10-31,253899.579759316
2014-11-30,253618.5234024104
2014-12-31,253509.56835146144
2015-01-31,253710.76312547308
2015-02-28,253754.0870751321
2015-03-31,254150.3093233588
2015-04-30,254628.31708118427
2015-05-31,255164.1538470037
2015-06-30,255355.328846543
2015-07-31,255651.0508159701
2015-08-31,255943.0744258956
2015-09-30,256351.273073029
2015-10-31,256747.0213995763
2015-11-30,257170.76743978367
2015-12-31,257369.27383668488
2016-01-31,257697.15118773584
2016-02-29,257741.5042073652
2016-03-31,257865.58282956007
2016-04-30,257752.99351132344
2016-05-31,258020.0452952498
2016-06-30,258323.82603558988
