Date,Price
2000-01-31,149706.04255721386
2000-02-29,149938.04117870648
2000-03-31,150225.83045872784
2000-04-30,150885.32223557748
2000-05-31,151640.12180209617
2000-06-30,152476.21836787046
2000-07-31,153325.51509782573
2000-08-31,154149.4709038988
2000-09-30,154906.65975851764
2000-10-31,155582.76054047782
2000-11-30,156413.75586621158
2000-12-31,157188.62476289933
2001-01-31,158050.28122234988
2001-02-28,158757.0994067177
2001-03-31,159529.9686434247
2001-04-30,160267.4999430369
2001-05-31,161030.24695342462
2001-06-30,161779.3492647718
2001-07-31,162493.31895989532
2001-08-31,163249.15789250573
2001-09-30,164053.82438580025
2001-10-31,164910.7753846119
2001-11-30,165804.24276527335
2001-12-31,166714.91222324283
2002-01-31,167643.48360736552
2002-02-28,168572.3392473399
2002-03-31,169563.81926509694
2002-04-30,170605.85487496783
2002-05-31,171638.68738476574
2002-06-30,172738.19038838657
2002-07-31,173865.37282787848
2002-08-31,175084.9233115688
2002-09-30,176230.9394406303
2002-10-31,177403.059444853
2002-11-30,178560.75374817243
2002-12-31,179826.97913582972
2003-01-31,181157.52769469944
2003-02-28,182590.47652458836
2003-03-31,184098.17880268252
2003-04-30,185679.6053895227
2003-05-31,187333.2670312793
2003-06-30,188926.91326000504
2003-07-31,190519.4313161529
2003-08-31,192156.83950735533
2003-09-30,193981.4242450594
2003-10-31,195777.7593481961
2003-11-30,197400.67338981156
2003-12-31,198810.1667620934
2004-01-31,200224.4999374148
2004-02-29,201666.47420395724
2004-03-31,203161.5797699052
2004-04-30,205008.94254690423
2004-05-31,207235.28486361133
2004-06-30,209944.606446053
2004-07-31,212739.7766234743
2004-08-31,215499.00368200484
2004-09-30,218088.13266907912
2004-10-31,220885.9070579196
2004-11-30,224256.499178572
2004-12-31,228431.05485640827
2005-01-31,231859.16440847595
2005-02-28,234298.8410964272
2005-03-31,236178.8032547857
2005-04-30,238439.35603860448
2005-05-31,241705.78653903643
2005-06-30,244426.9630990556
2005-07-31,246820.45258957203
2005-08-31,248934.54317457395
2005-09-30,251654.1064322436
2005-10-31,254833.9706601797
2005-11-30,257465.43066615643
2005-12-31,259677.7867140196
2006-01-31,261717.09776671705
2006-02-28,264065.47119163384
2006-03-31,266603.8043312573
2006-04-30,269065.1573181639
2006-05-31,271290.2018310642
2006-06-30,273077.05100945296
2006-07-31,274715.3353827489
2006-08-31,276185.64318226575
2006-09-30,277455.4701347235
2006-10-31,278766.19240241725
2006-11-30,279286.48006150406
2006-12-31,279510.24265222665
2007-01-31,278871.9349814059
2007-02-28,278546.26184737706
2007-03-31,278448.3588512982
2007-04-30,278982.9568913702
2007-05-31,279767.31292392995
2007-06-30,280771.32550994394
2007-07-31,281322.6505389928
2007-08-31,281540.96252305224
2007-09-30,281300.3082204522
2007-10-31,281186.66881514987
2007-11-30,280673.0940112494
2007-12-31,279596.32029618305
2008-01-31,277824.9652426857
2008-02-29,276170.85018096113
2008-03-31,275363.7742783054
2008-04-30,274995.5183795053
2008-05-31,274368.0785812622
2008-06-30,272791.7211251051
2008-07-31,270790.93779527064
2008-08-31,268543.00686186046
2008-09-30,266557.4762906241
2008-10-31,264379.8011012993
2008-11-30,262545.77792502294
2008-12-31,260746.48925221447
2009-01-31,259276.66669202523
2009-02-28,257884.8280913823
2009-03-31,256378.78041846235
2009-04-30,254952.04152507533
2009-05-31,253265.60883172063
2009-06-30,251740.75978940367
2009-07-31,250420.780667875
2009-08-31,249547.1546012553
2009-09-30,248810.41279016944
2009-10-31,248180.6050194928
