Date,Price
2000-01-31,113641.1022805443
2000-02-29,113895.2073104544
2000-03-31,114198.4298126208
2000-04-30,114806.2140793654
2000-05-31,115456.45229855493
2000-06-30,116114.46000997076
2000-07-31,116777.14154787168
2000-08-31,117451.31596562012
2000-09-30,118154.24004242085
2000-10-31,118878.53520151413
2000-11-30,119630.59252189651
2000-12-31,120402.49596380947
2001-01-31,121107.31805889931
2001-02-28,121805.53191263787
2001-03-31,122528.2621651014
2001-04-30,123373.61380433686
2001-05-31,124290.16876035358
2001-06-30,125247.40072590415
2001-07-31,126270.88903557214
2001-08-31,127353.05771123164
2001-09-30,128468.11756060824
2001-10-31,129586.3690654622
2001-11-30,130663.63526472154
2001-12-31,131722.8782350116
2002-01-31,132679.9446154639
2002-02-28,133560.93795559864
2002-03-31,134423.958355108
2002-04-30,135393.15755663574
2002-05-31,136456.2853053887
2002-06-30,137568.32068243952
2002-07-31,138696.98433590098
2002-08-31,139901.45142448443
2002-09-30,141089.25482144672
2002-10-31,142281.9126337869
2002-11-30,143414.3633620148
2002-12-31,144632.7430304346
2003-01-31,145829.52565717857
2003-02-28,147060.13497593658
2003-03-31,148323.46695242988
2003-04-30,149727.2858371172
2003-05-31,151207.03586016377
2003-06-30,152684.8169085133
2003-07-31,154158.74162753616
2003-08-31,155681.98901560646
2003-09-30,157267.35776237273
2003-10-31,158883.07772849966
2003-11-30,160471.6105730451
2003-12-31,162003.32369953886
2004-01-31,163463.54850426692
2004-02-29,164908.98259542725
2004-03-31,166486.67235228245
2004-04-30,168298.35273991703
2004-05-31,170420.27934985407
2004-06-30,172837.41632661107
2004-07-31,175530.77769138382
2004-08-31,178505.02492383658
2004-09-30,181518.26221218737
2004-10-31,184407.2854521817
2004-11-30,187112.6644560649
2004-12-31,189863.1831945088
2005-01-31,192688.14890831205
2005-02-28,195699.81016558103
2005-03-31,199076.41010238664
2005-04-30,203058.09028732512
2005-05-31,207493.35940771157
2005-06-30,212325.4566497466
2005-07-31,217502.72140427865
2005-08-31,222878.2625733892
2005-09-30,228147.33190869688
2005-10-31,233015.26294940748
2005-11-30,237558.1943695757
2005-12-31,241855.16751409147
2006-01-31,245810.07840376385
2006-02-28,249466.36240614532
2006-03-31,253219.192785888
2006-04-30,257384.00296025592
2006-05-31,261377.1930083624
2006-06-30,264711.2738545256
2006-07-31,266975.9235986231
2006-08-31,268447.1801511312
2006-09-30,269034.14872504445
2006-10-31,268996.557369417
2006-11-30,268542.006256839
2006-12-31,267706.0246952429
2007-01-31,266668.8903891633
2007-02-28,265596.14087604213
2007-03-31,264423.0494285939
2007-04-30,263113.76593248267
2007-05-31,261393.3388643372
2007-06-30,259156.6659607224
2007-07-31,256365.27671677084
2007-08-31,253220.4561762258
2007-09-30,249997.6276784856
2007-10-31,246661.157686772
2007-11-30,243209.42337620343
2007-12-31,239678.75344204
2008-01-31,235928.2598818816
2008-02-29,232231.17155798167
2008-03-31,228307.58843544556
2008-04-30,224483.89652949697
2008-05-31,220332.2746646128
2008-06-30,216290.8765823874
2008-07-31,212140.1689993585
2008-08-31,207846.30228149224
2008-09-30,203508.4551028629
2008-10-31,199123.456524741
2008-11-30,194777.9820458116
2008-12-31,190589.899575954
2009-01-31,186634.7389884721
2009-02-28,183147.44710593825
2009-03-31,179890.45547710723
2009-04-30,176632.11494007788
2009-05-31,173485.64364761498
2009-06-30,170480.12022954095
2009-07-31,167956.57172586225
2009-08-31,165644.32472597586
2009-09-30,163526.76945236418
2009-10-31,161736.20008367536
2009-11-30,160575.80470736083
2009-12-31,159738.04604488614
2010-01-31,159101.16700396364
2010-02-28,158543.07619979334
2010-03-31,158175.57916420046
2010-04-30,157847.97584516442
2010-05-31,157403.534567659
2010-06-30,156717.9279441597
2010-07-31,155735.563152027
2010-08-31,154490.54129766542
2010-09-30,153102.12986523358
2010-10-31,151665.04854977588
2010-11-30,150186.72360147734
2010-12-31,148758.92980660117
2011-01-31,147320.81039591372
2011-02-28,145959.0581942327
2011-03-31,144574.86942219187
2011-04-30,143225.19835713488
2011-05-31,141876.04048349548
2011-06-30,140659.14720329552
2011-07-31,139543.10776904473
2011-08-31,138659.7540612468
2011-09-30,137985.10888233688
2011-10-31,137578.67746889484
2011-11-30,137341.73438586245
2011-12-31,137210.4175325017
2012-01-31,137194.7274467252
2012-02-29,137300.03008967472
2012-03-31,137486.5723290887
2012-04-30,137851.64015864712
2012-05-31,138288.3278563864
2012-06-30,138883.33019167258
2012-07-31,139474.1786681701
2012-08-31,140012.9438772433
2012-09-30,140588.35800664112
2012-10-31,141305.97052371886
2012-11-30,142347.29506873665
2012-12-31,143755.64553395667
2013-01-31,145362.5184807847
2013-02-28,147002.33306896532
2013-03-31,148687.0264692357
2013-04-30,150449.98445625973
2013-05-31,152467.64644656706
2013-06-30,154465.91365327605
2013-07-31,156401.71962558365
2013-08-31,158245.10051322504
2013-09-30,160005.68856698807
2013-10-31,161862.67747086257
2013-11-30,163517.1048346197
2013-12-31,165232.39696344387
2014-01-31,166857.971600638
2014-02-28,168571.5420448087
2014-03-31,170151.2788617786
2014-04-30,171523.71795551138
2014-05-31,172866.84827140547
2014-06-30,173958.5008771379
2014-07-31,175090.89660780373
2014-08-31,176060.93799835615
2014-09-30,177090.9461874701
2014-10-31,177967.3905477703
2014-11-30,179058.912961574
2014-12-31,180359.0795596256
2015-01-31,181778.99286757875
2015-02-28,183036.26978234493
2015-03-31,184146.58822673032
2015-04-30,185277.7838798673
2015-05-31,186581.12868296492
2015-06-30,187927.79802867284
2015-07-31,189457.5336540911
2015-08-31,191040.05620551345
2015-09-30,192772.12526579155
2015-10-31,194561.99245192323
2015-11-30,196297.9737023568
2015-12-31,197905.36297127663
2016-01-31,199416.54669533175
2016-02-29,200854.31371219968
2016-03-31,202149.15577152703
2016-04-30,203514.715795345
2016-05-31,204906.15966396267
2016-06-30,206415.2856368897
2016-07-31,207771.3770167262
2016-08-31,209156.5339587
2016-09-30,210710.25086154995
2016-10-31,212403.75687080063
2016-11-30,213948.96487807148
2016-12-31,215258.03330692544
2017-01-31,216436.50561350715
2017-02-28,217754.95401376975
2017-03-31,219280.70753882575
2017-04-30,220907.6480258325
2017-05-31,222358.0534370004
2017-06-30,223822.5362301849
2017-07-31,225179.00079266285
2017-08-31,226673.78613633977
2017-09-30,228148.76554928775
2017-10-31,229740.11802783437
2017-11-30,231380.41211969813
2017-12-31,233081.28783286468
2018-01-31,234616.9094468142
2018-02-28,235958.52094932093
2018-03-31,237281.223305392
2018-04-30,238590.905014611
2018-05-31,239960.78749026472
2018-06-30,241146.60297315771
2018-07-31,242609.05478226728
2018-08-31,244045.42359086883
2018-09-30,245485.32677239983
2018-10-31,246693.49799042768
2018-11-30,247945.33972991095
2018-12-31,249283.7656742221
2019-01-31,250477.3075181578
2019-02-28,251582.83577386237
2019-03-31,252370.00270923864
2019-04-30,252975.8055043494
2019-05-31,253319.30140953485
2019-06-30,253773.7513249238
2019-07-31,254346.1766009313
2019-08-31,255118.11802196444
2019-09-30,255886.72109188643
2019-10-31,256886.77731971527
2019-11-30,258230.5242862543
2019-12-31,259876.51731921345
2020-01-31,261851.23904237407
2020-02-29,263738.7020117597
2020-03-31,265420.7053378674
2020-04-30,266491.31119549467
2020-05-31,266826.3886007093
2020-06-30,267028.5354271526
2020-07-31,267705.0196268292
2020-08-31,269462.9803290321
2020-09-30,272250.94124514074
2020-10-31,275524.1635009544
2020-11-30,279330.2240110774
2020-12-31,283115.0970154589
2021-01-31,287117.27479137207
2021-02-28,291160.9206652497
2021-03-31,295433.4786075493
2021-04-30,300047.3117522504
2021-05-31,305529.46622046054
2021-06-30,312147.2372047144
2021-07-31,318850.14996896003
2021-08-31,324704.5102737767
2021-09-30,329381.11685930984
2021-10-31,333978.3314249389
2021-11-30,339167.1305224498
2021-12-31,344801.9066627133
2022-01-31,351999.57406818034
2022-02-28,360451.68082671583
2022-03-31,370464.2557240315
2022-04-30,380859.8424283193
2022-05-31,390724.5080161996
2022-06-30,399356.732992207
2022-07-31,405133.35956057726
2022-08-31,407917.4533611354
2022-09-30,408017.7073858909
2022-10-31,407231.6754733894
2022-11-30,406179.1922358144
2022-12-31,405045.42209804
2023-01-31,403489.8622847956
2023-02-28,402261.7165254739
2023-03-31,401831.530073898
2023-04-30,402305.89812840015
2023-05-31,403405.2762623204
2023-06-30,405143.18740726425
2023-07-31,406973.8552266662
2023-08-31,408774.3671968998
2023-09-30,410054.09907969617
2023-10-31,411257.72811885056
2023-11-30,412367.4017956444
2023-12-31,413454.38233151456
2024-01-31,414331.2733687938
2024-02-29,415262.98489824566
2024-03-31,416306.5327100741
2024-04-30,417228.1399631901
