Date,Price
2000-01-31,125279.45250204962
2000-02-29,125557.56708724974
2000-03-31,125879.96891857072
2000-04-30,126559.87962398073
2000-05-31,127311.91521860391
2000-06-30,128108.96163073432
2000-07-31,128913.48764828478
2000-08-31,129765.0217026651
2000-09-30,130634.60517443204
2000-10-31,131540.01347742326
2000-11-30,132438.66011460937
2000-12-31,133394.53051971292
2001-01-31,134325.9723823338
2001-02-28,135125.01126994254
2001-03-31,135806.6568927778
2001-04-30,136432.7250508406
2001-05-31,137128.2783588177
2001-06-30,137823.88114464455
2001-07-31,138519.81792236006
2001-08-31,139227.3250172574
2001-09-30,139931.78504584162
2001-10-31,140627.07391990733
2001-11-30,141253.96294243672
2001-12-31,141837.5948576214
2002-01-31,142335.36156184602
2002-02-28,142818.82269183442
2002-03-31,143261.8959496121
2002-04-30,143734.35039886972
2002-05-31,144217.66950679765
2002-06-30,144711.30778787463
2002-07-31,145179.32765931977
2002-08-31,145631.13882579713
2002-09-30,146093.61493626327
2002-10-31,146578.65369936737
2002-11-30,147015.28824706934
2002-12-31,147382.9288694372
2003-01-31,147693.8655469475
2003-02-28,147982.30747059392
2003-03-31,148296.05090873604
2003-04-30,148612.18460791442
2003-05-31,148927.1047240292
2003-06-30,149227.2184784925
2003-07-31,149526.29711274244
2003-08-31,149892.77351398068
2003-09-30,150287.4876594031
2003-10-31,150687.8762999426
2003-11-30,151044.81485286946
2003-12-31,151413.09925149858
2004-01-31,151730.02087020822
2004-02-29,152043.4577333097
2004-03-31,152349.1079587421
2004-04-30,152760.0816656107
2004-05-31,153218.27180204718
2004-06-30,153678.90674675847
2004-07-31,154124.93409941727
2004-08-31,154634.90537155714
2004-09-30,155193.67078424012
2004-10-31,155791.87319866972
2004-11-30,156316.45994385937
2004-12-31,156776.87290890774
2005-01-31,157128.96886551767
2005-02-28,157459.0044210565
2005-03-31,157796.48993870322
2005-04-30,158271.52531253835
2005-05-31,158859.9048228933
2005-06-30,159528.5601197967
2005-07-31,160161.6581847897
2005-08-31,160775.3045626376
2005-09-30,161391.78116537575
2005-10-31,162005.60575453631
2005-11-30,162600.3698040957
2005-12-31,163156.72878068255
2006-01-31,163698.59642584072
2006-02-28,164249.66161402268
2006-03-31,164779.86018495695
2006-04-30,165322.43779275648
2006-05-31,165839.46893509218
2006-06-30,166395.480543814
2006-07-31,166973.0776058597
2006-08-31,167572.7095322846
2006-09-30,168111.1137178268
2006-10-31,168587.89887489416
