Date,Price
2000-01-31,128400.87324135218
2000-02-29,128503.13540418424
2000-03-31,128724.12773745136
2000-04-30,129243.19031629644
2000-05-31,129859.01460666566
2000-06-30,130554.12634307674
2000-07-31,131314.1448429726
2000-08-31,132387.41463323918
2000-09-30,133644.9630771439
2000-10-31,135098.77490699603
2000-11-30,136197.12841950788
2000-12-31,137064.1935321781
2001-01-31,137673.83077722907
2001-02-28,138302.5845859353
2001-03-31,138985.90279343227
2001-04-30,139682.3314870386
2001-05-31,140512.32470235197
2001-06-30,141389.6577765089
2001-07-31,142295.13085084275
2001-08-31,143393.78086578453
2001-09-30,144654.90920538895
2001-10-31,146112.23530858243
2001-11-30,147212.94746686428
2001-12-31,148017.26289504615
2002-01-31,148561.73643619532
2002-02-28,149221.7845451144
2002-03-31,150031.92134345748
2002-04-30,150786.79305101244
2002-05-31,151586.9898574817
2002-06-30,152382.02350742355
2002-07-31,153347.37167094034
2002-08-31,154567.38601607044
2002-09-30,155912.5348071484
2002-10-31,157364.9472404564
2002-11-30,158370.16138619804
2002-12-31,159239.32252703817
2003-01-31,159922.62422417593
2003-02-28,160791.8431246423
2003-03-31,161626.0724888142
2003-04-30,162549.50625574883
2003-05-31,163418.82711774655
2003-06-30,164274.91440980657
2003-07-31,165095.80801649325
2003-08-31,166244.54505803998
2003-09-30,167652.44088133157
2003-10-31,169210.75991459462
2003-11-30,170385.79214159402
2003-12-31,171295.7013570541
2004-01-31,172118.08220599542
2004-02-29,173035.64943088367
2004-03-31,173985.67696682247
2004-04-30,175035.83499664834
2004-05-31,176213.8309634222
2004-06-30,177571.09866883574
2004-07-31,178893.92823160195
2004-08-31,180343.21390395635
2004-09-30,181747.687561712
2004-10-31,183269.63819959003
2004-11-30,184566.54080200745
2004-12-31,185832.72923014
2005-01-31,186894.72602134585
2005-02-28,188074.04549481752
2005-03-31,189260.03483606363
2005-04-30,190560.2201676243
2005-05-31,191890.67963931
2005-06-30,193235.671078974
2005-07-31,194528.98634885973
2005-08-31,195943.35403287856
2005-09-30,197560.62268640925
2005-10-31,199320.98089037635
2005-11-30,200723.4684826578
2005-12-31,201919.6284069138
2006-01-31,202963.9165939169
2006-02-28,204119.97220141825
2006-03-31,205302.2800953911
2006-04-30,206360.51116344295
2006-05-31,207425.3875786857
2006-06-30,208205.3817444778
2006-07-31,208807.653867438
2006-08-31,209260.3151047034
2006-09-30,209625.3738534845
2006-10-31,209914.4836828887
2006-11-30,210176.9379347216
2006-12-31,210521.372310575
2007-01-31,211044.01917358933
2007-02-28,211557.89086631048
2007-03-31,211967.56525523865
2007-04-30,212159.32103588604
2007-05-31,212188.27705480965
2007-06-30,212066.3436493883
2007-07-31,211781.5407757204
2007-08-31,211413.9179382847
2007-09-30,210840.7477531293
2007-10-31,210199.54411841475
2007-11-30,209519.4118025174
2007-12-31,208716.40766365663
2008-01-31,207845.3233172296
2008-02-29,206194.1157668484
2008-03-31,205388.39489947335
2008-04-30,203933.74240124915
2008-05-31,203370.85527856168
2008-06-30,201673.13244641296
2008-07-31,200517.78241949447
2008-08-31,198428.7597378292
2008-09-30,196623.35772693157
2008-10-31,194224.60019671964
2008-11-30,191973.8992896125
2008-12-31,189367.54401216152
2009-01-31,186566.551037085
2009-02-28,184325.5159718606
2009-03-31,182142.069683935
2009-04-30,180723.34373721265
2009-05-31,179065.40826395433
2009-06-30,177709.7777729536
2009-07-31,176388.58216849066
2009-08-31,175180.631305648
2009-09-30,173580.2931147824
2009-10-31,172041.57795699112
2009-11-30,170570.8654987615
2009-12-31,169821.83253528902
2010-01-31,169085.20374298797
2010-02-28,168715.42876674733
2010-03-31,167899.354369865
2010-04-30,168003.36528816598
2010-05-31,167726.0408161214
2010-06-30,168086.1566526295
2010-07-31,166967.0239683216
2010-08-31,165968.7985549028
2010-09-30,164355.4776466164
2010-10-31,163041.13277377395
2010-11-30,161237.47379836612
2010-12-31,159475.84710352926
2011-01-31,157890.3581036201
2011-02-28,156644.09155596132
2011-03-31,155738.43456847643
2011-04-30,154648.79626819954
2011-05-31,153820.48677299955
2011-06-30,152774.0139897026
2011-07-31,152159.06977657
2011-08-31,151291.63541955742
2011-09-30,150458.3371469958
2011-10-31,149033.41963728063
2011-11-30,147871.9857575115
2011-12-31,146430.9760327183
2012-01-31,145496.49038928992
2012-02-29,144600.37189844484
2012-03-31,144143.62348035726
2012-04-30,143782.68023853228
2012-05-31,143547.02990518892
2012-06-30,143619.125087028
2012-07-31,143896.76640675936
2012-08-31,144049.3878843025
2012-09-30,144134.39616061628
2012-10-31,143995.6805963779
2012-11-30,143726.75609927662
2012-12-31,143444.76316984603
2013-01-31,143432.7964971468
2013-02-28,143899.6966402779
2013-03-31,144616.43820077897
2013-04-30,145625.0343767536
2013-05-31,146482.57897279458
2013-06-30,147517.51003510391
2013-07-31,148389.0793047457
2013-08-31,149551.09921473273
2013-09-30,150585.80502568607
2013-10-31,151904.72224375902
2013-11-30,153034.68178661668
2013-12-31,154132.90248699766
2014-01-31,154907.59892010482
2014-02-28,155714.897685289
2014-03-31,156347.1210268894
2014-04-30,157033.54278209907
2014-05-31,157811.47469758193
2014-06-30,158712.46726215677
2014-07-31,159695.76673609845
2014-08-31,160472.94342930245
2014-09-30,161006.11810846455
2014-10-31,161278.45664739798
2014-11-30,161542.78651822088
2014-12-31,161858.66302799698
2015-01-31,162042.6176735508
2015-02-28,161987.77654953377
2015-03-31,162131.82524458357
2015-04-30,162492.6546701848
2015-05-31,163249.99843126338
2015-06-30,163896.05172569762
2015-07-31,164569.85535989946
2015-08-31,165184.73782869545
2015-09-30,165905.3901981206
2015-10-31,166885.8143069092
2015-11-30,167785.31991702135
2015-12-31,168656.72005620398
2016-01-31,169481.80664130658
2016-02-29,170378.60909897913
2016-03-31,170972.96629593486
2016-04-30,171500.15246088474
2016-05-31,172009.45672061163
