Date,Price
2000-01-31,99290.69221664705
2000-02-29,99150.70809886191
2000-03-31,98995.41511123945
2000-04-30,98534.01480142237
2000-05-31,98317.90524069312
2000-06-30,98396.9511564648
2000-07-31,98884.2696900618
2000-08-31,99377.722911264
2000-09-30,99767.41151824188
2000-10-31,100231.84906569328
2000-11-30,100784.82054191758
2000-12-31,101435.324486093
2001-01-31,101912.51940357331
2001-02-28,102081.02383336006
2001-03-31,102076.99592867238
2001-04-30,102036.6946046811
2001-05-31,102248.62853926011
2001-06-30,102623.32584988956
2001-07-31,103069.42869532065
2001-08-31,103463.14970964496
2001-09-30,103677.92681587364
2001-10-31,103990.30611903829
2001-11-30,104222.80662917136
2001-12-31,104542.15276546925
2002-01-31,104582.0202447457
2002-02-28,104560.31737321016
2002-03-31,104374.25059806318
2002-04-30,104220.0583875591
2002-05-31,104260.61181001025
2002-06-30,104542.58801673206
2002-07-31,104915.9557306102
2002-08-31,105121.03725936524
2002-09-30,105170.10951843436
2002-10-31,105323.31203968152
2002-11-30,105540.9523732004
2002-12-31,105811.63671335156
2003-01-31,105901.819803247
2003-02-28,105914.08978969774
2003-03-31,105869.4908657082
2003-04-30,105912.11324737656
2003-05-31,106085.85079296038
2003-06-30,106399.67726111707
2003-07-31,106756.88396290962
2003-08-31,107074.30185720357
2003-09-30,107298.98015934876
2003-10-31,107587.71360874292
2003-11-30,107837.91425624068
2003-12-31,108096.31853509964
2004-01-31,108253.81692012392
2004-02-29,108367.38527837784
2004-03-31,108512.90550062386
2004-04-30,108657.08025741063
2004-05-31,108989.47747250642
2004-06-30,109398.88309945771
2004-07-31,109861.22280283862
2004-08-31,110287.36615562606
2004-09-30,110600.84588237188
2004-10-31,110982.24780821912
2004-11-30,111314.0725922256
2004-12-31,111675.9236152582
2005-01-31,112332.77651433286
2005-02-28,113193.90453293757
2005-03-31,114127.04720018664
2005-04-30,114726.14191055868
2005-05-31,115277.89203580296
2005-06-30,115936.03773992148
2005-07-31,116637.95111362122
2005-08-31,117192.99839029164
2005-09-30,117576.1363108678
2005-10-31,117894.18169744888
2005-11-30,118153.30970237953
2005-12-31,118360.9959720344
2006-01-31,118364.94589757793
2006-02-28,118337.3048098256
2006-03-31,118201.79374626272
2006-04-30,118187.04928406623
2006-05-31,118309.86424060044
2006-06-30,118707.66689500149
2006-07-31,119176.770213626
2006-08-31,119633.6090448622
2006-09-30,119996.90245126192
2006-10-31,120425.82037342429
2006-11-30,120757.65759039442
2006-12-31,121055.15637664466
2007-01-31,121158.40831539068
2007-02-28,121234.55240715096
2007-03-31,121229.51419513817
2007-04-30,121303.97026725154
2007-05-31,121283.10423745376
2007-06-30,121246.65327516275
2007-07-31,121120.10833105388
2007-08-31,121085.8696496586
2007-09-30,121048.90448689969
2007-10-31,121127.07450182633
2007-11-30,121344.12063687285
2007-12-31,121678.34205141135
2008-01-31,121906.07383535209
2008-02-29,121973.47402198274
2008-03-31,121934.52810339523
2008-04-30,121841.8120169516
2008-05-31,121703.4563852686
2008-06-30,121569.627119879
2008-07-31,121370.76303325935
2008-08-31,121059.56969874522
2008-09-30,120651.50851501415
2008-10-31,120319.14890861574
2008-11-30,120012.19634449828
2008-12-31,119631.97706751437
2009-01-31,119275.85727078033
2009-02-28,118960.92956592709
2009-03-31,118780.1351442549
2009-04-30,118630.41793589908
2009-05-31,118497.80134707464
2009-06-30,118374.51397164474
2009-07-31,118141.87233238731
2009-08-31,117862.87366815768
2009-09-30,117565.30630084312
2009-10-31,117304.17383327754
2009-11-30,117152.11198040504
2009-12-31,117086.946920262
2010-01-31,117017.7532298275
2010-02-28,117028.76724420926
2010-03-31,117044.19263041612
