Date,Price
2000-01-31,91515.094309125
2000-02-29,91698.20225470397
2000-03-31,91865.7621727152
2000-04-30,92233.2994722848
2000-05-31,92632.66248711392
2000-06-30,93034.1604622478
2000-07-31,93436.21652335064
2000-08-31,93786.02352452814
2000-09-30,94155.724153337
2000-10-31,94604.63020742164
2000-11-30,95049.39421159268
2000-12-31,95538.37986457229
2001-01-31,95878.68958573918
2001-02-28,96191.52842140764
2001-03-31,96402.51250889104
2001-04-30,96689.86447007812
2001-05-31,97011.27242913395
2001-06-30,97415.13313438823
2001-07-31,97818.4268545276
2001-08-31,98257.27765333612
2001-09-30,98696.94413908494
2001-10-31,99137.65510208045
2001-11-30,99564.34655590534
2001-12-31,99995.88680495151
2002-01-31,100284.6796276747
2002-02-28,100474.98848961217
2002-03-31,100570.7511141848
2002-04-30,100834.75176977424
2002-05-31,101230.91895690103
2002-06-30,101750.58536972984
2002-07-31,102211.13516106998
2002-08-31,102620.2522003285
2002-09-30,102944.8407790808
2002-10-31,103301.7821382375
2002-11-30,103698.49872703986
2002-12-31,104132.90441541524
2003-01-31,104513.2591039072
2003-02-28,104837.8826955551
2003-03-31,105087.54298544247
2003-04-30,105341.884811481
2003-05-31,105610.65349406123
2003-06-30,105930.47347561178
2003-07-31,106318.54077629565
2003-08-31,106793.09258442392
2003-09-30,107301.40453604562
2003-10-31,107814.6758649635
2003-11-30,108292.63265509816
2003-12-31,108738.37165595304
2004-01-31,109105.78436138024
2004-02-29,109372.31143342813
2004-03-31,109609.28879856986
2004-04-30,109897.43048599796
2004-05-31,110243.97969117788
2004-06-30,110640.41367247522
2004-07-31,111044.6148771836
2004-08-31,111476.71170677966
2004-09-30,111893.5804805894
2004-10-31,112310.58929224644
2004-11-30,112672.4042107918
2004-12-31,113075.92465709538
2005-01-31,113427.92421356752
2005-02-28,113788.56955343984
2005-03-31,114096.30202178076
2005-04-30,114521.99517682187
2005-05-31,115108.15130739252
2005-06-30,115853.30492270888
2005-07-31,116666.4433030883
2005-08-31,117412.7366933679
2005-09-30,118030.45694805398
2005-10-31,118472.88724319368
2005-11-30,118867.74511776258
2005-12-31,119238.36905949745
2006-01-31,119544.06214383648
2006-02-28,119787.60443735307
2006-03-31,120001.81239084504
2006-04-30,120230.87295936288
2006-05-31,120469.9870585572
2006-06-30,120724.22270311728
2006-07-31,121029.44654759578
2006-08-31,121362.6441388012
2006-09-30,121683.871377884
2006-10-31,121984.92086945864
2006-11-30,122273.34014143288
2006-12-31,122579.71451517048
2007-01-31,122853.39545370296
2007-02-28,123127.4970490032
2007-03-31,123390.94714835222
2007-04-30,123665.91075980249
2007-05-31,123810.14217830409
2007-06-30,123861.9343830992
2007-07-31,123867.7356688645
2007-08-31,123977.16917426122
2007-09-30,124113.51375074558
2007-10-31,124264.46750872995
2007-11-30,124399.35876590492
2007-12-31,124598.94583236249
2008-01-31,124852.64783439731
2008-02-29,124978.10363660892
2008-03-31,124930.10214853476
2008-04-30,124754.15908961328
2008-05-31,124625.23375608276
2008-06-30,124500.6365990867
2008-07-31,124381.48848668876
2008-08-31,124287.84752579824
2008-09-30,124250.30592643651
2008-10-31,124173.17075951028
2008-11-30,124081.31356430922
2008-12-31,123971.73970743125
2009-01-31,123812.02200317074
2009-02-28,123607.5527766184
2009-03-31,123434.89222073415
2009-04-30,123338.9163106284
2009-05-31,123282.98851074657
2009-06-30,123186.60767768323
2009-07-31,123106.42827029031
2009-08-31,123001.6880279068
2009-09-30,122890.48068679516
2009-10-31,122776.09039885004
2009-11-30,122689.76146151726
2009-12-31,122629.80932730903
2010-01-31,122633.23534992832
2010-02-28,122713.25759988053
2010-03-31,122952.5986575443
2010-04-30,123193.29573377845
2010-05-31,123369.47865907953
2010-06-30,123351.27095700787
2010-07-31,123205.79004354746
2010-08-31,122970.03659732926
2010-09-30,122667.75455727386
2010-10-31,122293.9674288538
2010-11-30,121916.2109631084
2010-12-31,121533.57699699554
2011-01-31,121239.29134274738
2011-02-28,120947.33789870574
2011-03-31,120653.29770928684
2011-04-30,120341.62646445504
2011-05-31,120040.2277738222
2011-06-30,119789.15253315913
2011-07-31,119617.16370927998
2011-08-31,119516.81162977417
2011-09-30,119486.79594025934
2011-10-31,119473.90884437769
2011-11-30,119513.35878506738
2011-12-31,119584.07615358132
2012-01-31,119600.86349083048
2012-02-29,119694.1737746703
2012-03-31,120097.68909596272
2012-04-30,120759.80050743037
2012-05-31,121594.6047806716
2012-06-30,122154.53471159063
2012-07-31,122709.3808577117
2012-08-31,123172.54623619869
2012-09-30,123610.92839945295
2012-10-31,123653.6024239154
2012-11-30,123573.96039023343
2012-12-31,123897.75459984515
2013-01-31,124601.11646994155
2013-02-28,125183.58735907158
2013-03-31,125612.19737004116
2013-04-30,126048.9786217516
2013-05-31,126679.69204961798
2013-06-30,127215.06418247406
2013-07-31,127644.06984718384
2013-08-31,128297.25007556348
2013-09-30,128726.75904824398
2013-10-31,129201.88758137132
2013-11-30,129489.8773744704
2013-12-31,129770.30401183704
2014-01-31,130036.07276091792
2014-02-28,130041.25606014115
2014-03-31,130269.36247776364
2014-04-30,130745.30084384956
2014-05-31,131460.45572128522
2014-06-30,132234.18989435685
2014-07-31,132950.1646963558
2014-08-31,133381.7152486051
2014-09-30,133399.9489806485
2014-10-31,132858.62591410868
2014-11-30,132478.71918239418
2014-12-31,132578.11587925
2015-01-31,133146.4254231217
2015-02-28,133896.4723472664
2015-03-31,134646.76678243803
2015-04-30,135487.9693993368
2015-05-31,136207.18541974365
2015-06-30,136774.95949341104
2015-07-31,137166.357167575
2015-08-31,137738.33978371602
2015-09-30,138337.98397060914
2015-10-31,139059.9709952245
2015-11-30,139723.4684400869
2015-12-31,140657.46578512448
2016-01-31,141735.83186813444
2016-02-29,142840.06219460568
2016-03-31,143374.128032368
2016-04-30,143527.9959477384
2016-05-31,143413.4377143263
2016-06-30,143523.7729108736
2016-07-31,143542.33992070728
2016-08-31,143699.21876000054
2016-09-30,144038.28446082558
2016-10-31,144664.95525965487
2016-11-30,145282.35314588537
2016-12-31,145744.19989909435
2017-01-31,146140.66121459974
2017-02-28,146527.04051757642
2017-03-31,146842.3773761953
2017-04-30,147172.93750420105
2017-05-31,147574.75351658257
2017-06-30,148017.29694120455
2017-07-31,148491.98915831753
2017-08-31,148878.2883957371
2017-09-30,149316.50164590016
2017-10-31,149848.29064014115
2017-11-30,150409.7227887795
2017-12-31,150839.3312104853
2018-01-31,151208.9800396028
2018-02-28,151746.47397869604
2018-03-31,152512.68541460793
2018-04-30,153169.13374932733
2018-05-31,153769.54995643
2018-06-30,154288.52956996756
2018-07-31,155072.6562303671
2018-08-31,155620.65660079938
2018-09-30,156187.94920840263
2018-10-31,156462.29667051812
2018-11-30,156942.07780190924
2018-12-31,157383.16334363763
2019-01-31,158079.75602283012
2019-02-28,159064.47636268617
2019-03-31,160240.58193977314
2019-04-30,161210.63989003
2019-05-31,161951.11238549117
2019-06-30,162574.901462862
2019-07-31,163056.9236528724
2019-08-31,163415.96399838672
2019-09-30,163715.2264647091
2019-10-31,164474.99424821048
2019-11-30,165309.49157428925
2019-12-31,166128.97746055952
2020-01-31,166410.7959719591
2020-02-29,166719.38648960766
2020-03-31,167097.20066581093
2020-04-30,167680.28330296293
2020-05-31,168268.90657451426
2020-06-30,168781.2274846609
2020-07-31,169560.03603092767
2020-08-31,170627.88665465754
2020-09-30,172468.78966803313
2020-10-31,174433.01597432306
2020-11-30,176315.85090293456
2020-12-31,177603.33480597255
2021-01-31,178593.90313810122
2021-02-28,179731.9050402088
2021-03-31,181137.08811229453
2021-04-30,182934.88878037612
2021-05-31,184982.11289579156
2021-06-30,187184.41074698488
2021-07-31,189117.9447282244
2021-08-31,190283.28316233936
2021-09-30,190789.45889024585
2021-10-31,191326.59302376825
2021-11-30,192290.0218700314
2021-12-31,193586.0793301179
2022-01-31,195592.44534730105
2022-02-28,198039.16242412807
2022-03-31,201040.89906331457
2022-04-30,203988.5412874221
2022-05-31,206906.60194837349
2022-06-30,209476.11179405823
2022-07-31,211030.0907611629
2022-08-31,211467.59876121036
2022-09-30,211221.11410394512
2022-10-31,211233.5329471346
2022-11-30,211473.1667417347
2022-12-31,211541.51914885768
2023-01-31,211034.76471581424
2023-02-28,210538.707672424
2023-03-31,210707.1255422415
2023-04-30,211815.43810668425
2023-05-31,213408.63139801807
2023-06-30,215010.4563022037
2023-07-31,216231.7767834446
2023-08-31,217100.7681843696
2023-09-30,217569.61773897696
2023-10-31,217910.3078683513
2023-11-30,218120.6315328093
2023-12-31,218283.0475147729
2024-01-31,218405.7571421549
2024-02-29,218923.6382122757
2024-03-31,220225.3919723147
2024-04-30,222018.41949236332
