Date,Price
2000-01-31,89871.80921544923
2000-02-29,89887.45510334997
2000-03-31,89991.00259711833
2000-04-30,90144.72443717712
2000-05-31,90376.82266014992
2000-06-30,90639.69657655076
2000-07-31,90983.69122034818
2000-08-31,91359.36177472564
2000-09-30,91710.31124840958
2000-10-31,92068.33297071925
2000-11-30,92455.71326222851
2000-12-31,92894.32576518838
2001-01-31,93442.89269874968
2001-02-28,94079.87067612913
2001-03-31,94754.55668839482
2001-04-30,95340.19118361162
2001-05-31,95884.73221204088
2001-06-30,96413.81754173478
2001-07-31,96926.82960070246
2001-08-31,97407.5847726701
2001-09-30,97835.22318280477
2001-10-31,98255.15678327026
2001-11-30,98662.10905631968
2001-12-31,99079.18554043972
2002-01-31,99475.91995896456
2002-02-28,99807.3293794411
2002-03-31,100105.5957588454
2002-04-30,100382.05910604924
2002-05-31,100391.2575489268
2002-06-30,100317.88882469012
2002-07-31,100218.78215517051
2002-08-31,100199.89258326104
2002-09-30,100229.55552024842
2002-10-31,100262.44403281044
2002-11-30,100782.62694678346
2002-12-31,101350.14427365392
2003-01-31,101948.79616560506
2003-02-28,102253.94087062906
2003-03-31,102250.03105282248
2003-04-30,101910.49118819516
2003-05-31,101694.60043880316
2003-06-30,101755.13307971628
2003-07-31,102285.87249389473
2003-08-31,102846.22451316383
2003-09-30,103476.37321275736
2003-10-31,104003.19346054002
2003-11-30,104309.57649722025
2003-12-31,104561.93354114064
2004-01-31,104717.88998809311
2004-02-29,104930.76630724582
2004-03-31,105279.81267296104
2004-04-30,105871.05331383988
2004-05-31,106486.990426211
2004-06-30,106994.69975705109
2004-07-31,107310.24222101195
2004-08-31,107662.90915140156
2004-09-30,108587.77169292932
2004-10-31,109732.14007370388
2004-11-30,110878.02799070386
2004-12-31,111491.55344234269
2005-01-31,112030.79261095512
2005-02-28,112516.9101561755
2005-03-31,112968.74790916347
2005-04-30,113302.54157197184
2005-05-31,113715.0929381394
2005-06-30,113790.25248352611
2005-07-31,113849.12065251474
2005-08-31,113884.01072500284
2005-09-30,114255.188638378
2005-10-31,114489.56731998488
2005-11-30,114526.30474019363
2005-12-31,114681.2456356091
2006-01-31,114970.01793378923
2006-02-28,115415.65531864736
2006-03-31,115761.05376881854
2006-04-30,116129.42499158134
2006-05-31,116462.35084805284
2006-06-30,116784.8754828942
2006-07-31,117119.491490478
2006-08-31,117554.81250015472
2006-09-30,117900.803558063
