Date,Price
2000-01-31,85735.50944182026
2000-02-29,85779.8344735461
2000-03-31,85860.58186161313
2000-04-30,86060.38810904585
2000-05-31,86326.7122612619
2000-06-30,86620.18085046922
2000-07-31,86953.02452140494
2000-08-31,87334.14631404525
2000-09-30,87757.29127139076
2000-10-31,88151.13701022319
2000-11-30,88568.74405292237
2000-12-31,89002.79758857976
2001-01-31,89511.97442595633
2001-02-28,89974.9929093746
2001-03-31,90420.57975411358
2001-04-30,90819.62305061526
2001-05-31,91240.20413302898
2001-06-30,91684.45423940424
2001-07-31,92125.96645413408
2001-08-31,92513.3152014016
2001-09-30,92847.76768469924
2001-10-31,93141.26034825918
2001-11-30,93420.00163011265
2001-12-31,93668.66556642292
2002-01-31,93873.21501133469
2002-02-28,94078.22244381734
2002-03-31,94270.73695049266
2002-04-30,94468.79094383249
2002-05-31,94650.23609930706
2002-06-30,94852.78504367454
2002-07-31,95107.97980350228
2002-08-31,95390.67230195932
2002-09-30,95690.02360948974
2002-10-31,95974.54079912664
2002-11-30,96252.95916295494
2002-12-31,96498.06509479228
2003-01-31,96717.09740518218
2003-02-28,96950.5498763415
2003-03-31,97197.78670555186
2003-04-30,97459.86634098708
2003-05-31,97728.40706013422
2003-06-30,97999.20526854564
2003-07-31,98279.12748172892
2003-08-31,98569.7189259854
2003-09-30,98898.43378483033
2003-10-31,99237.08116210678
2003-11-30,99549.6727361945
2003-12-31,99827.83912647035
2004-01-31,100073.16754774084
2004-02-29,100320.83003004536
2004-03-31,100536.21396172034
2004-04-30,100712.68247279192
2004-05-31,100904.36370956256
2004-06-30,101140.15616456144
2004-07-31,101448.56333874392
2004-08-31,101751.59000152118
2004-09-30,102053.91559703909
2004-10-31,102390.465128368
2004-11-30,102716.7994730745
2004-12-31,103038.9369991862
2005-01-31,103364.4233985908
2005-02-28,103729.72911426752
2005-03-31,104168.04139209536
2005-04-30,104629.57180001412
2005-05-31,105088.65665563582
2005-06-30,105507.56846951006
2005-07-31,105913.32877866377
2005-08-31,106304.1723420606
2005-09-30,106672.04072930984
2005-10-31,106968.63894491398
2005-11-30,107273.9842247091
2005-12-31,107583.4866188474
2006-01-31,107904.6372154174
2006-02-28,108196.6220501048
2006-03-31,108483.32209846847
2006-04-30,108769.6032063925
2006-05-31,109029.69814812083
2006-06-30,109261.50613014292
2006-07-31,109464.61920528195
2006-08-31,109662.74160978578
2006-09-30,109932.67839676463
2006-10-31,110226.4654185607
2006-11-30,110524.69133367926
2006-12-31,110733.7429175128
2007-01-31,110902.47483444316
2007-02-28,111062.1395110853
2007-03-31,111171.2220419836
2007-04-30,111183.45384075669
2007-05-31,111173.96749630744
2007-06-30,111187.85209685912
2007-07-31,111258.25443290436
2007-08-31,111347.68970289936
2007-09-30,111431.63588768616
2007-10-31,111550.19666595578
2007-11-30,111597.12622820045
2007-12-31,111601.37810200172
2008-01-31,111548.45076277424
2008-02-29,111522.85042262344
2008-03-31,111503.03643211268
2008-04-30,111363.2706084884
2008-05-31,111181.62110836188
2008-06-30,110989.93299539418
2008-07-31,110916.3541243798
2008-08-31,110913.3239268431
2008-09-30,110942.96215969075
2008-10-31,110962.62219407024
2008-11-30,110908.3481317137
2008-12-31,110812.66824858217
2009-01-31,110731.45791668414
2009-02-28,110702.08072857418
2009-03-31,110647.64307401392
2009-04-30,110557.41942701928
2009-05-31,110389.46221378406
2009-06-30,110211.17652647736
2009-07-31,110003.38152975823
2009-08-31,109810.43782817788
2009-09-30,109601.02990319952
2009-10-31,109443.17574572432
2009-11-30,109330.26992124465
2009-12-31,109312.77616853776
2010-01-31,109296.49220628674
2010-02-28,109283.92873895638
2010-03-31,109340.31946882524
2010-04-30,109481.10903711816
2010-05-31,109645.88453460958
2010-06-30,109671.0009984696
2010-07-31,109585.86914448864
2010-08-31,109438.37054462492
2010-09-30,109299.70869276942
2010-10-31,109151.36201438216
2010-11-30,108861.05842019564
2010-12-31,108473.71883234514
