Date,Price
2000-01-31,104882.759351946
2000-02-29,105097.47725590588
2000-03-31,105262.2188308958
2000-04-30,105626.22577663604
2000-05-31,106003.36894911667
2000-06-30,106417.24199432328
2000-07-31,106817.8148171958
2000-08-31,107141.48457837582
2000-09-30,107500.85581638168
2000-10-31,107933.07596420668
2000-11-30,108494.44292007688
2000-12-31,109106.85471794227
2001-01-31,109781.25877023971
2001-02-28,110370.61166903778
2001-03-31,110937.07110783212
2001-04-30,111428.5153772933
2001-05-31,111873.59079285395
2001-06-30,112283.79575846466
2001-07-31,112682.43844878802
2001-08-31,113137.30967991246
2001-09-30,113593.53815832554
2001-10-31,114040.55974725747
2001-11-30,114464.88230103166
2001-12-31,114844.00103928412
2002-01-31,115132.2353910414
2002-02-28,115457.33473393747
2002-03-31,115835.99112673738
2002-04-30,116282.34666947112
2002-05-31,117099.2267805848
2002-06-30,117869.35939729169
2002-07-31,118682.01117827122
2002-08-31,118827.57836367666
2002-09-30,118933.39726388764
2002-10-31,119028.2223015491
2002-11-30,119428.99501292706
2002-12-31,119924.75838697227
2003-01-31,120422.04670647852
2003-02-28,120862.37420146966
2003-03-31,121196.78901739285
2003-04-30,121313.02447763132
2003-05-31,121323.7777898972
2003-06-30,121397.5970925954
2003-07-31,121649.24973310424
2003-08-31,122139.97653959673
2003-09-30,122661.22200332962
2003-10-31,123273.98281356196
2003-11-30,123767.43341734848
2003-12-31,124252.53639781564
2004-01-31,124721.6010241169
2004-02-29,125235.85620977364
2004-03-31,125814.06908346825
2004-04-30,126387.22270031662
2004-05-31,126884.29162173317
2004-06-30,127431.11273380747
2004-07-31,127981.72383846783
2004-08-31,128735.47532346564
2004-09-30,129428.83706770348
2004-10-31,130120.25292135244
2004-11-30,130779.82087127824
2004-12-31,131422.66201285183
2005-01-31,131849.44900128094
2005-02-28,132143.24365711518
2005-03-31,132346.93236493538
2005-04-30,132809.9714904161
2005-05-31,133352.5662626233
2005-06-30,134106.2653472722
2005-07-31,134967.4905018652
2005-08-31,136059.74059570488
2005-09-30,137163.10035340584
2005-10-31,138401.08296525842
2005-11-30,139623.13242630684
2005-12-31,140952.24030566425
2006-01-31,142375.7076122501
2006-02-28,143831.50788314609
2006-03-31,145317.6284518095
2006-04-30,146649.76227065854
2006-05-31,147678.2444818339
2006-06-30,148554.49376449952
2006-07-31,149282.98762109532
2006-08-31,150101.1509925846
2006-09-30,150816.8458592001
2006-10-31,151471.1939400165
2006-11-30,152122.76080685458
2006-12-31,152725.85801021257
2007-01-31,153293.43764559654
2007-02-28,153843.43268600103
2007-03-31,154461.72884306693
2007-04-30,155101.25168653685
2007-05-31,155535.164426205
2007-06-30,155888.67595337745
2007-07-31,156160.01044045712
2007-08-31,156545.55259172118
2007-09-30,156889.95138533198
2007-10-31,157141.34294141177
2007-11-30,157341.91960660138
2007-12-31,157428.64052078396
2008-01-31,157528.23800434533
2008-02-29,157488.75937095334
2008-03-31,157416.87277207186
2008-04-30,157311.9793524077
2008-05-31,157272.03712313896
2008-06-30,157263.71190307054
2008-07-31,157251.99069209845
2008-08-31,157293.99583954772
2008-09-30,157304.80331598176
2008-10-31,157260.20307686448
2008-11-30,156982.43360078087
2008-12-31,156674.61567140388
2009-01-31,156390.50049451727
2009-02-28,156318.06755212764
2009-03-31,156314.36399080572
2009-04-30,156491.03512568874
2009-05-31,156570.1941078888
2009-06-30,156630.82545705032
2009-07-31,156536.7384963338
2009-08-31,156336.1624763062
2009-09-30,156087.59984789664
2009-10-31,155828.05987729275
2009-11-30,155738.14066829375
2009-12-31,155559.49736157755
2010-01-31,155544.70585107026
2010-02-28,155580.78978334504
2010-03-31,155808.98200890905
2010-04-30,155959.12652760648
2010-05-31,156125.758745863
2010-06-30,156276.27871725455
2010-07-31,156262.5429393506
2010-08-31,156157.559018132
2010-09-30,156045.11879792155
2010-10-31,155951.52379683303
2010-11-30,155760.05518739423
2010-12-31,155278.24464725083
2011-01-31,154443.61410142505
2011-02-28,153528.54820661593
2011-03-31,152704.35142722598
2011-04-30,152184.0268296724
2011-05-31,151810.86522257153
2011-06-30,151619.28659882204
2011-07-31,151496.64592160637
2011-08-31,151418.69143828398
2011-09-30,151273.75648526094
2011-10-31,151184.6929977854
2011-11-30,151058.81207767365
2011-12-31,150796.9640720846
2012-01-31,150566.4889723314
2012-02-29,150618.73757849142
2012-03-31,150783.25280173204
2012-04-30,150847.097431551
2012-05-31,151220.99410361337
2012-06-30,151976.11576788442
2012-07-31,152721.7391138254
2012-08-31,152973.5020880092
2012-09-30,153009.71106544076
2012-10-31,153047.05582296298
2012-11-30,153057.89763328197
2012-12-31,153085.06976512415
2013-01-31,153348.41892028862
2013-02-28,153302.86794352534
2013-03-31,153486.41503594446
2013-04-30,153940.8099513943
2013-05-31,154880.9446734953
2013-06-30,156035.7327111619
2013-07-31,156813.5766166781
2013-08-31,157725.90410986045
2013-09-30,158461.67623659034
2013-10-31,159082.85595490577
2013-11-30,159288.57990866675
2013-12-31,158975.1279134842
2014-01-31,158567.4484853307
2014-02-28,158312.98257641678
2014-03-31,158164.04124967006
2014-04-30,158225.63411724303
2014-05-31,158447.73838406595
2014-06-30,159024.50063017072
2014-07-31,159918.38858755198
2014-08-31,160632.35268046046
2014-09-30,161180.07333721104
2014-10-31,161496.3458717422
2014-11-30,162155.46764113236
2014-12-31,163067.73217829724
2015-01-31,164044.85161710993
2015-02-28,165003.29700341474
2015-03-31,165760.5611338405
2015-04-30,166618.2351504457
2015-05-31,167557.01847145605
2015-06-30,168308.2354518153
2015-07-31,168862.27745818763
2015-08-31,169146.15600889348
2015-09-30,169658.65531581247
2015-10-31,170481.0211851057
2015-11-30,171309.0431036915
2015-12-31,172433.23133201335
2016-01-31,173294.7730647071
2016-02-29,174018.6546024068
2016-03-31,174035.88044209377
2016-04-30,174111.24538690248
2016-05-31,174158.58112976616
2016-06-30,174431.22488525903
2016-07-31,174256.362195492
2016-08-31,174193.53837048067
2016-09-30,174031.62264710292
2016-10-31,174257.20854059575
2016-11-30,174185.28507803963
2016-12-31,174162.1018525627
2017-01-31,173752.33281313573
2017-02-28,173451.91960349592
2017-03-31,173059.19561159998
2017-04-30,172796.58057002397
2017-05-31,172362.41852186978
2017-06-30,172061.456097248
2017-07-31,172127.34349636635
2017-08-31,172640.4370853661
2017-09-30,173452.66181086833
2017-10-31,174184.91443733734
2017-11-30,174652.57624095355
2017-12-31,174806.42286415122
2018-01-31,175156.73381664717
2018-02-28,175536.8160631927
2018-03-31,176256.46109790518
2018-04-30,176488.4828428071
2018-05-31,176463.0012812903
2018-06-30,175795.5012506725
2018-07-31,175551.23809967318
2018-08-31,175483.42612089415
2018-09-30,175736.7931857227
2018-10-31,175422.85784854775
2018-11-30,175423.84796684387
2018-12-31,175648.87653284665
2019-01-31,176505.04010635405
2019-02-28,177739.9987011156
2019-03-31,179271.9713014851
2019-04-30,180646.4780971003
2019-05-31,181621.7951798908
2019-06-30,182146.05584678348
2019-07-31,182641.7764951544
2019-08-31,182962.98245745612
2019-09-30,183106.3898455271
2019-10-31,183243.69733636043
2019-11-30,183771.052143974
2019-12-31,184794.94967063292
2020-01-31,186213.5526394008
2020-02-29,187516.95563351808
2020-03-31,188519.2109033076
2020-04-30,189332.0518346773
2020-05-31,189609.73529643964
2020-06-30,189529.2728335289
2020-07-31,189392.57508492743
2020-08-31,190111.53704270255
2020-09-30,191943.5047407354
2020-10-31,193813.60069339824
2020-11-30,195153.778998901
2020-12-31,195679.90876579867
2021-01-31,196045.8809733407
2021-02-28,196790.61924730663
2021-03-31,197718.49216884864
2021-04-30,198662.23603045428
2021-05-31,199604.8379750057
2021-06-30,200851.32186535213
2021-07-31,201831.5686783993
2021-08-31,202086.8121368964
2021-09-30,201793.2525900192
2021-10-31,202050.18236517403
