Date,Price
2000-01-31,156177.61484142882
2000-02-29,156155.66068756388
2000-03-31,156264.28958171458
2000-04-30,156530.76899318138
2000-05-31,157083.44334753542
2000-06-30,157751.51466498486
2000-07-31,158536.89687871665
2000-08-31,159268.16226181734
2000-09-30,160019.06482036642
2000-10-31,160814.3235520783
2000-11-30,161634.18666492726
2000-12-31,162517.7404142042
2001-01-31,163241.98816826937
2001-02-28,163899.7067116923
2001-03-31,164464.76220721993
2001-04-30,165222.9937803777
2001-05-31,166101.89481818213
2001-06-30,167159.50239931254
2001-07-31,168298.3628531224
2001-08-31,169567.5353891727
2001-09-30,170869.84457595125
2001-10-31,172115.60523341715
2001-11-30,173335.26838708154
2001-12-31,174571.1755958931
2002-01-31,175818.6856180775
2002-02-28,177022.95634407108
2002-03-31,178238.3942287557
2002-04-30,179589.9179537824
2002-05-31,181275.81326403425
2002-06-30,183200.85349136937
2002-07-31,185344.3116616136
2002-08-31,187558.92298928104
2002-09-30,189736.4888029929
2002-10-31,191815.01722183215
2002-11-30,193711.4085389292
2002-12-31,195625.55556950253
2003-01-31,197425.85589354037
2003-02-28,199241.73413297776
2003-03-31,201050.460327977
2003-04-30,203018.85745072807
2003-05-31,205217.806704222
2003-06-30,207732.4100713768
2003-07-31,210459.7972290663
2003-08-31,213277.45452197967
2003-09-30,216106.5481408348
2003-10-31,218944.92698908143
2003-11-30,221607.43474803877
2003-12-31,224091.72214579405
2004-01-31,226362.01500131996
2004-02-29,228745.02865058105
2004-03-31,231156.9851413881
2004-04-30,233972.30919996355
2004-05-31,237211.6783871861
2004-06-30,241190.23379035844
2004-07-31,245652.5093138072
2004-08-31,250559.99492259623
2004-09-30,255417.7429646758
2004-10-31,259874.5838580764
2004-11-30,263941.2327176513
2004-12-31,267835.0712081232
2005-01-31,271735.9435727341
2005-02-28,275483.6523668671
2005-03-31,279186.4766095997
2005-04-30,283490.3115394761
2005-05-31,288426.6068202912
2005-06-30,294176.5589775504
2005-07-31,300409.0182134372
2005-08-31,306770.47228642035
2005-09-30,312281.219877237
2005-10-31,317174.0324299748
2005-11-30,321039.24062346807
2005-12-31,324992.051218742
2006-01-31,328165.32118477486
2006-02-28,331363.3634281941
2006-03-31,334629.313282608
2006-04-30,338375.6957397364
2006-05-31,342189.90844124346
2006-06-30,345541.2657183852
2006-07-31,348630.658406199
2006-08-31,351070.6374730158
2006-09-30,352664.2803861789
2006-10-31,353164.51764895645
2006-11-30,353255.3654790513
2006-12-31,353025.6789861594
2007-01-31,352842.8498802392
2007-02-28,352564.3592276427
2007-03-31,352634.19565495563
2007-04-30,352781.38264775387
2007-05-31,352871.4889718092
2007-06-30,352692.6120468772
2007-07-31,352268.9624455485
2007-08-31,351740.4189723105
2007-09-30,350926.2849386887
2007-10-31,349375.4288872762
2007-11-30,346746.530597903
2007-12-31,343699.9494255877
2008-01-31,341079.13113218965
2008-02-29,339004.437786068
2008-03-31,336925.0426615216
2008-04-30,334383.54940387845
2008-05-31,331020.25985694694
2008-06-30,327152.5970257491
2008-07-31,322697.1297721493
2008-08-31,318309.5961794139
2008-09-30,313833.743408028
2008-10-31,309614.02557725995
2008-11-30,306077.57432270155
2008-12-31,302792.1741563757
2009-01-31,299571.94368485425
2009-02-28,296073.6475968474
2009-03-31,292468.86582038755
2009-04-30,288825.4712620134
2009-05-31,285451.33185556805
2009-06-30,282912.80235209496
2009-07-31,280693.51926526864
2009-08-31,278787.5367942133
2009-09-30,276571.99803177593
2009-10-31,274677.0409626492
2009-11-30,273165.4035706646
2009-12-31,272144.49793887074
2010-01-31,271571.6795109411
2010-02-28,270942.1816411253
2010-03-31,270487.55410300737
2010-04-30,270167.7493924911
2010-05-31,270314.2294656294
2010-06-30,270388.457688292
2010-07-31,270010.4769625717
2010-08-31,268698.2392135514
2010-09-30,266815.79873550875
2010-10-31,264770.5292034684
2010-11-30,262658.73009917064
2010-12-31,260516.4226767876
2011-01-31,258557.526229561
2011-02-28,257334.88136344572
2011-03-31,256764.1823410452
2011-04-30,256175.52348018496
2011-05-31,255208.94849466105
2011-06-30,254186.96862693943
2011-07-31,253029.99847582224
2011-08-31,251753.71346050888
2011-09-30,250179.65936278732
2011-10-31,248952.08298782675
2011-11-30,248106.20648697775
2011-12-31,247431.5242593016
2012-01-31,246632.10720187388
2012-02-29,246206.61576257992
2012-03-31,246251.51485398517
2012-04-30,247064.10486413504
2012-05-31,247908.83708129928
2012-06-30,248820.3404085069
2012-07-31,249462.9848803241
2012-08-31,250016.4237507899
2012-09-30,250844.23589773875
2012-10-31,251705.0856854732
2012-11-30,252912.8916440393
2012-12-31,253928.7934489722
2013-01-31,255211.2190985841
2013-02-28,256471.78371617905
2013-03-31,257724.13769161055
2013-04-30,259023.52997571137
2013-05-31,260708.12888340512
2013-06-30,262536.9890882563
2013-07-31,264143.9596598716
2013-08-31,265277.7159866542
2013-09-30,266304.8110965211
2013-10-31,267428.963882549
2013-11-30,268695.4242034166
2013-12-31,270111.72808319604
2014-01-31,271501.39293744694
2014-02-28,272894.7603715989
2014-03-31,274251.7297425598
2014-04-30,275733.6460944103
2014-05-31,277012.63201842457
2014-06-30,277763.37739985134
2014-07-31,278019.14790795534
2014-08-31,278220.84568083944
2014-09-30,278815.9384191539
2014-10-31,279461.4828157875
2014-11-30,280202.09648490406
2014-12-31,280543.29757160664
2015-01-31,280635.7497866652
2015-02-28,280784.232128669
2015-03-31,281330.8439141277
2015-04-30,282234.3271198076
2015-05-31,283106.4445802826
2015-06-30,283735.66625936184
2015-07-31,284425.71892399533
2015-08-31,285074.39881211444
2015-09-30,285911.8455830535
2015-10-31,286813.7763682217
2015-11-30,287876.71174970974
2015-12-31,289067.8378270825
2016-01-31,290341.7109042601
2016-02-29,291245.55172216427
2016-03-31,291420.10335020814
2016-04-30,291400.7144735616
2016-05-31,291633.63784412394
2016-06-30,292375.0178586408
2016-07-31,293058.7462553293
2016-08-31,293318.4765132794
2016-09-30,293637.62614555936
2016-10-31,294309.0449378163
2016-11-30,295605.56976824667
2016-12-31,297130.5753832259
2017-01-31,298610.6429871667
2017-02-28,299986.10371468007
2017-03-31,301095.25570879393
2017-04-30,302281.55897629965
2017-05-31,303175.5680692279
2017-06-30,303701.35446831124
2017-07-31,303867.9826287273
2017-08-31,304165.45701423864
2017-09-30,305056.1836698664
2017-10-31,306200.4199601533
2017-11-30,307413.0507716121
2017-12-31,308606.16309762973
2018-01-31,309709.8542589397
2018-02-28,310620.8523248055
2018-03-31,311669.4058200033
2018-04-30,312534.9253685358
2018-05-31,313518.426649574
2018-06-30,314043.1131776976
2018-07-31,314888.1862753077
2018-08-31,315624.7168534782
2018-09-30,316495.86456919083
2018-10-31,317059.8163218495
2018-11-30,317582.5520953464
2018-12-31,318056.53782933706
2019-01-31,318724.30440888944
