Date,Price
2000-01-31,203982.9253096357
2000-02-29,204657.0790239107
2000-03-31,205460.92868228687
2000-04-30,207040.2305647341
2000-05-31,208755.04101756925
2000-06-30,210599.7815063253
2000-07-31,212762.5544314334
2000-08-31,215404.93773572575
2000-09-30,218388.8438194221
2000-10-31,221551.9255602262
2000-11-30,224621.0476396829
2000-12-31,227641.90672430667
2001-01-31,230373.03213729436
2001-02-28,232862.30859884247
2001-03-31,235318.68218330256
2001-04-30,237867.59161490048
2001-05-31,240502.641174124
2001-06-30,243285.2831529223
2001-07-31,246238.5482364838
2001-08-31,249471.2075514353
2001-09-30,252607.34049330116
2001-10-31,255946.9484666852
2001-11-30,259227.31794277692
2001-12-31,262317.63278605376
2002-01-31,264840.7714230607
2002-02-28,266981.8439765407
2002-03-31,269158.4495875453
2002-04-30,271471.4868904325
2002-05-31,273992.61627884634
2002-06-30,276627.4220179713
2002-07-31,279621.7030832716
2002-08-31,282804.88562933623
2002-09-30,286328.7658943123
2002-10-31,290392.8011307577
2002-11-30,294652.8720227417
2002-12-31,298710.0778132628
2003-01-31,301967.07184567774
2003-02-28,304968.8556891864
2003-03-31,307967.2153974916
2003-04-30,311228.9423561374
2003-05-31,314511.11009776994
2003-06-30,317502.1610966193
2003-07-31,319989.9900764769
2003-08-31,322364.7004529612
2003-09-30,324961.0807956097
2003-10-31,327758.5381248135
2003-11-30,330542.7615344559
2003-12-31,333114.507777038
2004-01-31,335519.03073465795
2004-02-29,337933.88359256083
2004-03-31,340450.6539819064
2004-04-30,343260.358819734
2004-05-31,346135.7264542169
2004-06-30,348874.60004625027
2004-07-31,351646.1404761195
2004-08-31,354473.3163936073
2004-09-30,357816.8809717002
2004-10-31,361120.6566092359
2004-11-30,364222.2885874811
2004-12-31,366781.0478537974
2005-01-31,369112.2646251821
2005-02-28,371843.5465089632
2005-03-31,374747.32831176464
2005-04-30,377844.2751097227
2005-05-31,380509.8724889417
2005-06-30,382341.73502897535
2005-07-31,383400.7531399336
2005-08-31,383965.4923628611
2005-09-30,384936.8032642828
2005-10-31,386165.8789042127
2005-11-30,387246.7629270181
2005-12-31,387496.43253911874
2006-01-31,387337.01018717367
2006-02-28,386682.7621905945
2006-03-31,386242.5747070377
2006-04-30,385921.6897738302
2006-05-31,385671.7977937872
2006-06-30,385070.73193925055
2006-07-31,383390.8217092983
2006-08-31,381267.02388583735
2006-09-30,378696.8368955841
2006-10-31,376382.5383024865
2006-11-30,373957.3795323626
2006-12-31,371816.6499730174
2007-01-31,370233.225918212
2007-02-28,369116.5262673442
2007-03-31,368449.4511591078
2007-04-30,367757.6233999956
2007-05-31,366962.6823324121
2007-06-30,365842.48864605394
2007-07-31,364343.0773205436
2007-08-31,362794.0484194357
2007-09-30,361267.7599599939
2007-10-31,359552.1231687248
2007-11-30,357796.8631832016
2007-12-31,356070.6647502591
2008-01-31,354287.99913114635
2008-02-29,352287.6464251071
2008-03-31,350034.376818577
2008-04-30,347902.913758586
2008-05-31,346029.6056382516
2008-06-30,344430.1805515425
2008-07-31,342676.55912056303
2008-08-31,340681.9231126933
2008-09-30,338115.39095212467
2008-10-31,335304.6999719054
2008-11-30,332423.47020638426
2008-12-31,329829.6838651767
2009-01-31,327551.09232035914
2009-02-28,325369.9996267341
2009-03-31,323150.9781971279
2009-04-30,321213.02390081884
2009-05-31,319895.02836591564
2009-06-30,319063.2382752458
2009-07-31,318494.17038118147
2009-08-31,317977.238256292
2009-09-30,317638.35923365044
2009-10-31,317368.4499107126
2009-11-30,317440.1010316697
2009-12-31,318077.1423487731
2010-01-31,319252.4415889335
2010-02-28,320734.1606601535
2010-03-31,321956.5877106603
2010-04-30,323178.1213579927
2010-05-31,323994.0342316974
2010-06-30,324623.686797737
2010-07-31,324476.82424276014
2010-08-31,323848.2349940481
2010-09-30,322295.4269782146
2010-10-31,320507.06838333124
2010-11-30,318786.69958545465
2010-12-31,317840.8423253233
2011-01-31,317045.2790484284
2011-02-28,315908.53153498244
2011-03-31,314320.8386551622
2011-04-30,312921.3253471253
2011-05-31,311740.5219733707
2011-06-30,310931.6054742549
2011-07-31,310159.02092719864
2011-08-31,309347.474437796
2011-09-30,308047.1760060916
2011-10-31,306318.4957287296
2011-11-30,304513.5773862717
2011-12-31,303149.1110072534
2012-01-31,302032.36198807624
2012-02-29,301160.1689292475
2012-03-31,300475.6838046314
2012-04-30,300223.79542737524
2012-05-31,300584.65965369454
2012-06-30,301444.47870754247
2012-07-31,302550.2785650276
2012-08-31,303501.1059781576
2012-09-30,304214.05494496546
2012-10-31,304854.40716764407
2012-11-30,305756.0417279835
2012-12-31,307227.94573361485
2013-01-31,309034.758405848
2013-02-28,311048.85321257805
2013-03-31,312314.0233827924
2013-04-30,313545.8860162468
2013-05-31,314960.8052367975
2013-06-30,317128.1020454072
2013-07-31,319415.04364370165
2013-08-31,321440.1059740257
2013-09-30,323216.66849147115
2013-10-31,325006.73275211366
2013-11-30,326754.3009728626
2013-12-31,328622.71453188005
2014-01-31,330393.0634225963
2014-02-28,331971.54899869376
2014-03-31,333324.47132524586
2014-04-30,334782.0692000639
2014-05-31,336464.4062005351
2014-06-30,337743.8615471576
2014-07-31,338622.49319634546
2014-08-31,338917.393453998
2014-09-30,339449.27199296054
2014-10-31,339655.1477609714
2014-11-30,340375.58084785845
2014-12-31,341438.8776843941
2015-01-31,343219.6637667007
2015-02-28,345193.6308478684
2015-03-31,346988.52278552274
2015-04-30,348465.7749162484
2015-05-31,349784.89285341563
2015-06-30,350892.042876715
2015-07-31,352182.05943772243
2015-08-31,353871.2295594641
2015-09-30,356081.6091404878
2015-10-31,358353.2625219659
2015-11-30,360400.36970457854
2015-12-31,362551.8812929587
2016-01-31,364851.9614171046
2016-02-29,366953.1069617649
2016-03-31,368413.7691143947
2016-04-30,369954.6214204393
2016-05-31,371674.4145321267
2016-06-30,373521.8522683436
2016-07-31,374866.1526583429
2016-08-31,375776.59834405634
2016-09-30,377057.8785723173
2016-10-31,378952.1014485541
2016-11-30,381514.5426388071
2016-12-31,384098.34539936815
2017-01-31,386458.5023385659
2017-02-28,388497.1602386488
2017-03-31,390708.2794241704
2017-04-30,393249.83979891846
2017-05-31,395873.21162273694
2017-06-30,398214.72332176846
2017-07-31,400182.9777946812
2017-08-31,401760.2693996694
2017-09-30,403639.114247199
2017-10-31,405447.4745940873
2017-11-30,407465.5174621765
2017-12-31,409224.7366137581
2018-01-31,411174.6710098524
2018-02-28,413258.8457452872
2018-03-31,415774.92113892565
2018-04-30,418292.6613432005
2018-05-31,420968.5881483502
2018-06-30,423287.885677105
2018-07-31,425627.6306413185
2018-08-31,427581.1554387231
2018-09-30,429260.2649238687
2018-10-31,429980.0843216225
2018-11-30,430134.767947642
2018-12-31,429675.4798263433
2019-01-31,429476.1130333128
2019-02-28,430000.8865877301
2019-03-31,431217.6933443082
2019-04-30,433072.2221577792
2019-05-31,434384.8944209055
2019-06-30,435522.1149147973
2019-07-31,435946.7956744361
2019-08-31,436155.621780595
2019-09-30,436090.05962504895
2019-10-31,436756.5306047796
2019-11-30,438273.4613284513
2019-12-31,440026.1452956692
2020-01-31,442224.5396075514
2020-02-29,444677.2134575521
2020-03-31,447793.487037706
2020-04-30,450570.9819510388
2020-05-31,452280.5501470775
2020-06-30,453090.3413572712
2020-07-31,454054.78634817776
2020-08-31,456885.7205422618
2020-09-30,462231.4619497845
2020-10-31,469346.23979387735
2020-11-30,477595.5024372364
2020-12-31,485859.0540453708
2021-01-31,493416.19232992857
2021-02-28,500975.2012470109
2021-03-31,508665.514312688
2021-04-30,517098.93506731495
2021-05-31,525738.8698128335
2021-06-30,533796.9197922596
2021-07-31,539003.9442940007
2021-08-31,540327.1015075793
2021-09-30,539013.0336691024
2021-10-31,538019.6754275543
2021-11-30,538620.2430611746
2021-12-31,540580.6137798361
2022-01-31,546202.4823780128
2022-02-28,555333.3150084099
2022-03-31,567671.0112546874
2022-04-30,579102.4532848882
2022-05-31,588820.3240999307
2022-06-30,596014.5752470182
2022-07-31,599322.872199805
2022-08-31,598145.4447842847
2022-09-30,593596.4276745366
2022-10-31,589646.5185361234
2022-11-30,587325.7783500218
2022-12-31,586668.9512079816
2023-01-31,585638.2074543942
2023-02-28,584976.8898108314
2023-03-31,585751.4604820317
2023-04-30,589666.3803229918
2023-05-31,595715.7161207399
2023-06-30,602513.2483615548
2023-07-31,608961.9540572702
2023-08-31,615172.3653123296
2023-09-30,620757.9809883035
2023-10-31,625519.4210569222
2023-11-30,629213.4311019258
2023-12-31,632117.1076575912
2024-01-31,633768.720800316
2024-02-29,635871.0953505471
2024-03-31,639669.0834464347
2024-04-30,645244.6091450396
