Date,Price
2000-01-31,116213.90185283328
2000-02-29,116273.1330239025
2000-03-31,116505.92109306096
2000-04-30,116972.70774408813
2000-05-31,117664.25432302714
2000-06-30,118425.27085100136
2000-07-31,119306.18281712344
2000-08-31,120201.14669452788
2000-09-30,121058.21809537149
2000-10-31,121867.047374021
2000-11-30,122700.70063286505
2000-12-31,123567.40673746048
2001-01-31,124384.33527929363
2001-02-28,125012.69993748702
2001-03-31,125526.55347860554
2001-04-30,125976.67597006926
2001-05-31,126526.77706679092
2001-06-30,127086.00715346924
2001-07-31,127666.95806792116
2001-08-31,128282.1834648338
2001-09-30,128951.7080165991
2001-10-31,129623.21812941296
2001-11-30,130229.04919343228
2001-12-31,130786.75263762528
2002-01-31,131368.3285936217
2002-02-28,131867.3886054229
2002-03-31,132305.19793275173
2002-04-30,132622.7611291371
2002-05-31,132948.6334570757
2002-06-30,133313.03351740507
2002-07-31,133671.50346588934
2002-08-31,134073.14950992443
2002-09-30,134451.58137752602
2002-10-31,134895.52436218932
2002-11-30,135324.20452196067
2002-12-31,135762.977679651
2003-01-31,136176.8188660811
2003-02-28,136537.4534572693
2003-03-31,136760.71761296273
2003-04-30,136969.1594861947
2003-05-31,137330.600346287
2003-06-30,137836.866883624
2003-07-31,138373.04547755604
2003-08-31,138907.28288048576
2003-09-30,139475.99096937117
2003-10-31,140126.52262870705
2003-11-30,140713.01425063473
2003-12-31,141266.61783232653
2004-01-31,141783.9582913536
2004-02-29,142195.93887133183
2004-03-31,142590.80564323987
2004-04-30,142873.61467878977
2004-05-31,143238.46659040192
2004-06-30,143625.62522663854
2004-07-31,144087.46111671717
2004-08-31,144565.7469252847
2004-09-30,145036.46225493157
2004-10-31,145536.35973049293
2004-11-30,145995.79031581446
2004-12-31,146439.1514488634
2005-01-31,146889.54761339992
2005-02-28,147257.85977511428
2005-03-31,147600.78602340273
2005-04-30,147882.43694758
2005-05-31,148219.39895082245
2005-06-30,148493.5995671949
2005-07-31,148699.0594270665
2005-08-31,148919.30388126022
2005-09-30,149179.6304333685
2005-10-31,149458.2017693925
2005-11-30,149690.099431239
2005-12-31,149918.77545145826
2006-01-31,150157.44107703405
2006-02-28,150378.5632123133
2006-03-31,150505.096757177
2006-04-30,150491.57802830695
2006-05-31,150357.9169211449
2006-06-30,150131.58645916532
2006-07-31,149879.43907904878
2006-08-31,149586.7762613846
2006-09-30,149267.4716415685
2006-10-31,148896.4270052792
2006-11-30,148466.92150252362
2006-12-31,147941.58707867865
2007-01-31,147336.13721163754
2007-02-28,146727.71958194548
2007-03-31,146087.43314358688
2007-04-30,145454.49189620107
2007-05-31,144692.38862737047
2007-06-30,143973.7543896594
2007-07-31,143096.78925024936
2007-08-31,142337.41561072823
