Date,Price
2000-01-31,128105.25001302458
2000-02-29,128533.05994548988
2000-03-31,128928.19303375336
2000-04-30,129860.1602779109
2000-05-31,130881.34774350806
2000-06-30,132063.2335831112
2000-07-31,133360.40964831796
2000-08-31,135134.1091120777
2000-09-30,136970.41188545866
2000-10-31,138853.85736486074
2000-11-30,140424.74242166616
2000-12-31,142069.65427102213
2001-01-31,143553.03214755835
2001-02-28,144882.43332264727
2001-03-31,146203.4108504431
2001-04-30,147632.24450507676
2001-05-31,149092.97152394298
2001-06-30,150556.52827431553
2001-07-31,152094.43239242988
2001-08-31,153771.22068402593
2001-09-30,155560.87904752334
2001-10-31,157410.33499128176
2001-11-30,159169.38755187474
2001-12-31,160671.28804474403
2002-01-31,161915.71785228924
2002-02-28,162954.3174458431
2002-03-31,163915.28655219986
2002-04-30,164829.7253202905
2002-05-31,166011.58116714138
2002-06-30,167221.3529312881
2002-07-31,168538.89249130207
2002-08-31,169729.5971788147
2002-09-30,170964.35276922016
2002-10-31,172164.4878520473
2002-11-30,173398.58531981488
2002-12-31,174742.44247587313
2003-01-31,176099.31950479953
2003-02-28,177345.92542342623
2003-03-31,178479.40764040384
2003-04-30,179551.43508797698
2003-05-31,180769.8577276899
2003-06-30,181969.25917470545
2003-07-31,183263.9939225193
2003-08-31,184516.5919588476
2003-09-30,185870.40592219544
2003-10-31,187138.61211014728
2003-11-30,188400.59715343185
2003-12-31,189606.29816315847
2004-01-31,190752.84799911236
2004-02-29,191910.54641594875
2004-03-31,193041.93812854623
2004-04-30,194332.15921353284
2004-05-31,195698.8027576292
2004-06-30,197213.2124858757
2004-07-31,198662.97305972365
2004-08-31,199970.0750142394
2004-09-30,201198.59708305832
2004-10-31,202325.9326915684
2004-11-30,203375.32094658297
2004-12-31,204408.73016372937
2005-01-31,205630.45879465796
2005-02-28,206963.1588844884
2005-03-31,208121.4863652156
2005-04-30,209358.8020666777
2005-05-31,210642.4602232303
2005-06-30,211932.56426152887
2005-07-31,212961.71023657796
2005-08-31,213719.28664104425
2005-09-30,214522.433514866
2005-10-31,215300.4398416331
2005-11-30,216179.779245898
2005-12-31,216898.0367572001
2006-01-31,217507.2519591699
2006-02-28,218004.7047772896
2006-03-31,218395.0155978558
2006-04-30,218757.70547402443
2006-05-31,219009.34866882864
2006-06-30,219286.03352291792
2006-07-31,219316.6376569252
2006-08-31,219189.108387566
2006-09-30,218805.4543154404
2006-10-31,218502.7295173125
2006-11-30,218179.08853301848
2006-12-31,218060.1028507162
2007-01-31,218061.71940832867
2007-02-28,218148.5793492
2007-03-31,218055.7274573932
2007-04-30,217765.76615976013
2007-05-31,217272.48391454585
2007-06-30,216625.49497801703
2007-07-31,215729.6097869115
2007-08-31,214902.2705907716
2007-09-30,214088.69431000832
2007-10-31,213366.1752040718
2007-11-30,212377.3497971828
2007-12-31,211125.52217411785
2008-01-31,209674.65691073815
2008-02-29,208001.1907945316
2008-03-31,206372.7937135864
2008-04-30,204787.01484569197
2008-05-31,203374.21909233605
2008-06-30,202082.72046360743
2008-07-31,200695.65910060136
2008-08-31,198978.86951061897
2008-09-30,197022.571762606
2008-10-31,194970.71720793968
2008-11-30,193077.61569348536
2008-12-31,191367.55001769413
2009-01-31,189753.7656282053
2009-02-28,188237.1503224121
2009-03-31,186492.95329609077
2009-04-30,184882.9904924645
2009-05-31,183601.41696159772
2009-06-30,182756.687454874
2009-07-31,182157.2671575958
2009-08-31,181669.8437715704
2009-09-30,181066.70488367145
2009-10-31,180315.94607170596
2009-11-30,179551.60385265932
2009-12-31,179110.68961932926
2010-01-31,178912.63916966648
2010-02-28,179006.33514676907
2010-03-31,179477.2884387552
2010-04-30,180047.78592592906
2010-05-31,180559.2289748188
2010-06-30,180564.52585805705
2010-07-31,180178.17564498575
2010-08-31,179149.43679526623
2010-09-30,177646.4648810187
2010-10-31,175932.25627902886
2010-11-30,174345.01911536022
2010-12-31,172566.39556960177
2011-01-31,170883.14695077084
2011-02-28,169127.3687042331
2011-03-31,167843.4477198904
2011-04-30,166523.3827309536
2011-05-31,165232.0745232691
2011-06-30,163923.7937287025
2011-07-31,162768.66893627736
2011-08-31,161899.95453452528
2011-09-30,161128.4161635426
2011-10-31,160384.8387918811
2011-11-30,159568.50616602486
2011-12-31,158724.68389657335
2012-01-31,158054.91746991573
2012-02-29,157850.59129091998
2012-03-31,158233.71098615692
2012-04-30,158912.48355087722
2012-05-31,159750.47981520245
2012-06-30,160824.4440705556
2012-07-31,162198.76876938433
2012-08-31,163684.36472690038
2012-09-30,165240.29858413409
2012-10-31,166837.8406284094
2012-11-30,168275.3359773487
2012-12-31,169580.8276911423
2013-01-31,170788.4053121912
2013-02-28,171977.37366165358
2013-03-31,173158.48939212968
2013-04-30,174232.0826993155
2013-05-31,175471.8936803372
2013-06-30,176861.17201491506
2013-07-31,178414.23191070708
2013-08-31,180150.28839248183
2013-09-30,181813.45803787975
2013-10-31,183469.2293641269
2013-11-30,184732.37936439147
2013-12-31,185914.30809844832
2014-01-31,186950.8619467372
2014-02-28,188099.5321825745
2014-03-31,189269.1059779562
2014-04-30,190333.56747653463
2014-05-31,191306.04369034263
2014-06-30,191900.13338943303
2014-07-31,192360.24338259315
2014-08-31,192682.6141636021
2014-09-30,193029.36310500975
2014-10-31,193257.25096921556
2014-11-30,193587.97818364008
2014-12-31,194033.7673248128
2015-01-31,194811.23496991835
2015-02-28,195787.1739534781
2015-03-31,196921.98033015503
2015-04-30,198116.5177981301
2015-05-31,199277.8204550265
2015-06-30,200244.5999875444
2015-07-31,201087.63896311063
2015-08-31,201922.7063989232
2015-09-30,202885.8667650627
2015-10-31,203953.0341676335
2015-11-30,205041.89410094483
2015-12-31,206338.2114291756
2016-01-31,207878.35821925604
2016-02-29,209448.41262935987
2016-03-31,210775.04668592464
2016-04-30,212011.2485208688
2016-05-31,212981.50886131285
2016-06-30,213898.4402556421
2016-07-31,214472.20953009045
2016-08-31,215086.9709494284
2016-09-30,215891.2427378865
2016-10-31,216947.9204981624
2016-11-30,218231.78705075115
2016-12-31,219655.8713530363
2017-01-31,221219.6731438612
2017-02-28,222904.56171470755
2017-03-31,224590.77110726564
2017-04-30,226426.9392360835
2017-05-31,228091.8151010021
2017-06-30,229486.1513214773
2017-07-31,230390.7625526425
2017-08-31,230993.0761946542
2017-09-30,231510.795988866
2017-10-31,232192.26225046883
2017-11-30,233270.6549949391
2017-12-31,234740.17405941105
2018-01-31,236284.865269832
2018-02-28,237895.8170380757
2018-03-31,239776.02990333352
2018-04-30,241687.3151499268
2018-05-31,243389.4401040298
2018-06-30,244389.05942103887
2018-07-31,245506.23448736625
2018-08-31,246458.69938948032
2018-09-30,247404.78106489015
2018-10-31,247878.6541738011
2018-11-30,248392.58597733683
2018-12-31,249138.6691408273
2019-01-31,250332.92333450116
2019-02-28,252022.56332847173
2019-03-31,253919.05680664405
2019-04-30,255543.8661990123
2019-05-31,256553.90853001337
2019-06-30,257279.23581780895
2019-07-31,257789.5630101076
2019-08-31,258277.5882946482
2019-09-30,258551.1993000749
2019-10-31,259115.9598313485
2019-11-30,260130.3612400269
2019-12-31,261504.05438016856
2020-01-31,263137.16420373955
2020-02-29,264953.537072468
2020-03-31,266930.64232922933
2020-04-30,268694.357140136
2020-05-31,269601.4183428656
2020-06-30,269835.78890157404
2020-07-31,269889.4646883724
2020-08-31,270771.00547386653
2020-09-30,272994.0668397587
2020-10-31,276214.0277960843
2020-11-30,279959.83461277216
2020-12-31,283652.18851526035
2021-01-31,287050.96950138925
2021-02-28,290515.2453270634
2021-03-31,293964.9163852086
2021-04-30,297800.45145127864
2021-05-31,302107.967009842
2021-06-30,306794.023658141
2021-07-31,310855.8989817469
2021-08-31,313083.0872716806
2021-09-30,313599.01639648847
2021-10-31,313648.4408080079
2021-11-30,314487.03861580585
2021-12-31,316001.1509117276
2022-01-31,318864.4992364393
2022-02-28,322592.31779538974
2022-03-31,327262.6548197389
2022-04-30,331978.0012443304
2022-05-31,336036.2905362901
2022-06-30,339051.1071996485
2022-07-31,339626.17021020147
2022-08-31,338268.19925067184
2022-09-30,335751.3380331728
2022-10-31,334018.5016712638
2022-11-30,332924.6338281985
2022-12-31,332011.7184094099
2023-01-31,331040.7663359738
2023-02-28,330539.2298306361
2023-03-31,330840.9475681804
2023-04-30,331871.7024224292
2023-05-31,333323.49989201047
2023-06-30,334975.8335057933
2023-07-31,336355.5963902795
2023-08-31,337464.9192864734
2023-09-30,338240.06676011585
2023-10-31,338385.6946047933
2023-11-30,338300.06250143057
2023-12-31,337907.96196317737
2024-01-31,337645.96206709166
2024-02-29,337881.1333276238
2024-03-31,339094.6900345904
2024-04-30,340599.94946221646
