Date,Price
2000-01-31,86461.85839401753
2000-02-29,86413.20522304744
2000-03-31,86410.18430071781
2000-04-30,86470.20767188571
2000-05-31,86772.16564980059
2000-06-30,87208.25831510314
2000-07-31,87613.06690263494
2000-08-31,87999.51075914799
2000-09-30,88341.51710229245
2000-10-31,88815.33549563475
2000-11-30,89317.53259681446
2000-12-31,89957.02551475346
2001-01-31,90537.76320486653
2001-02-28,90885.98604219256
2001-03-31,91098.1843425124
2001-04-30,91274.99665965915
2001-05-31,91597.43066403804
2001-06-30,91940.62992370274
2001-07-31,92227.02485708144
2001-08-31,92551.54325749452
2001-09-30,92850.11357581388
2001-10-31,93311.23867966305
2001-11-30,93656.00306422332
2001-12-31,93927.43132802128
2002-01-31,94061.96319116135
2002-02-28,94106.62043448618
2002-03-31,94145.13230699782
2002-04-30,94102.31914886709
2002-05-31,94208.18276242127
2002-06-30,94388.74217390124
2002-07-31,94704.72327855696
2002-08-31,94990.0658859511
2002-09-30,95323.722962049
2002-10-31,95721.37591987757
2002-11-30,96087.7558979482
2002-12-31,96385.26240911598
2003-01-31,96538.43660367127
2003-02-28,96669.83206767058
2003-03-31,96860.59001773794
2003-04-30,97132.15105732196
2003-05-31,97409.3495730725
2003-06-30,97647.30898363538
2003-07-31,97754.71182696668
2003-08-31,97972.293467601
2003-09-30,98209.48749767109
2003-10-31,98605.40132607178
2003-11-30,98887.52845920688
2003-12-31,99099.2832394408
2004-01-31,99271.0777015104
2004-02-29,99476.02559893564
2004-03-31,99752.7867778793
2004-04-30,100020.68718344352
2004-05-31,100298.25320065132
2004-06-30,100555.0612221833
2004-07-31,100857.92665356732
2004-08-31,101248.74064606678
2004-09-30,101768.00422880473
2004-10-31,102379.20165024612
2004-11-30,102889.92848972722
2004-12-31,103255.46521394498
2005-01-31,103470.34240665668
2005-02-28,103780.33540473242
2005-03-31,104202.80577605504
2005-04-30,104739.07198960516
2005-05-31,105243.62950214988
2005-06-30,105867.82602792508
2005-07-31,106438.5025124008
2005-08-31,107186.3819857259
2005-09-30,107965.86959639564
2005-10-31,108973.8867491072
2005-11-30,109839.57086290533
2005-12-31,110438.67876968038
2006-01-31,110873.5091410121
2006-02-28,111420.5213221426
2006-03-31,112231.3687445022
2006-04-30,113229.8507062194
2006-05-31,114021.68620101262
2006-06-30,114799.11246018732
2006-07-31,115348.1501164858
2006-08-31,116167.66019827052
2006-09-30,117035.93003955449
2006-10-31,118110.57213671909
2006-11-30,119002.94129478357
2006-12-31,119700.39737446477
2007-01-31,120214.76658345184
2007-02-28,120562.2171700877
2007-03-31,120788.95719323588
2007-04-30,120996.76767731516
2007-05-31,121383.65720916078
2007-06-30,121720.1829266916
2007-07-31,121894.8599648078
2007-08-31,122043.95228257409
2007-09-30,122235.79980471102
2007-10-31,122481.7611433427
2007-11-30,122609.24669268695
2007-12-31,122532.85612646984
2008-01-31,122496.99159694149
2008-02-29,122372.0330117072
2008-03-31,122286.50949149216
2008-04-30,121964.66829551996
2008-05-31,121400.81199795449
2008-06-30,120773.35827858576
2008-07-31,120110.75936575604
2008-08-31,119589.17514992115
2008-09-30,119085.3853273
2008-10-31,118696.3058320046
2008-11-30,118437.54635469474
2008-12-31,118262.61475506556
2009-01-31,117987.63847072182
2009-02-28,117678.70829291962
2009-03-31,117420.30201880804
2009-04-30,117245.06642623052
2009-05-31,117038.34917902718
2009-06-30,116757.66874288236
2009-07-31,116500.84787758053
2009-08-31,116172.22635059158
