Date,Price
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,166550.02136080197
2005-03-31,166560.3184827346
2005-04-30,167127.1044498123
2005-05-31,168020.04432529234
2005-06-30,169217.7491604139
2005-07-31,170258.34628496075
2005-08-31,171655.5244932254
2005-09-30,173293.72527226363
2005-10-31,175115.0080878182
2005-11-30,176449.18120627516
2005-12-31,177633.8122023247
2006-01-31,178411.71185017133
2006-02-28,179464.71724780998
2006-03-31,180612.10596027103
2006-04-30,182128.6733473905
2006-05-31,183603.77488902383
2006-06-30,185110.06500175185
2006-07-31,186544.07896088363
2006-08-31,188005.57493644263
2006-09-30,189211.91243430815
2006-10-31,190376.33887163084
2006-11-30,191554.7293185261
2006-12-31,192857.32592239697
2007-01-31,193875.15243159657
2007-02-28,194554.1171040722
2007-03-31,195057.24167951255
2007-04-30,195783.9831706717
2007-05-31,196457.3431958706
2007-06-30,197109.6194966901
2007-07-31,197532.61462973597
2007-08-31,198104.9453570232
2007-09-30,198681.5480730452
2007-10-31,199311.3862634941
2007-11-30,200016.5088470014
2007-12-31,200799.1267121885
2008-01-31,201535.1507831311
2008-02-29,202002.9897782005
2008-03-31,201788.16522280592
2008-04-30,201403.710920646
2008-05-31,201210.82753663123
2008-06-30,201478.90876404452
2008-07-31,201745.37274484875
2008-08-31,201643.45195820628
2008-09-30,201448.81007344928
2008-10-31,201230.15153372963
2008-11-30,201223.5333633249
2008-12-31,201162.11530241463
2009-01-31,201005.9606996179
2009-02-28,200554.66234683883
2009-03-31,200128.21711622103
2009-04-30,199668.81232604437
2009-05-31,199236.29341170503
2009-06-30,198580.8511567386
2009-07-31,197796.1157766578
2009-08-31,196883.96907744295
2009-09-30,195947.53409767363
2009-10-31,195319.0191750907
2009-11-30,194779.48708031685
2009-12-31,194292.25191251808
2010-01-31,193544.38024897128
2010-02-28,192829.4721138057
2010-03-31,192434.47258925223
2010-04-30,192262.25061537712
2010-05-31,192420.70387994408
2010-06-30,192398.80406147064
2010-07-31,192255.9613108771
2010-08-31,191928.83189372416
2010-09-30,191621.82208249244
2010-10-31,191236.2481176994
2010-11-30,190601.4668445217
2010-12-31,189754.2936195157
2011-01-31,188725.7822783228
2011-02-28,187542.61723873336
2011-03-31,186478.9577831674
2011-04-30,185827.18204167477
2011-05-31,185466.16933054573
2011-06-30,185252.10971819947
2011-07-31,184924.08408931
2011-08-31,184834.01715531584
2011-09-30,184850.96148722747
2011-10-31,185011.19354145837
2011-11-30,185123.2789217905
2011-12-31,185202.54719318592
2012-01-31,185323.66455276767
2012-02-29,185481.6154552526
2012-03-31,186040.00900501065
2012-04-30,186744.94136990397
2012-05-31,187655.58387704397
2012-06-30,188676.97798289647
2012-07-31,189587.58554626143
2012-08-31,190304.88104383872
2012-09-30,190900.45779089667
2012-10-31,191697.34584525012
2012-11-30,192873.51804356967
2012-12-31,194200.37795009115
2013-01-31,195269.4076482929
2013-02-28,195893.69802140468
2013-03-31,196190.6780129211
2013-04-30,196830.8020207032
2013-05-31,197808.20190431984
2013-06-30,198932.5206534268
2013-07-31,199803.2144635068
2013-08-31,200683.59004180852
2013-09-30,201633.22055022884
2013-10-31,202697.83667643668
2013-11-30,203581.97648648763
2013-12-31,204514.00788280697
2014-01-31,205476.4120014144
2014-02-28,206378.91009038425
2014-03-31,207242.69521503468
2014-04-30,208002.28543679576
2014-05-31,209021.955327191
2014-06-30,209817.8228871064
2014-07-31,211037.4735176797
2014-08-31,212120.8861183113
2014-09-30,213280.24956310683
2014-10-31,213854.7264558355
2014-11-30,214601.17533319537
2014-12-31,215431.14081594613
2015-01-31,216492.54851296803
2015-02-28,217431.93517963737
2015-03-31,218430.45556166544
2015-04-30,219784.40032752408
2015-05-31,221287.0411474697
2015-06-30,222825.04038709225
2015-07-31,224244.6284698913
2015-08-31,225672.4205606835
2015-09-30,227161.33038470332
2015-10-31,228664.83048891832
2015-11-30,230104.00301562343
2015-12-31,231466.270596716
2016-01-31,232779.39931206088
2016-02-29,233966.5550569516
2016-03-31,234687.9765912752
2016-04-30,235132.6606509613
2016-05-31,235441.90682579557
2016-06-30,235855.72539788703
2016-07-31,236210.8934078658
2016-08-31,236396.79969161548
2016-09-30,236552.4904247256
2016-10-31,236795.22360957056
2016-11-30,237545.34758073
2016-12-31,238680.54201024072
2017-01-31,239816.70686617625
2017-02-28,240979.76786736355
2017-03-31,242086.10389879893
2017-04-30,243584.2746072117
2017-05-31,244974.18703375076
2017-06-30,246432.40949608048
2017-07-31,247698.28651646184
2017-08-31,249079.5983088422
2017-09-30,250142.80567054744
2017-10-31,251161.6492484957
2017-11-30,252053.82200442196
2017-12-31,253144.79892811124
2018-01-31,254222.4473836159
2018-02-28,255282.76604420223
2018-03-31,256662.8979986509
2018-04-30,258113.40809857863
2018-05-31,259673.434344792
2018-06-30,260997.29272099843
2018-07-31,262514.2488012505
2018-08-31,263883.3592419915
2018-09-30,265129.11995978095
2018-10-31,266011.19972089026
2018-11-30,266891.52999037044
2018-12-31,267582.6068398491
2019-01-31,268356.6357857236
2019-02-28,269257.97593404533
2019-03-31,270662.22043708875
2019-04-30,272217.0644688332
2019-05-31,273582.2731124242
2019-06-30,274767.88317100884
2019-07-31,275946.26630531746
2019-08-31,277488.86853545526
2019-09-30,278776.8862782672
2019-10-31,279962.07318230905
2019-11-30,281191.9656855104
2019-12-31,282610.4003243584
2020-01-31,284480.74278768146
2020-02-29,286623.4869409484
2020-03-31,289385.5950246491
2020-04-30,291914.3647038753
2020-05-31,293487.1619025055
2020-06-30,294122.52180631977
2020-07-31,295050.4841676287
2020-08-31,297371.41022151755
2020-09-30,301575.04404760693
2020-10-31,306655.1077260527
2020-11-30,312857.692059966
2020-12-31,319543.3505381899
2021-01-31,326400.23785952205
2021-02-28,333615.5167198535
2021-03-31,341554.59016262146
2021-04-30,350506.6940488322
2021-05-31,360546.2136668642
2021-06-30,370587.7302460515
2021-07-31,379603.1112239966
2021-08-31,386871.7797912821
2021-09-30,392315.7753879178
2021-10-31,397395.1464302216
2021-11-30,402604.149777973
2021-12-31,408388.93683302106
2022-01-31,415887.2119001141
2022-02-28,424106.74691515166
2022-03-31,433930.7201690276
2022-04-30,444287.2815035856
2022-05-31,453920.2411460497
2022-06-30,461465.1866890399
2022-07-31,463958.0440252363
2022-08-31,462472.79050699767
2022-09-30,458013.7116065442
2022-10-31,454221.5318966468
2022-11-30,451188.8116186352
2022-12-31,448542.5750410136
2023-01-31,444341.0207831967
2023-02-28,440273.4854679378
2023-03-31,438103.27960398205
2023-04-30,439820.8591417342
2023-05-31,443861.455799167
2023-06-30,448415.7304632201
2023-07-31,452124.738565601
2023-08-31,454920.228232783
2023-09-30,456969.25257179
2023-10-31,458143.52842184977
2023-11-30,458519.9046642997
2023-12-31,458341.3254166809
2024-01-31,458755.4237147506
2024-02-29,460679.3320859743
2024-03-31,463351.71236223873
2024-04-30,465826.10268487775
