Date,Price
2000-01-31,116007.56215294676
2000-02-29,116191.8066271944
2000-03-31,116363.42429023069
2000-04-30,116625.4999845394
2000-05-31,116751.09364469332
2000-06-30,116821.62655440852
2000-07-31,116911.49261572852
2000-08-31,117138.12182917984
2000-09-30,117417.0237055741
2000-10-31,117709.81133712872
2000-11-30,118044.99416388384
2000-12-31,118385.37444746996
2001-01-31,118899.2493638228
2001-02-28,119239.97633709118
2001-03-31,116899.3501071029
2001-04-30,113552.48249481116
2001-05-31,110088.77750282965
2001-06-30,109214.38894734776
2001-07-31,109188.91288550342
2001-08-31,109361.90963147614
2001-09-30,109606.15251558142
2001-10-31,109840.27768692053
2001-11-30,110070.2016476122
2001-12-31,110316.16484856684
2002-01-31,110617.8363725038
2002-02-28,110905.65734994716
2002-03-31,111266.40322028488
2002-04-30,111559.28404083628
2002-05-31,111964.06948568576
2002-06-30,112283.48549840716
2002-07-31,112637.907474653
2002-08-31,112948.03556312477
2002-09-30,113285.27317782328
2002-10-31,113654.80758072749
2002-11-30,114007.19088024322
2002-12-31,114388.43508055055
2003-01-31,114800.50924394792
2003-02-28,115216.61412673484
2003-03-31,115689.39566811132
2003-04-30,116103.21056938288
2003-05-31,116623.27367650926
2003-06-30,117058.92513086286
2003-07-31,117599.86425117803
2003-08-31,118086.7552387821
2003-09-30,118645.33863304462
2003-10-31,119151.43445115718
2003-11-30,119657.24342349773
2003-12-31,120143.26276415888
2004-01-31,120640.19485358556
2004-02-29,121152.2297278475
2004-03-31,121718.30297477702
2004-04-30,122253.22037221512
2004-05-31,122860.66410764614
2004-06-30,123414.54853231295
2004-07-31,124043.46971288076
2004-08-31,124575.88577119463
2004-09-30,124963.3018204278
2004-10-31,125238.99450322612
2004-11-30,125496.43715084414
2004-12-31,125885.80978875724
2005-01-31,126331.29360069778
2005-02-28,126766.01828868897
2005-03-31,127285.08162072404
2005-04-30,127761.20097651902
2005-05-31,128296.46516987954
2005-06-30,128687.05764723197
2005-07-31,129119.81915012188
2005-08-31,129469.81847021502
2005-09-30,129840.16708585364
2005-10-31,130169.67887493424
2005-11-30,130518.3086048902
2005-12-31,130798.73176842816
2006-01-31,131119.73402098997
2006-02-28,131461.25644396924
2006-03-31,131929.06708865557
2006-04-30,132367.46632598134
2006-05-31,132798.52851319654
2006-06-30,133095.4872672723
2006-07-31,133348.18398676757
2006-08-31,133447.4890703864
2006-09-30,133570.03781987148
2006-10-31,133727.60062786975
2006-11-30,133977.74106385454
2006-12-31,134176.72600951642
2007-01-31,134344.08640735896
2007-02-28,134454.20503846087
2007-03-31,134627.9239366479
2007-04-30,134751.06979137505
2007-05-31,134825.40424551922
2007-06-30,134565.5705365427
2007-07-31,134423.98236122707
2007-08-31,134332.77575503098
2007-09-30,134368.86834390776
2007-10-31,134067.58295307332
2007-11-30,133732.4798929953
2007-12-31,133387.25159477876
2008-01-31,133026.2423208204
2008-02-29,132512.6809567751
