Date,Price
2000-01-31,162839.8979873532
2000-02-29,162854.54149635552
2000-03-31,163109.76124298412
2000-04-30,163689.55219977055
2000-05-31,164431.243175581
2000-06-30,165093.45410826066
2000-07-31,165605.93519366358
2000-08-31,166102.85541533527
2000-09-30,166697.998495974
2000-10-31,167371.2167179005
2000-11-30,168148.3458400414
2000-12-31,168893.42068910567
2001-01-31,169647.72404695087
2001-02-28,170446.05348975369
2001-03-31,171324.58977513062
2001-04-30,172213.41270593976
2001-05-31,173162.2368259274
2001-06-30,174089.87550905554
2001-07-31,175081.83142802367
2001-08-31,176100.51567757476
2001-09-30,177150.8734794086
2001-10-31,178212.36856693964
2001-11-30,179199.8257432308
2001-12-31,180218.48762111363
2002-01-31,181137.34017796023
2002-02-28,181947.09006596627
2002-03-31,182839.6134529682
2002-04-30,183858.52713469928
2002-05-31,185010.07218140815
2002-06-30,185983.6416227457
2002-07-31,186879.2301185575
2002-08-31,187710.51769441096
2002-09-30,188486.92582616827
2002-10-31,189448.60464444463
2002-11-30,190623.12690957915
2002-12-31,191939.8000268512
2003-01-31,193240.9813242935
2003-02-28,194519.6853580873
2003-03-31,195929.9994694976
2003-04-30,197403.00987673257
2003-05-31,199121.49372363355
2003-06-30,200849.1395031206
2003-07-31,202835.18142810417
2003-08-31,204922.0573613656
2003-09-30,207366.9969702621
2003-10-31,209997.70547402868
2003-11-30,213068.14538744627
2003-12-31,216262.5152775308
2004-01-31,219818.5295971477
2004-02-29,223503.50313216756
2004-03-31,228717.08791538
2004-04-30,234383.55856927065
2004-05-31,241505.0137051141
2004-06-30,249135.3021297709
2004-07-31,259301.82493421008
2004-08-31,268958.9739544333
2004-09-30,279723.8381628468
2004-10-31,288091.0159435154
2004-11-30,295623.3316149057
2004-12-31,300747.13080163527
2005-01-31,304813.51062929706
2005-02-28,310302.0427164954
2005-03-31,316313.678870131
2005-04-30,324216.7040484564
2005-05-31,330019.4793978511
2005-06-30,334474.646096436
2005-07-31,337208.6391911902
2005-08-31,340575.1222498258
2005-09-30,343524.62879929424
2005-10-31,345741.14194040955
2005-11-30,346979.9077368085
2005-12-31,347605.872662124
2006-01-31,348211.3446525757
2006-02-28,348418.1420984858
2006-03-31,350118.16974026227
2006-04-30,352477.8222865304
2006-05-31,355145.00745973986
2006-06-30,356288.4121972579
2006-07-31,356533.5050062263
2006-08-31,356097.13221726706
2006-09-30,355251.068768716
2006-10-31,353782.3546926542
2006-11-30,351736.7868231694
2006-12-31,350293.5672777177
2007-01-31,348814.57598925295
2007-02-28,347783.259746036
2007-03-31,346518.23963955854
2007-04-30,344691.20803993574
2007-05-31,342466.2364795027
2007-06-30,339447.36220029305
2007-07-31,335899.1632196628
2007-08-31,332099.66463504365
2007-09-30,327849.6144498826
2007-10-31,323715.0169198758
2007-11-30,317906.2789635951
2007-12-31,311635.689718633
2008-01-31,303792.71786897565
2008-02-29,295228.21959191863
2008-03-31,286393.75896487065
2008-04-30,278776.9379404605
2008-05-31,272506.2901462302
2008-06-30,265761.43797718285
2008-07-31,258535.71122012715
2008-08-31,251003.1939792541
2008-09-30,243463.38071618503
2008-10-31,236321.5415822025
2008-11-30,228652.44194978583
2008-12-31,221944.90343002268
2009-01-31,215196.9479345011
2009-02-28,209839.40287471315
2009-03-31,204584.2531770267
2009-04-30,199399.1399684841
2009-05-31,193406.57795668207
2009-06-30,187152.91129680237
2009-07-31,181076.8369855689
2009-08-31,176246.16053251317
2009-09-30,172515.72082551825
2009-10-31,170003.78855324356
2009-11-30,168088.08356420926
2009-12-31,166199.1595446674
2010-01-31,165125.16909949048
2010-02-28,164217.16868724307
2010-03-31,163428.3313508724
2010-04-30,162129.2922143622
2010-05-31,160815.1952727473
2010-06-30,160118.62169534134
2010-07-31,159470.99052066973
2010-08-31,158683.08461215193
2010-09-30,157427.84425842678
2010-10-31,156206.30715819783
2010-11-30,155465.86522132694
2010-12-31,154756.59621910405
2011-01-31,153481.20615016346
2011-02-28,151650.44706424477
2011-03-31,149569.80712057409
2011-04-30,147495.5718465719
2011-05-31,145976.8124472144
2011-06-30,144339.49271303948
2011-07-31,143129.9819844711
2011-08-31,141468.73128161658
2011-09-30,140425.2806822148
2011-10-31,139616.61714259494
2011-11-30,139076.00183491944
2011-12-31,138549.220957159
2012-01-31,138323.4561215735
2012-02-29,138194.29232980523
2012-03-31,137844.42445778087
2012-04-30,137351.82924407077
2012-05-31,137309.95246532632
2012-06-30,138421.10249365706
2012-07-31,140068.57184024915
2012-08-31,141923.82657727975
2012-09-30,143770.42283008885
2012-10-31,145722.79074816167
2012-11-30,148006.67647629956
2012-12-31,150116.6110712417
2013-01-31,152515.21063949613
2013-02-28,154967.24142601845
2013-03-31,157866.11495363724
2013-04-30,161273.6939679463
2013-05-31,165523.30289470442
2013-06-30,170576.7066779884
2013-07-31,175601.03469430262
2013-08-31,180086.5824492711
2013-09-30,184099.1171358497
2013-10-31,187784.2382469453
2013-11-30,191022.50084930044
2013-12-31,193279.61920696424
2014-01-31,194835.1371986724
2014-02-28,196399.9389296559
2014-03-31,198061.16279047696
2014-04-30,200039.26818879592
2014-05-31,202004.0205711621
2014-06-30,204230.08205785597
2014-07-31,206184.4836060812
2014-08-31,207546.4161390506
2014-09-30,208613.283535058
2014-10-31,209325.14791397867
2014-11-30,210523.89463490967
2014-12-31,211412.1811090978
2015-01-31,212505.0235737912
2015-02-28,213506.92241447268
2015-03-31,214845.8757361756
