Date,Price
2000-01-31,141586.31522956412
2000-02-29,142058.2804553499
2000-03-31,142627.5608006195
2000-04-30,143473.00181439548
2000-05-31,144400.55279160224
2000-06-30,145383.21977507143
2000-07-31,146744.78639888414
2000-08-31,148342.28647099857
2000-09-30,150051.65949423928
2000-10-31,152031.09025910354
2000-11-30,153926.3909032121
2000-12-31,155848.05077981504
2001-01-31,157601.8425982797
2001-02-28,159488.78374519866
2001-03-31,161265.3459152203
2001-04-30,163092.65132785655
2001-05-31,165106.11465136372
2001-06-30,167258.4984189121
2001-07-31,169431.01841477284
2001-08-31,171450.86560312795
2001-09-30,173494.02611583396
2001-10-31,175451.59904586023
2001-11-30,177336.18955885686
2001-12-31,179197.19061182495
2002-01-31,181042.1869602919
2002-02-28,182786.80309814817
2002-03-31,184324.9413760068
2002-04-30,185958.6641202756
2002-05-31,187519.2064806694
2002-06-30,189283.20313582147
2002-07-31,191050.3818159286
2002-08-31,193138.29909058227
2002-09-30,195361.1801667062
2002-10-31,197821.730120348
2002-11-30,200159.0979472998
2002-12-31,202478.8890790432
2003-01-31,204698.69194055756
2003-02-28,206934.82079712453
2003-03-31,209241.55687404927
2003-04-30,211368.2645179513
2003-05-31,213653.77074693365
2003-06-30,215844.6115231252
2003-07-31,218030.4403958036
2003-08-31,220093.59808331844
2003-09-30,222340.74955107577
2003-10-31,224735.20291537812
2003-11-30,226845.69341023217
2003-12-31,228589.6907137732
2004-01-31,230236.47872405185
2004-02-29,231961.06180307415
2004-03-31,233783.92701467592
2004-04-30,235791.22590706265
2004-05-31,238095.04665851183
2004-06-30,240572.6260475309
2004-07-31,242764.33564008828
2004-08-31,244845.8592063657
2004-09-30,246776.12084290013
2004-10-31,248723.27861716945
2004-11-30,250735.03548448565
2004-12-31,252814.4671659104
2005-01-31,254898.9568789119
2005-02-28,256847.745358814
2005-03-31,258836.19726474304
2005-04-30,261131.42083985373
2005-05-31,263297.4316682894
2005-06-30,265141.19076754927
2005-07-31,266587.3889658433
2005-08-31,268029.053545645
2005-09-30,269538.11943728145
2005-10-31,271040.8771560191
2005-11-30,272408.2280519398
2005-12-31,273681.7217044199
2006-01-31,274765.40766259114
2006-02-28,275051.2037041076
2006-03-31,275005.011509094
2006-04-30,275240.4924457189
2006-05-31,275762.8154099398
2006-06-30,276160.05577227444
2006-07-31,275875.2839684395
2006-08-31,275544.7477503584
2006-09-30,275068.31223805697
2006-10-31,274266.71581564326
2006-11-30,273295.2166207845
2006-12-31,272129.5596017135
2007-01-31,271100.054501136
2007-02-28,270013.18816806964
2007-03-31,269437.30283054133
2007-04-30,268785.35797193035
2007-05-31,268285.82019049535
2007-06-30,267521.849540085
2007-07-31,266866.547169157
2007-08-31,266324.94557731453
2007-09-30,265736.4220542938
2007-10-31,265037.97490869666
2007-11-30,263990.49735057395
2007-12-31,262702.56593347195
2008-01-31,261248.88136169445
2008-02-29,260071.18853883992
2008-03-31,258788.4748229543
2008-04-30,257741.9829600746
2008-05-31,255833.4677227378
2008-06-30,253682.49714185976
2008-07-31,251384.0909282439
2008-08-31,249303.6332887917
2008-09-30,247359.90425665447
2008-10-31,245208.58368909263
2008-11-30,243538.29430191
2008-12-31,241818.80389289156
2009-01-31,240732.2508393534
2009-02-28,239623.17238560805
2009-03-31,238656.21212211857
2009-04-30,236972.39549249265
2009-05-31,235193.7970251552
2009-06-30,233751.11257967816
2009-07-31,232652.5789189532
2009-08-31,231688.9397486979
2009-09-30,230619.90804239135
2009-10-31,229679.9273559393
2009-11-30,229084.2617836392
2009-12-31,228795.55973176676
2010-01-31,228760.8402390974
2010-02-28,228582.40459667417
2010-03-31,228174.37548287216
2010-04-30,227594.9528565556
2010-05-31,227158.06801636785
2010-06-30,226832.4277134244
2010-07-31,226791.26210257912
2010-08-31,226863.4096527642
2010-09-30,227116.8142922515
2010-10-31,226892.45801206995
2010-11-30,226131.3585191049
2010-12-31,225134.39742078815
2011-01-31,224273.2585578716
2011-02-28,224021.41525595167
2011-03-31,223633.52392492184
2011-04-30,223182.01265120588
2011-05-31,222237.3032506088
2011-06-30,221319.45209334628
2011-07-31,220127.3149374776
2011-08-31,219170.6062606664
2011-09-30,218278.5788526926
2011-10-31,217762.09176320364
2011-11-30,217077.2546739037
2011-12-31,216357.7290702128
2012-01-31,215528.5946416309
2012-02-29,215078.0834695551
2012-03-31,215043.00267898443
2012-04-30,215480.4905516669
2012-05-31,216006.62919059544
2012-06-30,216647.8563097393
2012-07-31,217227.41763479216
2012-08-31,217388.0283772553
2012-09-30,217485.92395127285
2012-10-31,217509.8467183764
2012-11-30,217681.64281078865
2012-12-31,217834.89156122136
2013-01-31,218045.59172613677
2013-02-28,218687.22106921216
2013-03-31,219121.1344462732
2013-04-30,219805.72971907267
2013-05-31,220516.520617596
2013-06-30,221642.89703857875
2013-07-31,222580.26195543216
2013-08-31,223528.65472179436
2013-09-30,224482.3074973176
2013-10-31,225581.5150246744
2013-11-30,226265.85190479047
2013-12-31,226787.03606681747
2014-01-31,227260.7512352434
2014-02-28,227840.8634777392
2014-03-31,228474.46437799072
2014-04-30,229061.45368606996
2014-05-31,229961.84795592632
2014-06-30,230740.3666123471
2014-07-31,231445.57563902563
2014-08-31,231845.2660166218
2014-09-30,232172.45009025495
2014-10-31,232400.0815404666
2014-11-30,232799.45813266817
2014-12-31,233362.68645999543
2015-01-31,233991.0090955537
2015-02-28,234818.13710048844
2015-03-31,235681.06672012573
2015-04-30,236854.3798313428
2015-05-31,238013.7389026224
2015-06-30,239144.79938575
2015-07-31,240292.6640898018
2015-08-31,241634.98338564005
2015-09-30,243076.16981608307
2015-10-31,244543.7912914468
2015-11-30,245748.6515767946
2015-12-31,246823.59737284147
2016-01-31,247706.42589384472
2016-02-29,248253.54569838865
2016-03-31,248468.5542092724
