Date,Price
2000-01-31,175374.65982793272
2000-02-29,175835.59117689048
2000-03-31,176274.83783720087
2000-04-30,177253.21683710403
2000-05-31,178249.8963166904
2000-06-30,179453.18087649252
2000-07-31,180821.17054952183
2000-08-31,182496.36491341444
2000-09-30,184346.8669766828
2000-10-31,186213.8342712936
2000-11-30,187875.76236835672
2000-12-31,189345.75487447565
2001-01-31,190719.79889409104
2001-02-28,192224.51757220292
2001-03-31,193718.3225103596
2001-04-30,195295.92804166747
2001-05-31,196859.7766274993
2001-06-30,198602.07506668768
2001-07-31,200484.3079427794
2001-08-31,202560.6670923221
2001-09-30,204795.07203919208
2001-10-31,207119.37518095828
2001-11-30,209251.26562585976
2001-12-31,211171.49160446788
2002-01-31,212977.30449937275
2002-02-28,214836.90589644836
2002-03-31,216736.58278871293
2002-04-30,218644.85600093644
2002-05-31,220628.81893390015
2002-06-30,222856.3080793069
2002-07-31,225367.90836536328
2002-08-31,228437.0161179334
2002-09-30,231859.5890648641
2002-10-31,235455.870668058
2002-11-30,238773.55133098704
2002-12-31,241870.59952829976
2003-01-31,244838.36613963323
2003-02-28,247714.3315774009
2003-03-31,250510.05695692543
2003-04-30,253281.07116717
2003-05-31,256176.68596978945
2003-06-30,259295.8027138368
2003-07-31,262612.8265984777
2003-08-31,266074.71921631304
2003-09-30,269355.7769642559
2003-10-31,272336.0601889096
2003-11-30,274914.881001782
2003-12-31,277318.1225754388
2004-01-31,279708.54719216126
2004-02-29,282152.4381090694
2004-03-31,284847.9503168776
2004-04-30,287758.5752829555
2004-05-31,291178.9790929933
2004-06-30,294893.10060279403
2004-07-31,298866.7387937721
2004-08-31,302974.3625492142
2004-09-30,307040.24809671467
2004-10-31,311056.65518097207
2004-11-30,314794.8353575061
2004-12-31,318278.81057417806
2005-01-31,321586.7009611193
2005-02-28,324715.92967348936
2005-03-31,327940.6143280563
2005-04-30,331630.1543669182
2005-05-31,335715.5852456475
2005-06-30,340031.93276888906
2005-07-31,344192.6378955984
2005-08-31,348276.0499362576
2005-09-30,352151.55484311143
2005-10-31,356002.8887754795
2005-11-30,359709.8925689032
2005-12-31,363198.00551711983
2006-01-31,366171.3389353214
2006-02-28,368986.59751870745
2006-03-31,371772.0930890921
2006-04-30,374790.7578384727
2006-05-31,377650.0783991657
2006-06-30,380115.41909139976
2006-07-31,381736.60105041525
2006-08-31,382458.4681371123
2006-09-30,382563.2632695008
2006-10-31,382113.3202327403
2006-11-30,381340.65945334296
2006-12-31,380138.3636109195
2007-01-31,378893.22287087113
2007-02-28,378011.6532093257
2007-03-31,377812.1792513786
2007-04-30,378006.3227149828
2007-05-31,377966.90360816434
2007-06-30,377176.87552667066
2007-07-31,375676.6025350462
2007-08-31,373851.9122341757
2007-09-30,372061.0601049412
2007-10-31,370440.3742023374
2007-11-30,368819.4425374077
2007-12-31,367169.0057483672
2008-01-31,365727.143939589
2008-02-29,364535.1750603304
2008-03-31,363081.1690020868
2008-04-30,360854.5282671415
2008-05-31,357856.9395879584
2008-06-30,354716.4356415341
2008-07-31,351691.9248828236
2008-08-31,348822.36066753726
2008-09-30,345911.6053405471
2008-10-31,342839.50708667893
2008-11-30,339577.69171363674
2008-12-31,336604.03566663293
2009-01-31,334307.4751267112
2009-02-28,332402.30171791854
2009-03-31,330553.8940558554
2009-04-30,328257.98856378807
2009-05-31,325857.57334554306
2009-06-30,323461.2471403116
2009-07-31,321241.4272450522
2009-08-31,319299.103760287
2009-09-30,317634.30490668776
2009-10-31,316432.0112316108
2009-11-30,315616.9665839246
2009-12-31,315315.32256637904
2010-01-31,315233.24679861445
2010-02-28,315349.4793867141
2010-03-31,315341.1401195268
2010-04-30,315241.2513070313
2010-05-31,314978.6135220972
2010-06-30,314504.8695970036
2010-07-31,313741.69626417686
2010-08-31,312509.292148701
2010-09-30,310813.08739101974
2010-10-31,308776.78395907907
2010-11-30,306769.5370965831
2010-12-31,304897.25180399884
2011-01-31,303332.65703355824
2011-02-28,301844.8670290338
2011-03-31,300318.23446435994
2011-04-30,298596.9863147522
2011-05-31,296691.14329972403
2011-06-30,294651.1367283066
2011-07-31,292457.19172457344
2011-08-31,290422.26256804104
2011-09-30,288610.2072065761
2011-10-31,286966.0951282994
2011-11-30,285206.29016270494
2011-12-31,283405.8355243639
2012-01-31,281943.47285852284
2012-02-29,281402.4705562265
2012-03-31,282023.24183016084
2012-04-30,282962.5323596198
2012-05-31,283720.1950258135
2012-06-30,283748.5001884001
2012-07-31,283607.00480822683
2012-08-31,282970.5280411768
2012-09-30,282684.60816191905
2012-10-31,282503.078662887
2012-11-30,282801.63442370296
2012-12-31,283148.0834628912
2013-01-31,283704.62996929296
2013-02-28,284246.90568362694
2013-03-31,284650.7962423879
2013-04-30,285139.8155998872
2013-05-31,285996.21137586824
2013-06-30,287036.7545001655
2013-07-31,288243.1531461749
2013-08-31,289655.58929760923
2013-09-30,291273.47598537715
2013-10-31,292856.5574537358
2013-11-30,293754.3107395211
2013-12-31,294475.2151142682
2014-01-31,295445.6869713114
2014-02-28,297161.0149283844
2014-03-31,299359.7563395934
2014-04-30,301530.80820167944
2014-05-31,303564.76856609544
2014-06-30,304767.18562871416
2014-07-31,305414.141261034
2014-08-31,305622.920238779
2014-09-30,305948.06724928063
2014-10-31,306157.222162792
2014-11-30,306248.6600651243
2014-12-31,306176.0921611615
2015-01-31,306112.5795611126
2015-02-28,306241.9677692883
2015-03-31,306737.97575627285
2015-04-30,307256.87395257625
2015-05-31,308020.09623268544
2015-06-30,308563.9812749576
2015-07-31,309345.29237198154
2015-08-31,310373.8388510148
2015-09-30,311867.6472897443
2015-10-31,313616.56894283515
2015-11-30,315146.4280279091
2015-12-31,316450.6423428384
2016-01-31,317435.5167055318
2016-02-29,318114.07181562384
2016-03-31,318298.4505167469
2016-04-30,318619.2384975566
2016-05-31,319184.17762999417
2016-06-30,320075.13731143693
2016-07-31,320752.16501947265
2016-08-31,321179.9978275507
2016-09-30,321345.8208668342
2016-10-31,321611.95432748896
2016-11-30,322016.4283464106
2016-12-31,323011.55778682936
2017-01-31,323957.0688771755
2017-02-28,324981.51101631345
2017-03-31,325793.8463427429
2017-04-30,327106.122362334
2017-05-31,328628.8960262555
2017-06-30,330232.6453411803
2017-07-31,331371.4625175987
2017-08-31,332161.5592546104
2017-09-30,332942.0325013274
2017-10-31,333954.89698870113
2017-11-30,335253.275031481
2017-12-31,336425.89326869074
2018-01-31,337558.7614177217
2018-02-28,338531.7235531128
2018-03-31,339926.05925350246
2018-04-30,341247.23261151783
2018-05-31,342685.63671303546
2018-06-30,343926.4945951333
2018-07-31,345512.16384064074
2018-08-31,346841.9367421801
2018-09-30,347756.0107763855
2018-10-31,348119.7311804978
2018-11-30,348748.7576030577
2018-12-31,349577.27439656056
2019-01-31,350718.75052822445
2019-02-28,352134.2433837526
2019-03-31,354035.3778338512
2019-04-30,356172.38770220004
2019-05-31,357797.57731244894
2019-06-30,358955.7583940635
2019-07-31,359516.2908153761
2019-08-31,359983.4584999296
2019-09-30,360220.715165338
2019-10-31,360906.2871157996
2019-11-30,362258.28440932464
2019-12-31,364004.544781656
2020-01-31,366141.7498495992
2020-02-29,368100.35619176825
2020-03-31,370547.893477292
2020-04-30,372933.28768753726
2020-05-31,374656.81883530697
2020-06-30,375220.6309376711
2020-07-31,375205.01795123145
2020-08-31,376381.9902310868
2020-09-30,379844.4437892228
2020-10-31,385054.09690529946
2020-11-30,391292.1227923869
2020-12-31,397812.3633128454
