Date,Price
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,134174.3820972378
2002-05-31,134406.18868343483
2002-06-30,134504.74072328987
2002-07-31,134849.4697132413
2002-08-31,135224.62106110735
2002-09-30,135678.8438669729
2002-10-31,136081.04526187896
2002-11-30,136449.49803911254
2002-12-31,136774.1200788068
2003-01-31,137102.60214674522
2003-02-28,137351.44600717284
2003-03-31,137540.2482971714
2003-04-30,137670.48795850648
2003-05-31,137866.25574182905
2003-06-30,138245.23350892306
2003-07-31,138774.53094727686
2003-08-31,139368.29796511587
2003-09-30,139873.29698621194
2003-10-31,140388.87843235585
2003-11-30,140963.2212511466
2003-12-31,141724.13309263642
2004-01-31,142411.26807842808
2004-02-29,143139.73214336424
2004-03-31,143694.63632903612
2004-04-30,144232.44399514914
2004-05-31,144853.88324047174
2004-06-30,145732.1922956357
2004-07-31,146797.2931754397
2004-08-31,147768.09139677943
2004-09-30,148513.11229606645
2004-10-31,149167.51410710558
2004-11-30,149767.58391971522
2004-12-31,150402.6847210827
2005-01-31,151021.7061563663
2005-02-28,151632.38116159072
2005-03-31,152411.8662409002
2005-04-30,153270.16840442468
2005-05-31,154230.6459918012
2005-06-30,155288.11708945312
2005-07-31,156672.93888820094
2005-08-31,158328.96875704452
2005-09-30,160256.8477014428
2005-10-31,162164.06993857506
2005-11-30,164059.36615551918
2005-12-31,165916.20077400655
2006-01-31,167695.48508624765
2006-02-28,169468.30485911193
2006-03-31,171198.2091970071
2006-04-30,173274.46561526382
2006-05-31,175364.9797196011
2006-06-30,177567.20639182368
2006-07-31,179494.94584550135
2006-08-31,181473.31485318192
2006-09-30,183359.99854459675
2006-10-31,185190.787622996
2006-11-30,186770.89335199085
2006-12-31,188016.70140798725
2007-01-31,188923.89987760244
2007-02-28,189637.59888743653
2007-03-31,190145.6777278453
2007-04-30,190932.3307883117
2007-05-31,191717.27302360177
2007-06-30,192869.73641155777
2007-07-31,193765.18972518644
2007-08-31,194531.5231554614
2007-09-30,194767.02123564496
2007-10-31,194833.11607580923
2007-11-30,194812.32022446487
2007-12-31,194882.10827448068
2008-01-31,194836.68741909135
2008-02-29,194674.00801080524
2008-03-31,194351.68732966288
2008-04-30,193872.18887368217
2008-05-31,193282.62029659408
2008-06-30,192497.9328014005
2008-07-31,191567.6062228589
2008-08-31,190528.888193622
2008-09-30,189555.01310562715
2008-10-31,188435.846595485
2008-11-30,187332.58656284973
2008-12-31,186414.52545607492
2009-01-31,185771.7304685726
2009-02-28,185106.7266267851
2009-03-31,183911.8406064688
2009-04-30,182800.6668346921
2009-05-31,181749.38449578933
2009-06-30,181609.9216579462
2009-07-31,181252.3491026856
2009-08-31,181012.08822022207
2009-09-30,180257.0175221575
2009-10-31,180063.805554025
2009-11-30,179726.3316312728
2009-12-31,179400.6605606896
2010-01-31,179192.8086684011
2010-02-28,179209.86757496078
2010-03-31,179487.5786892145
2010-04-30,179202.11726256038
2010-05-31,178770.97779639566
2010-06-30,177782.4837155365
2010-07-31,176698.9490648283
2010-08-31,175580.48902251662
2010-09-30,174526.4695872308
2010-10-31,173018.4602351204
2010-11-30,171345.61174002188
2010-12-31,169814.1940362921
2011-01-31,169262.83493883524
2011-02-28,169090.12057761857
2011-03-31,169106.896970688
2011-04-30,168545.5659140988
2011-05-31,167597.38110627013
2011-06-30,166407.24673085913
2011-07-31,165576.50424037778
2011-08-31,165016.22919622454
2011-09-30,164645.05347562852
2011-10-31,164260.75460327213
2011-11-30,163855.08905460886
2011-12-31,163463.63581329695
2012-01-31,163158.75786889836
2012-02-29,163045.67589882438
2012-03-31,163128.71950501646
2012-04-30,163273.78654742337
2012-05-31,163471.01691808182
2012-06-30,163665.8546091816
2012-07-31,163888.72437657474
2012-08-31,163919.46977782945
2012-09-30,163996.67041325368
2012-10-31,164104.93061830566
2012-11-30,164538.9964334075
2012-12-31,165091.2125232816
2013-01-31,165342.98980850496
2013-02-28,165178.00850562987
2013-03-31,165006.36538498147
2013-04-30,165073.46097844912
2013-05-31,165500.56914937662
2013-06-30,165911.59769270546
2013-07-31,165977.9591356686
2013-08-31,166009.69916898786
2013-09-30,165898.2996910799
2013-10-31,165906.15006721858
2013-11-30,165722.49548272486
2013-12-31,165636.33710681158
2014-01-31,165952.2818924253
2014-02-28,166531.96738795892
2014-03-31,167094.3942968558
2014-04-30,167463.49504228018
2014-05-31,168017.23048201614
2014-06-30,168314.09692732163
2014-07-31,168591.97047532335
2014-08-31,168485.15857298177
2014-09-30,168404.23875655833
2014-10-31,168210.06763780236
2014-11-30,168301.21799887632
2014-12-31,168582.0202426181
2015-01-31,168838.44748305276
2015-02-28,169062.3816707368
2015-03-31,169463.73982936644
2015-04-30,170118.90043055493
2015-05-31,170734.58122271346
2015-06-30,171005.1713378421
2015-07-31,171232.5584853089
2015-08-31,171497.29949208497
2015-09-30,171986.22974797056
2015-10-31,172487.6943148848
2015-11-30,172687.7696622688
2015-12-31,172867.93287732636
2016-01-31,173038.88584408534
2016-02-29,173368.44386714112
2016-03-31,173634.007663709
2016-04-30,174106.92979745983
2016-05-31,174813.89975579907
2016-06-30,175574.987318652
2016-07-31,175944.04126540353
2016-08-31,176099.72423296524
2016-09-30,176128.68961024482
2016-10-31,176526.6683389976
2016-11-30,177022.55226354106
2016-12-31,177511.28308213534
2017-01-31,177517.428232676
2017-02-28,177595.58257018038
2017-03-31,177884.0071600075
2017-04-30,178667.94967155866
2017-05-31,179313.89545360487
2017-06-30,179849.45145989783
2017-07-31,180322.4563627476
2017-08-31,180705.2403785504
2017-09-30,181108.55514800435
2017-10-31,181492.86532301488
2017-11-30,182085.3069387948
2017-12-31,182676.9073436248
2018-01-31,183121.2593150141
2018-02-28,183601.8733138216
2018-03-31,184268.2173134619
2018-04-30,184917.70832573707
2018-05-31,185465.18159996305
2018-06-30,185877.7935826026
2018-07-31,186649.4985621262
2018-08-31,187612.45627102425
2018-09-30,188770.0091328439
2018-10-31,189559.17545522776
2018-11-30,190347.2768461872
2018-12-31,191013.50332300828
2019-01-31,191810.5268621412
2019-02-28,192515.9109689484
2019-03-31,193360.21770197852
2019-04-30,194406.94134691876
2019-05-31,195653.37563101345
2019-06-30,196792.2694764063
2019-07-31,197703.3938085588
2019-08-31,198408.1300088267
2019-09-30,198981.32965266248
2019-10-31,199693.72785109107
2019-11-30,200776.1616997976
2019-12-31,202211.57485045007
2020-01-31,203671.26159591708
2020-02-29,204835.1979218916
2020-03-31,206031.76940909607
2020-04-30,207299.77703765503
2020-05-31,208457.3349096217
2020-06-30,209602.1196329426
2020-07-31,211145.2235176603
2020-08-31,213339.2872578956
2020-09-30,216257.63411572663
2020-10-31,219440.2192903482
2020-11-30,222558.19003751336
2020-12-31,225388.3700961341
2021-01-31,228155.3445159858
2021-02-28,231389.34365057937
2021-03-31,234866.2729845316
2021-04-30,238517.8925714912
2021-05-31,242131.62772662583
2021-06-30,245791.37363391745
2021-07-31,249012.9743605603
2021-08-31,251519.53111634543
2021-09-30,253090.08445535367
2021-10-31,254448.8823572177
2021-11-30,256249.75265116332
2021-12-31,258594.7220735281
2022-01-31,262007.28260035333
2022-02-28,266470.8328327802
2022-03-31,271893.5718904594
2022-04-30,277094.0403195335
2022-05-31,281306.2636108221
2022-06-30,284854.01659252075
2022-07-31,287103.42030953866
2022-08-31,287898.39809349424
2022-09-30,287225.89594487
2022-10-31,286462.2639273801
2022-11-30,285941.227938443
2022-12-31,285844.3519693297
2023-01-31,285701.3476694133
2023-02-28,285914.79803058266
2023-03-31,286645.43065903865
2023-04-30,288293.2366844117
2023-05-31,290394.4594350538
2023-06-30,292378.8354029639
2023-07-31,294015.50521893427
2023-08-31,295570.815891163
2023-09-30,296921.692020083
2023-10-31,298088.54680865136
2023-11-30,298979.35566365864
2023-12-31,299554.19484660885
2024-01-31,300083.1658545733
2024-02-29,300706.1898665689
2024-03-31,302253.72492502705
2024-04-30,304067.2129156085
