DATE,NYRGSP
1997-01-01,1085934.4
1998-01-01,1112323.6
1999-01-01,1172149.8
2000-01-01,1217036.4
2001-01-01,1240755.2
2002-01-01,1228580.8
2003-01-01,1236563.1
2004-01-01,1269433.1
2005-01-01,1301438.0
2006-01-01,1339568.5
2007-01-01,1353798.9
2008-01-01,1328095.7
2009-01-01,1379504.6
2010-01-01,1431624.0
2011-01-01,1440346.8
2012-01-01,1496280.1
2013-01-01,1501818.0
2014-01-01,1535375.9
2015-01-01,1565835.2
2016-01-01,1590567.8
2017-01-01,1624800.7
2018-01-01,1665186.8
2019-01-01,1709750.7
2020-01-01,1650567.2
2021-01-01,1724472.2
2022-01-01,1763524.6
2023-01-01,1775714.1
