Date,Price
2000-01-31,138372.96034126723
2000-02-29,138836.0933633315
2000-03-31,139286.89966830876
2000-04-30,140263.5059192025
2000-05-31,141279.79071273727
2000-06-30,142382.3058083997
2000-07-31,143355.5915936208
2000-08-31,144206.56438009153
2000-09-30,144951.80765766115
2000-10-31,145755.90337298042
2000-11-30,146739.6940876632
2000-12-31,147826.07558855863
2001-01-31,148860.95467952293
2001-02-28,149700.06866802904
2001-03-31,150440.89187423614
2001-04-30,151222.64318599785
2001-05-31,152112.06140704575
2001-06-30,153110.09374039495
2001-07-31,154173.74510731408
2001-08-31,155290.23864494843
2001-09-30,156388.07386009293
2001-10-31,157544.13376524637
2001-11-30,158756.61942854573
2001-12-31,160042.74029000223
2002-01-31,161290.66276269677
2002-02-28,162429.99473124658
2002-03-31,163405.57886191324
2002-04-30,164392.6732631925
2002-05-31,165444.511801623
2002-06-30,166655.710081581
2002-07-31,167957.3161558689
2002-08-31,169394.86659559616
2002-09-30,170871.31401139288
2002-10-31,172343.6163128325
2002-11-30,173793.00635926827
2002-12-31,175303.44363396135
2003-01-31,176769.94448597412
2003-02-28,178165.72392833905
2003-03-31,179611.74490826647
2003-04-30,181032.1420732689
2003-05-31,182480.2711175188
2003-06-30,183916.6058477297
2003-07-31,185413.92106362732
2003-08-31,187169.7227145819
2003-09-30,189129.6535056733
2003-10-31,191173.53420251596
2003-11-30,192941.90007196777
2003-12-31,194516.08949135616
2004-01-31,196028.71253017557
2004-02-29,197454.65800834328
2004-03-31,198629.94762928027
2004-04-30,199812.48490975928
2004-05-31,201216.74765213765
2004-06-30,202973.8408749924
2004-07-31,204939.3206184525
2004-08-31,206963.12387861087
2004-09-30,209049.36773563517
2004-10-31,211073.99444154347
2004-11-30,213114.2914237012
2004-12-31,215068.178570805
2005-01-31,216936.21625350672
2005-02-28,218751.8588743334
2005-03-31,220387.44995432557
2005-04-30,222110.30392838025
2005-05-31,223939.71429243125
2005-06-30,225865.92417405383
2005-07-31,227890.26588601852
2005-08-31,230010.2055409317
2005-09-30,232236.38671830905
2005-10-31,234489.68975462264
2005-11-30,236525.3938427129
2005-12-31,238524.55628071373
2006-01-31,240258.91722317107
2006-02-28,241828.2707541988
2006-03-31,243180.08265258264
2006-04-30,244390.98481743436
2006-05-31,245536.38743974376
2006-06-30,246688.7045837855
2006-07-31,247778.0155410797
2006-08-31,248777.8391976572
2006-09-30,249458.2939831365
2006-10-31,249994.2044402761
2006-11-30,250337.86218707755
2006-12-31,250652.7246847964
2007-01-31,250902.7138225507
2007-02-28,251095.99086354903
2007-03-31,251321.0242203334
2007-04-30,251381.39558745307
2007-05-31,251536.738482468
2007-06-30,251608.2208208067
2007-07-31,251713.07274969012
2007-08-31,251842.6051832188
2007-09-30,251874.94383093016
2007-10-31,252062.09099488737
2007-11-30,252240.99922161925
2007-12-31,252339.1502183168
2008-01-31,252398.93022859425
2008-02-29,252272.60178145312
2008-03-31,252165.06837833123
2008-04-30,251872.8041158933
2008-05-31,251415.92636762076
2008-06-30,250739.49085605177
2008-07-31,249839.84310390413
2008-08-31,248831.59818114844
2008-09-30,247691.31775992695
2008-10-31,246309.37664127784
2008-11-30,244793.747556046
2008-12-31,243361.0954928833
2009-01-31,242059.7440547394
2009-02-28,240983.6102676536
2009-03-31,240039.5853822118
2009-04-30,239279.9327827972
2009-05-31,238556.3087769898
2009-06-30,237785.4851253645
2009-07-31,236987.949396751
2009-08-31,236145.0869291708
2009-09-30,235435.77675809432
2009-10-31,234891.6477794722
2009-11-30,234547.5787278657
2009-12-31,234335.78341597403
2010-01-31,234161.4500354822
2010-02-28,234163.37467348357
2010-03-31,234274.2443376997
2010-04-30,234695.92382324144
2010-05-31,235152.42441929644
2010-06-30,235680.5305112598
2010-07-31,235967.1788772793
2010-08-31,235809.37535523728
2010-09-30,235233.05647969048
2010-10-31,234272.90707052
2010-11-30,233327.9534817126
2010-12-31,232413.8518425147
2011-01-31,231791.93997680987
2011-02-28,231298.2877427693
2011-03-31,230942.0952744759
2011-04-30,230477.500013261
2011-05-31,229999.3805130336
2011-06-30,229328.23244009653
2011-07-31,228678.80113790548
2011-08-31,228030.3107806368
2011-09-30,227433.25790386932
2011-10-31,226844.22505951385
2011-11-30,226218.57234620443
2011-12-31,225690.8572625031
2012-01-31,225234.7587608713
2012-02-29,225090.0211752279
2012-03-31,225292.8167889829
2012-04-30,225658.12913345065
2012-05-31,225960.67293030137
2012-06-30,226084.35468933047
2012-07-31,226071.5747987773
2012-08-31,225857.49057591613
2012-09-30,225766.95895056
2012-10-31,225636.0637466733
2012-11-30,225660.54142731876
2012-12-31,225735.15747353484
2013-01-31,226212.96471684772
2013-02-28,226956.19980867696
2013-03-31,227717.641561042
2013-04-30,228419.36980133504
2013-05-31,229116.9845759419
2013-06-30,230019.8843384223
2013-07-31,230821.9645509284
2013-08-31,231539.5110800588
2013-09-30,232015.75008058475
2013-10-31,232573.03878414445
2013-11-30,233039.85941696432
2013-12-31,233467.94423603255
2014-01-31,233932.1678342576
2014-02-28,234519.87859667488
2014-03-31,235363.02252621265
2014-04-30,236278.9454414002
2014-05-31,237308.76998186955
2014-06-30,237980.06460625728
2014-07-31,238452.28595236767
2014-08-31,238716.68545084787
2014-09-30,239133.00335920075
2014-10-31,239415.63987365196
2014-11-30,239847.4874046392
2014-12-31,240302.56367047923
2015-01-31,240798.10611401752
2015-02-28,241224.22444925093
2015-03-31,241537.3571560914
2015-04-30,241953.66184214933
2015-05-31,242556.0786003137
2015-06-30,243244.35894854672
2015-07-31,244075.73922938912
2015-08-31,245122.7920543652
2015-09-30,246525.34368568475
2015-10-31,248057.1483248268
2015-11-30,249310.4335779877
2015-12-31,250322.2467282506
2016-01-31,251117.98360591024
2016-02-29,251806.54104406413
2016-03-31,252132.4519532543
2016-04-30,252627.3114463394
2016-05-31,253306.1875383904
2016-06-30,254382.29740812
2016-07-31,255202.7642927016
2016-08-31,255790.4499978202
2016-09-30,256259.80999374692
2016-10-31,256973.826504616
2016-11-30,258073.1292044205
2016-12-31,259582.89148286893
2017-01-31,260991.59283083997
2017-02-28,262171.1026506945
2017-03-31,263062.7004191687
2017-04-30,264326.5072312645
2017-05-31,265644.24823787186
2017-06-30,266932.14077018923
2017-07-31,268034.21812466066
2017-08-31,269219.09703721845
2017-09-30,270446.8319154808
2017-10-31,271692.84783019265
2017-11-30,272663.7756145087
2017-12-31,273397.53644554265
2018-01-31,273837.7309769702
2018-02-28,274033.5100421457
2018-03-31,274794.2628075208
2018-04-30,275924.0486979422
2018-05-31,277794.1650072268
2018-06-30,279623.8080639898
2018-07-31,281821.174035857
2018-08-31,283903.8649335107
2018-09-30,285714.4976680719
2018-10-31,286831.3592384757
2018-11-30,287685.97864059947
2018-12-31,288384.99894556525
2019-01-31,289562.3278594566
2019-02-28,291091.0175296176
2019-03-31,292957.1824211683
2019-04-30,294559.603453795
2019-05-31,295658.0595234989
2019-06-30,296782.40748000744
2019-07-31,297906.58150053
2019-08-31,299218.19560303364
2019-09-30,300142.6388270575
2019-10-31,301139.41184062103
2019-11-30,302401.3146380849
2019-12-31,303905.13109618606
2020-01-31,305627.228986815
2020-02-29,307249.3698711707
2020-03-31,308868.9161819709
2020-04-30,310322.8255877252
2020-05-31,311423.2823632167
2020-06-30,312143.8902910025
2020-07-31,312877.6933124933
2020-08-31,314282.46301683405
2020-09-30,317103.206011969
2020-10-31,320997.71896596777
2020-11-30,325830.4225808852
2020-12-31,330985.61708743667
2021-01-31,335866.77251981955
2021-02-28,340819.66456438514
2021-03-31,345424.24991858605
2021-04-30,350002.7321513434
2021-05-31,354778.1318359757
2021-06-30,359826.5496001944
2021-07-31,364229.2842873106
2021-08-31,367156.0937754924
2021-09-30,368660.2185084291
2021-10-31,370161.7611012065
2021-11-30,372238.3125126392
2021-12-31,374805.13989049935
2022-01-31,378265.26481925696
2022-02-28,382383.5073006814
2022-03-31,387590.3250551535
2022-04-30,393144.2584206126
2022-05-31,398652.7589320792
2022-06-30,404072.2681416855
2022-07-31,407996.796006508
2022-08-31,409847.1739238512
2022-09-30,409448.4334099523
2022-10-31,408492.4214948373
2022-11-30,407580.9459897367
2022-12-31,406747.2655104774
2023-01-31,406099.4289687955
2023-02-28,405964.96277287806
2023-03-31,407158.6954037029
2023-04-30,409629.2909675457
2023-05-31,412790.4210633914
2023-06-30,416206.2768340088
2023-07-31,419530.5957166625
2023-08-31,422801.20215423126
2023-09-30,425654.6555351652
2023-10-31,427989.7713191775
2023-11-30,430127.8170560268
2023-12-31,432305.0517385351
2024-01-31,434351.5815856648
2024-02-29,436734.46806459496
2024-03-31,439704.4293688624
2024-04-30,443364.577818431
