Date,Price
2000-01-31,130314.62266618024
2000-02-29,130509.99700826676
2000-03-31,130711.59862331138
2000-04-30,131150.35286579406
2000-05-31,131643.94007101958
2000-06-30,132170.0616563338
2000-07-31,132682.5478603967
2000-08-31,133164.2731008031
2000-09-30,133636.59769449907
2000-10-31,134138.53937210722
2000-11-30,134701.97328573163
2000-12-31,135300.1148922854
2001-01-31,135919.19338637296
2001-02-28,136384.59687949778
2001-03-31,136761.55559354194
2001-04-30,137040.18348373316
2001-05-31,137362.55041800218
2001-06-30,137685.3859256272
2001-07-31,137992.25747953888
2001-08-31,138340.8012659604
2001-09-30,138696.77825672735
2001-10-31,139088.55934976155
2001-11-30,139395.55115584045
2001-12-31,139664.7330109099
2002-01-31,139893.0067606696
2002-02-28,140083.3033919969
2002-03-31,140265.15742114055
2002-04-30,140381.44043190175
2002-05-31,140566.24436894146
2002-06-30,140760.40119614676
2002-07-31,141026.62146640508
2002-08-31,141289.4747581898
2002-09-30,141553.57029488657
2002-10-31,141814.20117867182
2002-11-30,142054.29672187587
2002-12-31,142300.45124596148
2003-01-31,142540.3158244552
2003-02-28,142756.62462785226
2003-03-31,142957.04571290672
2003-04-30,143125.88110750305
2003-05-31,143325.45902845066
2003-06-30,143528.56109999813
2003-07-31,143776.45227263434
2003-08-31,144082.21759758622
2003-09-30,144410.8966801427
2003-10-31,144738.58287026256
2003-11-30,145032.12525800895
2003-12-31,145353.36696555148
2004-01-31,145683.56625202738
2004-02-29,146015.228624313
2004-03-31,146312.08383327755
2004-04-30,146617.62625043537
2004-05-31,146921.261812264
2004-06-30,147290.46276754767
2004-07-31,147677.74011929904
2004-08-31,148098.81454731213
2004-09-30,148549.2744613936
2004-10-31,149041.9347177148
2004-11-30,149551.6434377605
2004-12-31,150055.0794895285
2005-01-31,150447.38571280264
2005-02-28,150865.85831244607
2005-03-31,151258.39829974217
2005-04-30,151775.5550158116
2005-05-31,152325.62334860512
2005-06-30,153004.19539839771
2005-07-31,153755.61147723172
2005-08-31,154580.10354573547
2005-09-30,155386.71666927234
2005-10-31,156231.8543940877
2005-11-30,157029.94631493065
2005-12-31,157806.6192883424
2006-01-31,158527.5580209215
2006-02-28,159239.02659453786
2006-03-31,160003.4566061752
2006-04-30,160818.74195621794
2006-05-31,161704.06808050335
2006-06-30,162587.90035182278
2006-07-31,163490.1172105105
2006-08-31,164416.12404851336
2006-09-30,165312.67771222795
2006-10-31,166134.92673409954
2006-11-30,166825.27169578822
2006-12-31,167445.05038715675
2007-01-31,168073.44662527682
2007-02-28,168672.73854832348
2007-03-31,169342.96243839926
2007-04-30,170031.81199865736
2007-05-31,170774.39025329842
2007-06-30,171494.2014604998
2007-07-31,172119.5719434115
2007-08-31,172684.758841496
2007-09-30,173130.38556261512
2007-10-31,173478.56414690975
2007-11-30,173736.76803984912
2007-12-31,173904.25521341906
2008-01-31,174018.91780793274
2008-02-29,174089.64049988208
2008-03-31,174175.8452165322
2008-04-30,174225.09489552383
2008-05-31,174182.8446770968
2008-06-30,173956.244837819
2008-07-31,173568.88118312383
2008-08-31,173112.90601549635
2008-09-30,172626.00066390855
2008-10-31,172127.9636723988
2008-11-30,171506.24841409933
2008-12-31,170763.99856189432
2009-01-31,169949.265411401
2009-02-28,169333.75874398582
2009-03-31,168844.61615075523
2009-04-30,168343.37020282008
2009-05-31,167690.45156046396
2009-06-30,166953.8583722471
2009-07-31,166223.34710177232
2009-08-31,165396.6771013115
2009-09-30,164642.7623286676
2009-10-31,164013.20074329633
2009-11-30,163586.61175893413
2009-12-31,163180.46417960632
2010-01-31,162806.8540584242
2010-02-28,162402.39417112016
2010-03-31,162081.9384738257
2010-04-30,161938.25154154954
2010-05-31,161893.55420898015
2010-06-30,161767.45675571138
2010-07-31,161358.4977699179
2010-08-31,160766.46530491544
2010-09-30,160085.50436684376
2010-10-31,159411.55329930256
2010-11-30,158722.86710268477
2010-12-31,158053.79337037448
2011-01-31,157357.72034136674
2011-02-28,156700.31531426546
2011-03-31,156024.43190074168
2011-04-30,155298.72946093432
2011-05-31,154591.89260630324
2011-06-30,153949.85783354798
2011-07-31,153388.008910761
2011-08-31,152813.67873381273
2011-09-30,152304.5122849166
2011-10-31,151726.44799716034
2011-11-30,151152.74366114903
2011-12-31,150597.02570727523
2012-01-31,150166.1148754472
2012-02-29,149985.19133812017
2012-03-31,150074.4525647142
2012-04-30,150399.89942635506
2012-05-31,150776.64916238212
2012-06-30,151070.76104990265
2012-07-31,151320.67094994753
2012-08-31,151348.10849410878
2012-09-30,151391.98653828676
2012-10-31,151375.4725727872
2012-11-30,151375.61556284735
2012-12-31,151309.63273336805
2013-01-31,151244.36291540624
2013-02-28,151342.68586186695
2013-03-31,151568.03213687154
2013-04-30,151922.85160931005
2013-05-31,152457.4654607779
2013-06-30,153127.22124649977
2013-07-31,153816.4279404554
2013-08-31,154472.37132512254
2013-09-30,154995.4115155168
2013-10-31,155524.85506701854
2013-11-30,155790.06687672125
2013-12-31,156027.1220513448
2014-01-31,156267.86851851494
2014-02-28,156766.43781876398
2014-03-31,157304.48420834958
