Date,Price
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,
2005-06-30,
2005-07-31,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-31,
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,
2008-02-29,
2008-03-31,
2008-04-30,
2008-05-31,
2008-06-30,
2008-07-31,
2008-08-31,
2008-09-30,
2008-10-31,
2008-11-30,
2008-12-31,
2009-01-31,163801.10472114658
2009-02-28,163807.03964072856
2009-03-31,163767.26650136197
2009-04-30,163557.21076249902
2009-05-31,163239.432490265
2009-06-30,162886.39200093874
2009-07-31,162643.76774511047
2009-08-31,162851.5605037407
2009-09-30,163267.75479539623
2009-10-31,163651.53833618294
2009-11-30,163560.45964338197
2009-12-31,163356.57866712086
2010-01-31,163253.13030643194
2010-02-28,163117.69013296373
2010-03-31,162824.07812458035
2010-04-30,162478.86083613802
2010-05-31,162430.67015100818
2010-06-30,162665.85431181776
2010-07-31,163261.5469057261
2010-08-31,163930.93527988283
2010-09-30,164739.1113163405
2010-10-31,165276.32204944798
2010-11-30,165629.83454356078
2010-12-31,165774.76986150886
2011-01-31,165816.0312431477
2011-02-28,165840.6317554469
2011-03-31,166030.89455586404
2011-04-30,166386.5778621825
2011-05-31,166535.82479881265
2011-06-30,166271.91613956811
2011-07-31,165900.49368381032
2011-08-31,165794.30684219234
2011-09-30,165881.76201394817
2011-10-31,166116.50298198647
2011-11-30,166290.55444705774
2011-12-31,166411.9980930791
2012-01-31,166563.21506345636
2012-02-29,166926.97587702295
2012-03-31,167637.87320526567
2012-04-30,168472.25819250022
2012-05-31,169624.89577248006
2012-06-30,171192.89740982102
2012-07-31,172980.49441291753
2012-08-31,174977.7574121627
2012-09-30,177045.47264886394
2012-10-31,179366.9440920034
2012-11-30,181583.8790530445
2012-12-31,183843.0993649414
2013-01-31,186287.0799707144
2013-02-28,188264.44112246067
2013-03-31,189878.8895890283
2013-04-30,190792.07322919217
2013-05-31,192119.80051012523
2013-06-30,193580.63123689935
2013-07-31,195039.37083109995
2013-08-31,196618.4200226917
2013-09-30,198132.6104100521
2013-10-31,199956.53611763925
2013-11-30,201276.91459409776
2013-12-31,202297.11223778396
2014-01-31,202899.98321833205
2014-02-28,203377.1939651314
2014-03-31,203692.2688151103
2014-04-30,204062.3268433056
2014-05-31,204646.2021007825
2014-06-30,205526.2344556297
2014-07-31,206903.5179598512
2014-08-31,208503.9787015336
2014-09-30,210098.55782320717
2014-10-31,211519.11779963187
2014-11-30,213031.78151099329
2014-12-31,214700.595822086
2015-01-31,216235.4273117305
2015-02-28,217685.32086408613
2015-03-31,219139.44048335223
2015-04-30,220913.9064325533
2015-05-31,222785.98331211504
2015-06-30,224405.40166181707
2015-07-31,225568.6915127205
2015-08-31,226558.52193468375
2015-09-30,227336.1913992426
2015-10-31,228255.88955223156
2015-11-30,228946.1090729732
2015-12-31,230110.09696722496
2016-01-31,230833.64993114863
2016-02-29,231299.826402114
2016-03-31,230752.40524910853
2016-04-30,230113.4344598957
2016-05-31,229559.44246898976
2016-06-30,229426.89956321855
2016-07-31,229067.1116741684
2016-08-31,228142.31662780003
2016-09-30,227106.20176040285
2016-10-31,226304.09443025148
2016-11-30,225952.79725718
2016-12-31,225798.83039730863
2017-01-31,225589.123836256
2017-02-28,225616.2454144733
2017-03-31,225590.85947012733
2017-04-30,225803.75453833435
2017-05-31,225858.01268427636
2017-06-30,225910.98571544
2017-07-31,225878.15931324623
2017-08-31,225524.01578704664
2017-09-30,225014.58557662932
2017-10-31,224360.8003076401
2017-11-30,223784.0023287185
2017-12-31,223149.63736792767
2018-01-31,222639.0127713341
2018-02-28,222301.93275255675
2018-03-31,222432.86264327075
2018-04-30,222421.73217176177
2018-05-31,222266.4496082521
2018-06-30,221549.41985179367
2018-07-31,221085.07375445627
2018-08-31,220586.62478955844
2018-09-30,220400.75249397152
2018-10-31,219995.56109466843
2018-11-30,219717.6073870072
2018-12-31,219396.0422921986
2019-01-31,219452.40858345607
2019-02-28,220050.73879650029
2019-03-31,220958.85990530657
2019-04-30,221739.27462924653
2019-05-31,222389.7639614296
2019-06-30,223322.3117651936
2019-07-31,224335.2713903852
2019-08-31,225085.3014897355
2019-09-30,225376.79628176257
2019-10-31,225830.36576769117
2019-11-30,226527.55291394112
2019-12-31,227396.7808495304
2020-01-31,227750.17677127317
2020-02-29,227978.67494022127
2020-03-31,228240.47278395912
2020-04-30,228950.04114699317
2020-05-31,229413.33140242996
2020-06-30,229708.51009440687
2020-07-31,230056.17975933407
2020-08-31,230922.4802207788
2020-09-30,232692.81840871065
2020-10-31,233961.79112642191
2020-11-30,234975.7136369218
2020-12-31,235252.34358688165
2021-01-31,235685.48681852932
2021-02-28,236248.13247904408
2021-03-31,236744.68470534845
2021-04-30,237691.63634407253
2021-05-31,239323.10459395236
2021-06-30,241647.217717192
2021-07-31,243831.065680373
2021-08-31,245258.73114651884
2021-09-30,245745.4608198607
2021-10-31,246193.22467745305
2021-11-30,246992.71524673872
2021-12-31,248428.52266476324
2022-01-31,250612.6933207415
2022-02-28,252531.79694030227
2022-03-31,254485.7207900337
2022-04-30,256598.66212262856
2022-05-31,258869.207907238
2022-06-30,261256.51112488867
2022-07-31,262416.2516692348
2022-08-31,262948.9998581948
2022-09-30,262529.1458862325
2022-10-31,262592.30457961286
2022-11-30,262845.3659567439
2022-12-31,262837.46579021023
2023-01-31,261833.42735332265
2023-02-28,260453.4259345059
2023-03-31,259864.04330879683
2023-04-30,260399.54264772745
2023-05-31,261472.9809450088
2023-06-30,262635.7313822379
2023-07-31,263114.21024448046
2023-08-31,263351.4739466705
2023-09-30,262749.7972348444
2023-10-31,261796.7827606036
2023-11-30,260651.3879747273
2023-12-31,259290.46031667665
2024-01-31,258592.44629220356
2024-02-29,258742.69093005417
2024-03-31,260198.24348634452
2024-04-30,262095.0776829533
