Date,Price
2000-01-31,107115.76629814698
2000-02-29,107183.77457834048
2000-03-31,107283.33521487478
2000-04-30,107575.3510795998
2000-05-31,108021.18042613693
2000-06-30,108576.67701465035
2000-07-31,109127.86854212284
2000-08-31,109662.64838032553
2000-09-30,110188.07435481536
2000-10-31,110695.18319729726
2000-11-30,111189.76990503138
2000-12-31,111659.60553555742
2001-01-31,112097.3249918467
2001-02-28,112446.00962037082
2001-03-31,112768.38304970124
2001-04-30,113085.31332211469
2001-05-31,113429.54208596394
2001-06-30,113771.46136032802
2001-07-31,114154.21563430356
2001-08-31,114576.82658450972
2001-09-30,115007.14796984998
2001-10-31,115419.58529188608
2001-11-30,115792.75059814514
2001-12-31,116129.94918750876
2002-01-31,116415.09183926437
2002-02-28,116647.63209231295
2002-03-31,116868.658401863
2002-04-30,117091.66107343975
2002-05-31,117357.48538264893
2002-06-30,117657.731264462
2002-07-31,118008.1447048682
2002-08-31,118376.15181892742
2002-09-30,118747.3273233442
2002-10-31,119121.35635995236
2002-11-30,119507.82736916433
2002-12-31,119890.05177676266
2003-01-31,120237.08293672574
2003-02-28,120553.96435215452
2003-03-31,120840.37399271192
2003-04-30,121138.8767116214
2003-05-31,121462.4088098973
2003-06-30,121851.71600049184
2003-07-31,122298.5136083049
2003-08-31,122819.6104222972
2003-09-30,123351.30349085754
2003-10-31,123870.59003632932
2003-11-30,124304.11188190588
2003-12-31,124690.75827082703
2004-01-31,125016.69132149228
2004-02-29,125348.97164003458
2004-03-31,125685.41510970565
2004-04-30,126014.14085722162
2004-05-31,126357.45628088928
2004-06-30,126716.76325123895
2004-07-31,127120.97591275156
2004-08-31,127498.26032196076
2004-09-30,127861.37764021684
2004-10-31,128203.3759657825
2004-11-30,128551.92710938916
2004-12-31,128880.42681469276
2005-01-31,129231.11642086266
2005-02-28,129601.94872853276
2005-03-31,129982.33631210764
2005-04-30,130340.3943190144
2005-05-31,130649.68872539514
2005-06-30,130958.11823839524
2005-07-31,131246.8820985985
2005-08-31,131561.42254838432
2005-09-30,131864.43217342
2005-10-31,132175.07661659946
2005-11-30,132481.1652637854
2005-12-31,132760.2756681718
2006-01-31,132988.40474546037
2006-02-28,133171.2951794474
2006-03-31,133338.60905931145
2006-04-30,133513.44697498003
2006-05-31,133689.83059128292
2006-06-30,133846.3878362762
2006-07-31,133984.8346653096
2006-08-31,134072.18716619152
2006-09-30,134097.89645647813
2006-10-31,134074.13939892038
2006-11-30,133989.46542733302
2006-12-31,133854.54616475743
2007-01-31,133707.4157163528
2007-02-28,133615.27015079977
2007-03-31,133483.5065501931
2007-04-30,133336.17726800265
2007-05-31,133164.92658764453
2007-06-30,133008.69503342945
2007-07-31,132799.0609500569
2007-08-31,132550.08447706315
2007-09-30,132361.15960713962
2007-10-31,132136.8614049695
2007-11-30,131768.9348562249
2007-12-31,131302.78787578348
2008-01-31,130811.61216559556
2008-02-29,130340.60360600852
2008-03-31,129954.16661219178
2008-04-30,129617.15065193652
2008-05-31,129342.3305947517
2008-06-30,129033.1570038716
2008-07-31,128731.98560071694
2008-08-31,128376.2317725598
2008-09-30,127954.86228297424
2008-10-31,127406.05410405262
2008-11-30,126854.39840521784
2008-12-31,126193.96501671577
2009-01-31,125429.96953999356
2009-02-28,124594.24624156608
2009-03-31,123842.74493811744
2009-04-30,123319.6079061877
2009-05-31,122956.82843795276
2009-06-30,122638.0449877762
2009-07-31,122251.9395592269
2009-08-31,121829.31650653169
2009-09-30,121438.70713406875
2009-10-31,121158.79092075872
2009-11-30,120878.36806191476
2009-12-31,120641.24179695843
2010-01-31,120410.021127937
2010-02-28,120355.67258212672
2010-03-31,120332.8255054374
2010-04-30,120384.56872258108
2010-05-31,120392.00726222282
2010-06-30,120346.22928788335
2010-07-31,120100.6225493498
2010-08-31,119731.30675857006
2010-09-30,119233.5110008886
2010-10-31,118671.24628408856
2010-11-30,118009.21833470272
2010-12-31,117286.27365084754
2011-01-31,116601.59184309648
2011-02-28,115957.71525790282
2011-03-31,115450.84662533372
2011-04-30,114936.52448298204
2011-05-31,114437.92670990556
2011-06-30,113951.41389368963
2011-07-31,113611.16652850818
2011-08-31,113358.36131997676
2011-09-30,113094.13576903589
2011-10-31,112770.53465903028
2011-11-30,112426.09349750196
2011-12-31,112125.40687127778
2012-01-31,111774.3473212679
2012-02-29,111557.15967308062
2012-03-31,111572.13600633825
2012-04-30,111798.1967902471
2012-05-31,112083.68019026444
2012-06-30,112267.18904162387
2012-07-31,112447.0053732142
2012-08-31,112460.85969029764
2012-09-30,112544.97572348472
2012-10-31,112622.39494503391
2012-11-30,112746.6579823704
2012-12-31,112828.29192748624
2013-01-31,112967.62411781016
2013-02-28,113186.00195184296
2013-03-31,113604.73468838536
2013-04-30,114197.15642882323
2013-05-31,114973.43184341688
2013-06-30,115663.88001523686
2013-07-31,116213.53997033696
2013-08-31,116715.87160845145
2013-09-30,117118.2016642684
2013-10-31,117502.00966957828
2013-11-30,117569.58071047766
2013-12-31,117636.56316723804
2014-01-31,117588.7345214153
2014-02-28,117682.3166103524
2014-03-31,117816.1396346645
2014-04-30,118211.6687325524
2014-05-31,118915.22533950597
2014-06-30,119674.5929228848
2014-07-31,120362.2072780395
2014-08-31,120764.49573223368
2014-09-30,120964.9385784836
2014-10-31,120861.7118354616
2014-11-30,120814.6209663301
2014-12-31,120947.43801272452
2015-01-31,121295.52681275325
2015-02-28,121673.63034262227
2015-03-31,122108.79640881176
2015-04-30,122659.6375377181
2015-05-31,123366.8037580048
2015-06-30,124058.755662442
2015-07-31,124775.5396215454
2015-08-31,125516.62094952418
2015-09-30,126208.24478961751
2015-10-31,126851.82337639596
2015-11-30,127237.86360835296
2015-12-31,127723.2565869738
2016-01-31,128384.7777399306
2016-02-29,129226.96969507
2016-03-31,129741.55630032612
2016-04-30,130045.51158329767
2016-05-31,130234.63631160773
2016-06-30,130621.51296264755
2016-07-31,130872.59104758436
2016-08-31,131144.9272042445
