Date,Price
2000-01-31,82887.52645069738
2000-02-29,82924.5495352397
2000-03-31,83083.92223036723
2000-04-30,83374.62144481055
2000-05-31,83762.81738922832
2000-06-30,84131.91249610334
2000-07-31,84514.48614514073
2000-08-31,84870.53672917788
2000-09-30,85193.80138998217
2000-10-31,85484.00281823716
2000-11-30,85818.53131458076
2000-12-31,86217.30918606928
2001-01-31,86660.75886651356
2001-02-28,87090.05191333048
2001-03-31,87462.3950844793
2001-04-30,87810.85066252986
2001-05-31,88116.62095345934
2001-06-30,88419.89479198941
2001-07-31,88704.96123734953
2001-08-31,89024.93958592345
2001-09-30,89361.46694036374
2001-10-31,89677.83813822303
2001-11-30,89937.43626563938
2001-12-31,90168.71512232708
2002-01-31,90389.10900903
2002-02-28,90660.83510476824
2002-03-31,90918.09383723485
2002-04-30,91191.4250241956
2002-05-31,91433.116745738
2002-06-30,91680.50851392646
2002-07-31,91943.51294831913
2002-08-31,92221.33596323425
2002-09-30,92521.36563213365
2002-10-31,92811.47779909545
2002-11-30,93094.60328259226
2002-12-31,93360.97556865332
2003-01-31,93598.4515852342
2003-02-28,93838.58630877188
2003-03-31,94099.01951843828
2003-04-30,94407.3020357729
2003-05-31,94692.94849001244
2003-06-30,94949.40433338284
2003-07-31,95184.18216069385
2003-08-31,95451.85361409636
2003-09-30,95753.75068074591
2003-10-31,96033.92867333924
2003-11-30,96276.3147057881
2003-12-31,96508.19378823412
2004-01-31,96780.70393101066
2004-02-29,97090.56182893564
2004-03-31,97385.46359402104
2004-04-30,97665.22885208268
2004-05-31,97933.78988620712
2004-06-30,98199.55177902491
2004-07-31,98468.19271372534
2004-08-31,98793.39347036504
2004-09-30,99191.60466835776
2004-10-31,99626.60771080323
2004-11-30,99981.54067554328
2004-12-31,100310.03975388216
2005-01-31,100670.76606518158
2005-02-28,101042.56645604312
2005-03-31,101400.1136309863
2005-04-30,101720.4314793622
2005-05-31,102054.5039248274
2005-06-30,102357.9830777864
2005-07-31,102661.35435437672
2005-08-31,102971.65110845976
2005-09-30,103324.62803474722
2005-10-31,103648.3184818393
2005-11-30,103999.9044904958
2005-12-31,104349.82476387043
2006-01-31,104721.73808439204
2006-02-28,105159.38265020384
2006-03-31,105670.84356536476
2006-04-30,106183.52154683578
2006-05-31,106627.8969369717
2006-06-30,107031.00498304474
2006-07-31,107432.48032005818
2006-08-31,107826.11072277934
2006-09-30,108168.8252187044
2006-10-31,108513.12221432924
2006-11-30,108854.05705644132
2006-12-31,109192.3513599618
2007-01-31,109479.8916407358
2007-02-28,109692.07180328431
2007-03-31,109859.15794588347
2007-04-30,110036.99110600672
2007-05-31,110272.85725536585
2007-06-30,110581.0209555619
2007-07-31,110949.41226887848
2007-08-31,111297.3875513271
2007-09-30,111572.4656060117
2007-10-31,111756.14210837432
2007-11-30,111926.73441119224
2007-12-31,112064.73438888649
2008-01-31,112115.9642096568
2008-02-29,112180.41666114604
2008-03-31,112068.61037127384
2008-04-30,112073.04470051508
2008-05-31,112108.12971546368
2008-06-30,112331.5682947458
2008-07-31,112438.499610015
2008-08-31,112453.24023495866
2008-09-30,112452.85170787152
2008-10-31,112527.30012553716
2008-11-30,112497.0396620242
2008-12-31,112380.16120731556
2009-01-31,112215.02379317762
2009-02-28,111964.38877325803
2009-03-31,111779.11379160988
2009-04-30,111639.44178205896
2009-05-31,111685.96460111908
2009-06-30,111812.47569476918
2009-07-31,111953.20257187188
2009-08-31,112093.83988648585
2009-09-30,112203.87904299304
2009-10-31,112237.75367391606
2009-11-30,112358.1577462873
2009-12-31,112483.1058401784
2010-01-31,112671.94622951747
2010-02-28,112819.4979219763
2010-03-31,113046.43712970444
2010-04-30,113349.4204799292
2010-05-31,113664.3678926989
2010-06-30,113790.88437520136
2010-07-31,113664.26873182254
2010-08-31,113419.30606262402
2010-09-30,113103.5240170351
2010-10-31,112694.11530100816
2010-11-30,112119.26002404177
2010-12-31,111620.91394120218
2011-01-31,111258.541675949
2011-02-28,111042.46780928376
2011-03-31,110799.8369244084
2011-04-30,110528.90739416744
2011-05-31,110220.2737715524
2011-06-30,109947.50483257412
2011-07-31,109838.05999161355
2011-08-31,109857.10105905464
2011-09-30,109971.30507686008
2011-10-31,109877.92739184306
2011-11-30,109698.7226614936
2011-12-31,109467.84083724629
2012-01-31,109337.34333214456
2012-02-29,109298.79598364324
2012-03-31,109318.98840106168
2012-04-30,109368.62250170384
2012-05-31,109562.65610984806
2012-06-30,109837.8904280213
2012-07-31,110221.55367795624
2012-08-31,110440.986216715
2012-09-30,110626.62618393904
2012-10-31,110744.52491816164
2012-11-30,111089.68288189244
2012-12-31,111557.71965050702
2013-01-31,112060.14082191917
2013-02-28,112218.75427826877
2013-03-31,112311.52618366265
2013-04-30,112427.13974246613
2013-05-31,112626.23415860992
2013-06-30,112868.96594931348
2013-07-31,113043.3135772558
2013-08-31,113448.79086440233
2013-09-30,113708.70373478864
2013-10-31,114236.02187344844
2013-11-30,114725.05155550396
2013-12-31,115231.87803593789
2014-01-31,115504.8527698098
2014-02-28,115644.8942455302
2014-03-31,115659.88374475656
2014-04-30,115788.966247553
2014-05-31,116108.91266891384
2014-06-30,116644.75901497918
2014-07-31,117245.78457537596
2014-08-31,117796.81570578396
2014-09-30,118251.3792275894
2014-10-31,118545.5794387058
2014-11-30,118966.18253303504
2014-12-31,119611.47027233768
2015-01-31,120225.4010787398
2015-02-28,120592.25573727058
2015-03-31,120871.09841654728
2015-04-30,121248.96084806272
2015-05-31,121695.70773053252
2015-06-30,121952.5534806434
2015-07-31,122206.07652566663
2015-08-31,122470.28375924769
2015-09-30,122967.01544736473
2015-10-31,123300.876769943
2015-11-30,123304.30459263304
2015-12-31,122947.85618644825
2016-01-31,122882.28205922102
2016-02-29,123313.87245034422
2016-03-31,124022.0712672719
2016-04-30,124729.885906642
2016-05-31,125305.92207088972
2016-06-30,125803.60950531332
2016-07-31,126109.62540096104
2016-08-31,126351.23593122308
2016-09-30,126586.10193509124
2016-10-31,126995.67076303207
2016-11-30,127270.21470975233
2016-12-31,127357.30381442486
2017-01-31,127306.81041605936
2017-02-28,127496.5101878493
2017-03-31,127839.96111658268
2017-04-30,128192.94601119136
2017-05-31,128467.83500924413
2017-06-30,128739.17044351586
2017-07-31,128988.32562114194
2017-08-31,129256.20776565163
2017-09-30,129624.0258479996
2017-10-31,130101.6320544376
2017-11-30,130578.22205858216
2017-12-31,131049.32115030772
2018-01-31,131603.8107449582
2018-02-28,132088.13795690992
2018-03-31,132636.83515490242
2018-04-30,133106.97524491453
2018-05-31,133460.96625699816
2018-06-30,133493.59821132864
2018-07-31,133614.7174599701
2018-08-31,133815.6204076641
2018-09-30,134280.98489109054
2018-10-31,134640.74385591337
2018-11-30,135311.61721804444
2018-12-31,136046.6518941461
2019-01-31,136579.15651900027
2019-02-28,137024.38931500298
2019-03-31,137438.32906394286
2019-04-30,137957.73532271292
2019-05-31,138381.67745561546
2019-06-30,138937.70197426222
2019-07-31,139547.30698502666
2019-08-31,140093.47185101596
2019-09-30,140383.01962140822
2019-10-31,140907.32546259344
2019-11-30,141809.20353558814
2019-12-31,143095.82564603302
2020-01-31,144593.74145866965
2020-02-29,145865.55356661536
2020-03-31,146785.59855257606
2020-04-30,147288.60074424185
2020-05-31,147431.9996988024
2020-06-30,147590.23218236797
2020-07-31,148042.61855769352
2020-08-31,149153.15928909436
2020-09-30,150923.29861036033
2020-10-31,152933.70574835534
2020-11-30,155276.648860204
2020-12-31,157575.36918761043
2021-01-31,159741.29411146382
2021-02-28,161725.53168330193
2021-03-31,163655.69462148676
2021-04-30,165556.52882574627
2021-05-31,167530.79648349134
2021-06-30,169693.94312552307
2021-07-31,171538.02707792036
2021-08-31,172970.06518944722
2021-09-30,173855.49762738336
2021-10-31,175242.0822870643
2021-11-30,177028.75305480164
2021-12-31,179113.0270110769
2022-01-31,181711.49492745587
2022-02-28,184574.36042522348
2022-03-31,187685.9625146436
2022-04-30,190355.33963825484
2022-05-31,192585.94809623595
2022-06-30,194709.42476142623
2022-07-31,196332.915642391
2022-08-31,197310.81559249424
2022-09-30,197670.8075758732
2022-10-31,198050.2469834877
2022-11-30,198637.68010087064
2022-12-31,198989.64180926332
2023-01-31,198784.72391771327
2023-02-28,198510.75079894057
2023-03-31,198712.4199364083
2023-04-30,199588.09761597175
2023-05-31,200819.1104474965
2023-06-30,201979.13156132647
2023-07-31,202781.9095522632
2023-08-31,203200.6860121737
2023-09-30,203434.1592527253
2023-10-31,203890.47035822785
2023-11-30,204506.01436563532
2023-12-31,205153.5486296684
2024-01-31,205526.9639992581
2024-02-29,205960.1501933455
2024-03-31,206670.2500848529
2024-04-30,207715.0481419006
