Date,Price
2000-01-31,100063.04228651932
2000-02-29,100274.34836540263
2000-03-31,100475.50115505198
2000-04-30,100883.2933109175
2000-05-31,101299.79056745028
2000-06-30,101725.20537093969
2000-07-31,102176.29945014654
2000-08-31,102609.47201060048
2000-09-30,103050.30612027888
2000-10-31,103472.73856992873
2000-11-30,103940.70292080368
2000-12-31,104426.74650538368
2001-01-31,104908.00736868544
2001-02-28,105345.66648730852
2001-03-31,105782.99765656992
2001-04-30,106251.22925588564
2001-05-31,106698.8030260256
2001-06-30,107156.50915454557
2001-07-31,107648.00205979992
2001-08-31,108189.43033476318
2001-09-30,108736.7059372972
2001-10-31,109240.44462405297
2001-11-30,109752.60740259582
2001-12-31,110237.44734527273
2002-01-31,110719.0296884494
2002-02-28,111196.49118550395
2002-03-31,111692.98280881
2002-04-30,112239.08619551949
2002-05-31,112835.34079187244
2002-06-30,113493.23963888858
2002-07-31,114230.72543908872
2002-08-31,115063.69238850678
2002-09-30,115926.5038765014
2002-10-31,116772.03587064796
2002-11-30,117497.9686278102
2002-12-31,118187.92394997588
2003-01-31,118848.0519289626
2003-02-28,119511.8848668576
2003-03-31,120145.88318932964
2003-04-30,120816.95444945218
2003-05-31,121641.85817622644
2003-06-30,122640.6146228036
2003-07-31,123738.21057542904
2003-08-31,124795.20777037252
2003-09-30,125833.93831124272
2003-10-31,126814.42458226786
2003-11-30,127701.02569547448
2003-12-31,128488.20935171693
2004-01-31,129186.67554799929
2004-02-29,129995.84160578066
2004-03-31,130808.80050651748
2004-04-30,131712.62841091363
2004-05-31,132779.6051494798
2004-06-30,134038.60773121833
2004-07-31,135515.2934039197
2004-08-31,136949.99903883875
2004-09-30,138386.02288614397
2004-10-31,139641.0559650939
2004-11-30,140916.45521389492
2004-12-31,142159.10681479052
2005-01-31,143431.15488438084
2005-02-28,144464.2813588189
2005-03-31,145454.66069974776
2005-04-30,146537.3634164035
2005-05-31,147834.2555971926
2005-06-30,149336.00608078344
2005-07-31,150942.17692025227
2005-08-31,152627.72366712402
2005-09-30,154209.80227809204
2005-10-31,155651.46664553267
2005-11-30,156974.6196332222
2005-12-31,158218.4679643026
2006-01-31,159327.0615132545
