Date,Price
2000-01-31,134978.55222996903
2000-02-29,135573.4870773895
2000-03-31,136209.70016215116
2000-04-30,137461.26249633922
2000-05-31,138716.0654988628
2000-06-30,139664.7288227327
2000-07-31,140530.3256574948
2000-08-31,141400.71303281462
2000-09-30,142490.64887695524
2000-10-31,143585.67744871287
2000-11-30,144635.33969057133
2000-12-31,145751.1823068144
2001-01-31,146850.0755933729
2001-02-28,147938.09726127345
2001-03-31,149098.95531690872
2001-04-30,150452.02050832927
2001-05-31,151910.948786962
2001-06-30,153406.47912982383
2001-07-31,155004.78891375964
2001-08-31,156905.85347734205
2001-09-30,159003.4852934445
2001-10-31,161357.2006681637
2001-11-30,163475.15316147613
2001-12-31,165546.02696845567
2002-01-31,167235.0916518609
2002-02-28,168964.66663842738
2002-03-31,170658.12787428912
2002-04-30,172605.4631305244
2002-05-31,174879.09831662755
2002-06-30,177391.71581656617
2002-07-31,180195.84828916637
2002-08-31,183515.4433223176
2002-09-30,187474.4745138345
2002-10-31,191354.7471215113
2002-11-30,194688.4905216141
2002-12-31,197392.81047142157
2003-01-31,199903.30364765783
2003-02-28,202551.59054491075
2003-03-31,205423.87615466083
2003-04-30,208441.30915477197
2003-05-31,211713.7872787415
2003-06-30,215266.2599053738
2003-07-31,219169.10478082625
2003-08-31,222774.62972411708
2003-09-30,226022.33680698965
2003-10-31,229107.0344177693
2003-11-30,232216.7463511325
2003-12-31,235449.68686179092
2004-01-31,238332.9405836064
2004-02-29,241409.789400607
2004-03-31,244328.60450001576
2004-04-30,247392.4579129836
2004-05-31,250701.6427691001
2004-06-30,254601.47598927547
2004-07-31,258733.6465148221
2004-08-31,262581.195512935
2004-09-30,265850.16265701904
2004-10-31,269168.57991116494
2004-11-30,272273.84817509394
2004-12-31,275480.2852386057
2005-01-31,278561.3169435605
2005-02-28,281584.3557050294
2005-03-31,284298.39066874207
2005-04-30,287359.62228879594
2005-05-31,290176.1645811031
2005-06-30,292662.52834631247
2005-07-31,294572.7035097237
2005-08-31,296764.2730649062
2005-09-30,299243.90511761355
2005-10-31,301678.9444755681
2005-11-30,303540.8971163032
2005-12-31,304917.34599576594
2006-01-31,305521.8758426225
2006-02-28,306324.1822924219
2006-03-31,307480.6354413733
2006-04-30,309334.30231937865
2006-05-31,310432.50054788514
2006-06-30,310794.0489592314
2006-07-31,310106.23825399514
2006-08-31,309040.9217033089
2006-09-30,307345.4445735943
2006-10-31,305632.2798101762
2006-11-30,303739.5612525623
2006-12-31,302282.25992612547
2007-01-31,300690.2453038622
2007-02-28,299546.5517226553
2007-03-31,298615.4261236331
2007-04-30,297722.0124475625
2007-05-31,296899.31723692984
2007-06-30,295193.3941262968
2007-07-31,293807.419266521
2007-08-31,292258.4102157165
2007-09-30,291137.70995168114
2007-10-31,289905.5427721582
2007-11-30,289098.8718765069
2007-12-31,288324.0568715092
2008-01-31,287228.07349520363
2008-02-29,285431.30336115946
2008-03-31,283521.78702903003
2008-04-30,281458.853626098
2008-05-31,279016.60767213226
2008-06-30,276401.161431662
2008-07-31,273385.53251592355
2008-08-31,270172.40775786847
2008-09-30,266803.7188826713
2008-10-31,263374.06781026634
2008-11-30,260045.5557690992
2008-12-31,256519.53102156837
2009-01-31,252991.3687854492
2009-02-28,249693.3078412125
2009-03-31,246485.44761063412
2009-04-30,244034.94734592535
2009-05-31,241922.0164825344
2009-06-30,240243.0781451621
2009-07-31,238605.78353153865
2009-08-31,237303.878350515
2009-09-30,236443.3375722838
2009-10-31,235948.76289221563
2009-11-30,235971.1341624513
2009-12-31,236087.9035821437
2010-01-31,237032.36410568995
2010-02-28,238078.78901672247
2010-03-31,239242.4977345928
2010-04-30,239438.1696875608
2010-05-31,239125.83717882264
2010-06-30,238814.63091817367
2010-07-31,238676.60055602452
2010-08-31,238455.73167597363
2010-09-30,237535.0109941164
2010-10-31,236148.63400337857
2010-11-30,234684.60924391303
2010-12-31,233697.1144353736
2011-01-31,232864.33340907388
2011-02-28,232317.37699051437
2011-03-31,231471.6723892614
2011-04-30,230367.76249528717
2011-05-31,228723.9387040912
2011-06-30,227281.00784255136
2011-07-31,225731.75903781803
2011-08-31,224386.1929959877
2011-09-30,222955.75546251563
2011-10-31,221538.35493911733
2011-11-30,219777.86892604156
2011-12-31,218125.1865504923
2012-01-31,216986.900279891
2012-02-29,216282.8535379834
2012-03-31,215965.55342795237
2012-04-30,215761.01634604725
2012-05-31,215811.05782634212
2012-06-30,215947.72325991173
2012-07-31,216165.56941178456
2012-08-31,216139.171707541
2012-09-30,215947.2760121418
2012-10-31,215925.0180166018
2012-11-30,216386.08859022637
2012-12-31,216636.74947220105
2013-01-31,216730.3747738585
2013-02-28,216960.9108333574
2013-03-31,217857.7006482455
2013-04-30,219160.6540953475
2013-05-31,220583.3203597179
2013-06-30,222013.1647283096
2013-07-31,223265.0590115121
2013-08-31,224378.39419822968
2013-09-30,225349.84857968424
2013-10-31,226282.64823482488
2013-11-30,227127.12621061355
2013-12-31,227660.16243534427
2014-01-31,228082.0895378552
2014-02-28,228487.0668372355
