Date,Price
2000-01-31,113481.18660472942
2000-02-29,113698.68686084752
2000-03-31,113887.364857272
2000-04-30,114322.79981036992
2000-05-31,114751.31455047248
2000-06-30,115217.15430290464
2000-07-31,115682.00071103148
2000-08-31,116186.52926981768
2000-09-30,116724.11270801112
2000-10-31,117254.14163103158
2000-11-30,117789.22844371448
2000-12-31,118247.1461190102
2001-01-31,118774.28324634832
2001-02-28,119233.141982575
2001-03-31,119702.49951422383
2001-04-30,120015.8026878024
2001-05-31,120387.07550386812
2001-06-30,120788.45648082694
2001-07-31,121281.64044444264
2001-08-31,121689.4962375622
2001-09-30,122038.15293601633
2001-10-31,122368.01905471238
2001-11-30,122705.51941867216
2001-12-31,123046.40468282747
2002-01-31,123312.23829310514
2002-02-28,123479.87181635796
2002-03-31,123612.4159837943
2002-04-30,123727.53714447896
2002-05-31,123931.10349875804
2002-06-30,124157.5444318946
2002-07-31,124483.09718328272
2002-08-31,124804.16828163483
2002-09-30,125129.62791290112
2002-10-31,125441.95787453873
2002-11-30,125773.68744932888
2002-12-31,126110.78912530917
2003-01-31,126442.3249949434
2003-02-28,126790.2448754034
2003-03-31,127125.39259093764
2003-04-30,127381.71534441964
2003-05-31,127649.61287492006
2003-06-30,127964.77879310463
2003-07-31,128421.5236937049
2003-08-31,128901.79578700424
2003-09-30,129380.73376710057
2003-10-31,129837.43848087132
2003-11-30,130275.26031173348
2003-12-31,130716.93759213988
2004-01-31,131136.67869687898
2004-02-29,131561.3679401277
2004-03-31,131998.35417554414
2004-04-30,132402.32987143958
2004-05-31,132926.75454583744
2004-06-30,133522.7068900805
2004-07-31,134257.66137040514
2004-08-31,134938.62272862668
2004-09-30,135649.87308935032
2004-10-31,136371.8330294532
2004-11-30,137137.291477157
2004-12-31,137893.10438577537
2005-01-31,138626.64629006863
2005-02-28,139341.08061848558
2005-03-31,140125.75398520913
2005-04-30,140908.65337290394
2005-05-31,141704.36748159057
2005-06-30,142530.6369018929
2005-07-31,143506.2126521735
2005-08-31,144525.2219385719
2005-09-30,145517.96523590694
2005-10-31,146443.71043227206
2005-11-30,147336.69069040616
2005-12-31,148263.91367474225
2006-01-31,149157.25726968414
2006-02-28,150216.4086394514
2006-03-31,151200.13918710433
2006-04-30,152245.0755887942
2006-05-31,153261.43733004996
2006-06-30,154400.67278942603
2006-07-31,155575.57328207116
2006-08-31,156663.10694917242
2006-09-30,157607.71268032026
2006-10-31,158397.49468441564
2006-11-30,159019.75960633552
2006-12-31,159543.87449061105
2007-01-31,160014.3209999965
2007-02-28,160461.18082535968
2007-03-31,160882.7688278353
2007-04-30,161193.47418416236
2007-05-31,161497.05602270804
2007-06-30,161728.02485223164
2007-07-31,161967.66753285503
2007-08-31,162177.51462318478
2007-09-30,162340.94864523518
2007-10-31,162369.3743186811
2007-11-30,162322.99230481204
2007-12-31,162239.978802897
2008-01-31,162235.74623771987
2008-02-29,162196.11423961187
2008-03-31,162056.6881891618
2008-04-30,161887.72878344686
2008-05-31,161734.912575282
2008-06-30,161575.2192405061
2008-07-31,161168.46212627806
2008-08-31,160597.10567180664
2008-09-30,159963.54068617153
2008-10-31,159411.907063161
2008-11-30,158680.4974453187
2008-12-31,157928.95786902902
2009-01-31,157057.85774486026
2009-02-28,156294.742481072
2009-03-31,155688.74981142263
2009-04-30,155096.6969021533
2009-05-31,154374.5883076333
2009-06-30,153478.81840571694
2009-07-31,152654.17937553392
2009-08-31,152008.3974698974
2009-09-30,151437.25757616558
2009-10-31,150924.14467984927
2009-11-30,150528.1770138539
2009-12-31,150268.20931780068
2010-01-31,150129.79422870607
2010-02-28,149958.385549327
2010-03-31,149746.65289606643
2010-04-30,149605.39791663262
2010-05-31,149587.8048906817
2010-06-30,149490.28420663087
2010-07-31,149176.60112863203
2010-08-31,148721.82469779332
2010-09-30,148159.28018251003
2010-10-31,147523.314740333
2010-11-30,146870.35136339537
2010-12-31,146114.01941584636
2011-01-31,145273.60489978164
2011-02-28,144315.7775340438
2011-03-31,143507.00854998748
2011-04-30,142742.31926681384
2011-05-31,142042.39540871177
2011-06-30,141365.29146472993
2011-07-31,140830.18796138666
2011-08-31,140335.80830290492
2011-09-30,139823.48223704213
2011-10-31,139295.83686187456
2011-11-30,138820.9321816476
2011-12-31,138590.20989629018
2012-01-31,138587.78121502593
2012-02-29,138884.98352528884
2012-03-31,139280.04810169342
2012-04-30,139693.57112295824
2012-05-31,140081.92341034193
2012-06-30,140387.56206231462
2012-07-31,140591.5534154422
2012-08-31,140634.346597143
2012-09-30,140749.5296177169
2012-10-31,140923.98104667984
2012-11-30,141055.60044059742
2012-12-31,141124.53238017616
2013-01-31,141196.47997538108
2013-02-28,141433.02695726848
2013-03-31,141825.26763334798
2013-04-30,142306.14912248918
2013-05-31,142867.60834303228
2013-06-30,143464.86028968965
2013-07-31,143981.1495417876
2013-08-31,144506.92564963154
2013-09-30,144944.68367534215
2013-10-31,145498.00597204463
2013-11-30,145822.4231798961
2013-12-31,146167.99197348778
