Date,Price
2000-01-31,108327.83666156976
2000-02-29,108099.87186917964
2000-03-31,107779.57071198312
2000-04-30,107348.19017869025
2000-05-31,107168.9584382864
2000-06-30,107045.55279223196
2000-07-31,106959.40474486684
2000-08-31,106800.93372629808
2000-09-30,107021.93560351116
2000-10-31,107269.54297450086
2000-11-30,107309.84776863026
2000-12-31,107207.25957149013
2001-01-31,107267.07677847684
2001-02-28,107487.1874863855
2001-03-31,107940.88657160645
2001-04-30,108350.76416967215
2001-05-31,108949.23669235066
2001-06-30,109257.30447283876
2001-07-31,109551.74053756532
2001-08-31,109622.2033167396
2001-09-30,109714.1750287371
2001-10-31,109924.5021635988
2001-11-30,110175.152517535
2001-12-31,110341.65196825624
2002-01-31,110471.53061662258
2002-02-28,110940.96948001896
2002-03-31,111314.53380249764
2002-04-30,111573.04440572008
2002-05-31,111678.55451922788
2002-06-30,112034.7332475428
2002-07-31,112461.99925525342
2002-08-31,112856.5015346852
2002-09-30,113356.85582310463
2002-10-31,113696.845254976
2002-11-30,113919.05531352964
2002-12-31,114039.91067418992
2003-01-31,114500.71042589234
2003-02-28,115340.27218161715
2003-03-31,115907.29519650411
2003-04-30,116172.52792888587
2003-05-31,115995.11628778784
2003-06-30,116081.23378870476
2003-07-31,116367.20724058576
2003-08-31,116977.4805932052
2003-09-30,117834.363166885
2003-10-31,118837.33116677403
2003-11-30,119578.43958168408
2003-12-31,119967.54709091096
2004-01-31,120143.31945482222
2004-02-29,120589.22754881192
2004-03-31,121172.86094408204
2004-04-30,121670.89942642604
2004-05-31,122255.32568576308
2004-06-30,123031.69976603848
2004-07-31,124086.73058064962
2004-08-31,125026.3696341202
2004-09-30,125861.20149395836
2004-10-31,126566.521466009
2004-11-30,127232.15757439424
2004-12-31,127765.28553667844
2005-01-31,128398.34622984056
2005-02-28,129165.8320818838
2005-03-31,129938.03837938828
2005-04-30,130650.39728685217
2005-05-31,131286.2914040426
2005-06-30,132026.36045741106
2005-07-31,132731.15683857637
2005-08-31,133535.36057325744
2005-09-30,134440.83006633248
2005-10-31,135323.8317217346
2005-11-30,135927.85769788618
2005-12-31,136291.11575331248
2006-01-31,136710.37385853135
2006-02-28,137229.31816378908
2006-03-31,137684.88406831853
2006-04-30,137928.1428860094
2006-05-31,138253.98075952014
2006-06-30,138702.27010619923
2006-07-31,139294.81474089666
2006-08-31,139677.74944968248
2006-09-30,140043.82051861347
2006-10-31,140211.58245939482
2006-11-30,140516.3733992077
2006-12-31,140915.9866833465
2007-01-31,141589.145141253
2007-02-28,142079.25070147394
2007-03-31,142328.70612563557
2007-04-30,142408.71262367477
2007-05-31,142546.36077583084
2007-06-30,142933.1909189659
2007-07-31,143283.99042547273
2007-08-31,143726.12140538613
2007-09-30,144082.465376462
2007-10-31,144499.73159504667
2007-11-30,144971.26546936677
2007-12-31,145537.69286831224
2008-01-31,146194.3409425232
