Date,Price
2000-01-31,110368.5717224002
2000-02-29,110458.01480186936
2000-03-31,110550.05161117276
2000-04-30,110771.91828906634
2000-05-31,111030.11538033118
2000-06-30,111289.09274483928
2000-07-31,111571.65342245442
2000-08-31,111865.04488765362
2000-09-30,112214.25134915148
2000-10-31,112551.57132006709
2000-11-30,112922.26308158558
2000-12-31,113341.38547223678
2001-01-31,113824.28209004027
2001-02-28,114205.2949800844
2001-03-31,114524.26647729434
2001-04-30,114775.27359166222
2001-05-31,115065.0649890604
2001-06-30,115348.0015006428
2001-07-31,115618.05884883324
2001-08-31,115937.09558042188
2001-09-30,116275.46096520328
2001-10-31,116646.86658171308
2001-11-30,116950.09728274027
2001-12-31,117178.156396521
2002-01-31,117340.45870046162
2002-02-28,117515.2644629958
2002-03-31,117696.84377188393
2002-04-30,117860.81176248846
2002-05-31,118045.63633144014
2002-06-30,118258.09982774925
2002-07-31,118507.33572234875
2002-08-31,118735.91921934063
2002-09-30,118974.77343089764
2002-10-31,119249.62472938892
2002-11-30,119520.41554510249
2002-12-31,119787.18699011832
2003-01-31,119986.18809423356
2003-02-28,120212.04387788208
2003-03-31,120424.97438763369
2003-04-30,120681.131735317
2003-05-31,120958.34693371425
2003-06-30,121271.00158255424
2003-07-31,121584.40505586914
2003-08-31,121912.86145933732
2003-09-30,122250.71840245358
2003-10-31,122613.32510647723
2003-11-30,122947.09905841078
2003-12-31,123256.3727258306
2004-01-31,123551.5393754796
2004-02-29,123877.19917114916
2004-03-31,124239.52676242687
2004-04-30,124645.44613403856
2004-05-31,125055.09905598428
2004-06-30,125485.9698454836
2004-07-31,125953.53087897728
2004-08-31,126455.6150152656
2004-09-30,126983.42087251192
2004-10-31,127534.65338006668
2004-11-30,128063.96398075751
2004-12-31,128590.09223515178
2005-01-31,129078.52989271704
2005-02-28,129652.90708517568
2005-03-31,130301.36644274111
2005-04-30,131038.73552127962
2005-05-31,131796.92505952957
2005-06-30,132596.03672325416
2005-07-31,133472.21579685612
2005-08-31,134373.4575406442
2005-09-30,135257.90647013535
2005-10-31,136080.13175556908
2005-11-30,136848.43097165128
2005-12-31,137600.0197893954
2006-01-31,138246.2927732241
2006-02-28,138933.01263811233
2006-03-31,139637.51430571705
2006-04-30,140444.76016816808
2006-05-31,141244.21078312004
2006-06-30,142062.91612016893
2006-07-31,142888.1020767862
2006-08-31,143733.21383629055
2006-09-30,144513.44915619653
2006-10-31,145246.07103659408
2006-11-30,145854.79417831544
2006-12-31,146378.7975251604
2007-01-31,146757.18552195322
2007-02-28,147149.38357877525
2007-03-31,147612.5448039082
2007-04-30,148155.61153018358
2007-05-31,148688.3666308437
2007-06-30,149164.4024982232
2007-07-31,149550.9011843874
2007-08-31,149850.8669714643
2007-09-30,149990.97790981206
2007-10-31,150018.92935773163
2007-11-30,149855.560222659
2007-12-31,149590.07190927173
2008-01-31,149153.4344052171
2008-02-29,148736.08340556084
2008-03-31,148386.16014606113
2008-04-30,148188.50987360082
2008-05-31,148049.18297538525
2008-06-30,147864.6688594525
2008-07-31,147549.7247488201
2008-08-31,147090.72288681826
2008-09-30,146547.38366613435
2008-10-31,146032.20872100527
2008-11-30,145497.51173452195
2008-12-31,144948.06555595394
2009-01-31,144438.0968461443
2009-02-28,144040.67026019175
2009-03-31,143657.50085559
2009-04-30,143156.57247277486
2009-05-31,142498.49562266335
2009-06-30,141809.41931901049
2009-07-31,141156.57857342728
2009-08-31,140630.1373536169
2009-09-30,140194.3015103338
2009-10-31,139857.3089721341
2009-11-30,139566.2634769284
2009-12-31,139354.8876346473
2010-01-31,139249.28801802942
2010-02-28,139182.97263988436
2010-03-31,139205.2633178205
2010-04-30,139261.2012039758
2010-05-31,139355.21128166726
2010-06-30,139343.2183346759
2010-07-31,139209.09947659608
