Date,Price
2000-01-31,113382.7988091228
2000-02-29,113441.60217186125
2000-03-31,113470.03847155714
2000-04-30,113617.65869728848
2000-05-31,113712.03923145257
2000-06-30,113817.40229039402
2000-07-31,113881.0596210991
2000-08-31,114085.04750182464
2000-09-30,114355.8202526162
2000-10-31,114650.1875527099
2000-11-30,114988.52844069242
2000-12-31,115361.1580594253
2001-01-31,115578.18471896858
2001-02-28,115537.4412669725
2001-03-31,115307.22575015086
2001-04-30,115172.65782388764
2001-05-31,115216.34939521633
2001-06-30,115352.95528144827
2001-07-31,115512.84765622576
2001-08-31,115656.39805429132
2001-09-30,115805.55067554688
2001-10-31,115959.48151801138
2001-11-30,116071.4469189431
2001-12-31,116159.43881796062
2002-01-31,116190.65526954534
2002-02-28,116276.51437371834
2002-03-31,116497.73074551875
2002-04-30,116882.68163766433
2002-05-31,117336.35329149454
2002-06-30,117842.39840256522
2002-07-31,118356.11154489344
2002-08-31,118900.10120946584
2002-09-30,119379.98683053232
2002-10-31,119793.48186443502
2002-11-30,120142.49307825133
2002-12-31,120440.515028582
2003-01-31,120665.03689239896
2003-02-28,120812.64071878932
2003-03-31,120975.11598595232
2003-04-30,121174.33855106588
2003-05-31,121404.92772713843
2003-06-30,121639.41727762764
2003-07-31,121869.38517688731
2003-08-31,122129.21482156984
2003-09-30,122364.2730379476
2003-10-31,122604.0786318288
2003-11-30,122776.19625808574
2003-12-31,122919.7987414028
2004-01-31,123279.08158767916
2004-02-29,124107.5136718844
2004-03-31,125420.5273120372
2004-04-30,126729.16866930015
2004-05-31,127806.87762700848
2004-06-30,128503.12825378748
2004-07-31,129154.88861833372
2004-08-31,129745.8330770526
2004-09-30,130411.744733311
2004-10-31,131028.63278179005
2004-11-30,131586.5040955059
2004-12-31,132073.53073367305
2005-01-31,132587.8884054354
2005-02-28,133019.87142086323
2005-03-31,133402.69116720138
2005-04-30,133743.91941279906
2005-05-31,134111.08415449536
2005-06-30,134519.22459547644
2005-07-31,134879.2863199379
2005-08-31,135216.75951500467
2005-09-30,135548.26586922642
2005-10-31,135819.37304980095
2005-11-30,136136.03881738093
2005-12-31,136394.40537072762
2006-01-31,136602.8589762007
2006-02-28,136814.0419389918
2006-03-31,137073.71872271734
2006-04-30,137492.21435324414
2006-05-31,138062.93966082155
2006-06-30,138697.87921544985
2006-07-31,139332.63052154865
2006-08-31,139900.69758893753
2006-09-30,140496.4085595337
2006-10-31,141232.84186459734
2006-11-30,141936.20076083965
2006-12-31,142641.41560124166
2007-01-31,143013.6207603437
2007-02-28,143164.62525164528
2007-03-31,143147.04367603795
2007-04-30,143364.38817358547
2007-05-31,143761.56938196524
2007-06-30,144285.72942699585
2007-07-31,144756.7582577909
2007-08-31,145261.1522240176
2007-09-30,145754.7390772301
2007-10-31,146212.7700872877
2007-11-30,146590.5636603258
2007-12-31,146942.1714118234
2008-01-31,146801.74785523058
2008-02-29,146397.52275518517
2008-03-31,145798.5088506375
2008-04-30,145485.5188653581
2008-05-31,145260.7801817374
2008-06-30,145057.52429870606
2008-07-31,144888.0504594116
2008-08-31,144529.44245391258
2008-09-30,144015.159204744
2008-10-31,143405.74103271362
2008-11-30,142816.47870477216
2008-12-31,142270.07748539594
2009-01-31,141773.7462702811
2009-02-28,141507.48686864725
2009-03-31,141399.68501426198
2009-04-30,141380.55334411433
2009-05-31,141379.24224597073
2009-06-30,141351.54803547144
2009-07-31,141363.11990536228
2009-08-31,141249.05687626728
2009-09-30,141097.60750375476
2009-10-31,140894.16992253784
2009-11-30,140938.90960887808
2009-12-31,141069.50367385373
2010-01-31,141137.92131486302
2010-02-28,141130.75268096375
2010-03-31,141163.8919896287
2010-04-30,141347.90655127002
2010-05-31,141559.5865304917
2010-06-30,141610.55287892852
2010-07-31,141366.49456915335
2010-08-31,140889.04100293145
2010-09-30,140322.59197592747
2010-10-31,139748.7873797386
2010-11-30,139153.78850357688
2010-12-31,138636.8004645305
2011-01-31,138188.52178011686
2011-02-28,137713.4233241886
2011-03-31,137248.88604578815
2011-04-30,136797.00742389937
2011-05-31,136441.61393485244
2011-06-30,136075.4037787385
2011-07-31,135873.97559994055
2011-08-31,135755.04858859084
2011-09-30,135713.46791270742
2011-10-31,135599.48588832936
2011-11-30,135387.360625405
2011-12-31,135138.95673655104
2012-01-31,135027.62366741698
2012-02-29,135185.31441717406
2012-03-31,135464.77315162678
2012-04-30,135743.9755411248
2012-05-31,136056.4011406208
2012-06-30,136494.92278312743
2012-07-31,136989.5305825729
2012-08-31,137358.27381989235
2012-09-30,137676.36302977343
2012-10-31,137996.35732757064
2012-11-30,138366.66693934836
2012-12-31,138737.60810752772
2013-01-31,139250.8569834223
2013-02-28,139899.33047825898
2013-03-31,140670.28632906594
2013-04-30,141403.32869937868
2013-05-31,142242.81930011066
2013-06-30,143245.5078211364
2013-07-31,144210.92196948951
2013-08-31,145149.53651028225
2013-09-30,145882.77199185872
2013-10-31,146717.47219820798
2013-11-30,147478.7124987483
2013-12-31,148332.64046841083
2014-01-31,149334.0296386926
2014-02-28,150467.0922770854
2014-03-31,151609.65557201803
2014-04-30,152602.8899371696
2014-05-31,153606.32267663546
2014-06-30,154625.15898488768
2014-07-31,155784.10653300633
2014-08-31,156826.30532829094
2014-09-30,157745.72215186953
2014-10-31,158397.70641233897
2014-11-30,159224.1909580019
2014-12-31,160189.53735906552
2015-01-31,161400.93964748652
2015-02-28,162657.05048942682
2015-03-31,163887.57511330326
2015-04-30,165040.0994169976
2015-05-31,166144.22329676172
2015-06-30,167243.2645544367
2015-07-31,168383.6243849223
2015-08-31,169570.7272148324
2015-09-30,170780.446191277
2015-10-31,171998.320510632
