Date,Price
2000-01-31,172903.8200852869
2000-02-29,173003.45430794684
2000-03-31,173148.29876042568
2000-04-30,173515.09083855318
2000-05-31,174855.3587562862
2000-06-30,176336.99664890347
2000-07-31,177821.36243983533
2000-08-31,178413.8076983702
2000-09-30,178918.30907448617
2000-10-31,179333.33105356348
2000-11-30,179859.6907022733
2000-12-31,180377.31510185948
2001-01-31,180868.60653424216
2001-02-28,181155.80631097697
2001-03-31,181317.20182151409
2001-04-30,181483.83412919776
2001-05-31,181573.85523437124
2001-06-30,181750.64342048785
2001-07-31,181906.09664497315
2001-08-31,182207.35165295485
2001-09-30,182488.1424641921
2001-10-31,182786.7762165689
2001-11-30,183005.5446902828
2001-12-31,183103.71509512747
2002-01-31,183124.68131289896
2002-02-28,183037.12329440503
2002-03-31,183093.49479829133
2002-04-30,183233.52591439188
2002-05-31,183365.85448017623
2002-06-30,183480.9252298289
2002-07-31,183582.975584904
2002-08-31,183610.8388469409
2002-09-30,183485.8972907377
2002-10-31,183127.17358645276
2002-11-30,182881.09720126167
2002-12-31,182630.3735771211
2003-01-31,182454.57505267067
2003-02-28,182409.97747677183
2003-03-31,182358.40492646975
2003-04-30,182500.18869741829
2003-05-31,182687.52564628024
2003-06-30,183048.53055281905
2003-07-31,183339.17432282804
2003-08-31,183519.9193530383
2003-09-30,183636.77227055715
2003-10-31,183758.74711270252
2003-11-30,183951.9625635318
2003-12-31,184172.71131463145
2004-01-31,184366.4165298277
2004-02-29,184647.89353953855
2004-03-31,184969.39693010683
2004-04-30,185360.66913406213
2004-05-31,185580.15567739404
2004-06-30,185811.4104231059
2004-07-31,186038.57226374943
2004-08-31,186282.30803998924
2004-09-30,186471.87632880468
2004-10-31,186596.6682549272
2004-11-30,186663.02629893573
2004-12-31,186639.20956194293
2005-01-31,186608.67297012013
2005-02-28,186826.54889751357
2005-03-31,187228.4118215848
2005-04-30,187856.2036631464
2005-05-31,188430.12278417265
2005-06-30,189091.24968031203
2005-07-31,189874.97814176083
2005-08-31,190826.35805604528
2005-09-30,191890.21366024748
2005-10-31,193010.96902763928
2005-11-30,194293.14286010413
2005-12-31,195647.1941729331
2006-01-31,196918.51371389124
2006-02-28,198287.49541722963
2006-03-31,199818.87343544312
2006-04-30,201753.77310172885
2006-05-31,203859.20238951332
2006-06-30,206522.32388089655
2006-07-31,209801.90345528387
2006-08-31,213457.0914350305
2006-09-30,217076.90696636945
2006-10-31,220368.16294216615
2006-11-30,223420.71296391785
2006-12-31,226183.7273966641
2007-01-31,228943.5237846698
2007-02-28,231644.43896508025
2007-03-31,234384.075162358
2007-04-30,236967.5011189391
2007-05-31,239511.05993845573
2007-06-30,242287.13322303048
2007-07-31,245058.4294724
2007-08-31,247760.96814686817
2007-09-30,249791.291670474
2007-10-31,251366.4951831129
2007-11-30,252703.3127546225
2007-12-31,254024.96803959552
2008-01-31,254886.13577121915
2008-02-29,255013.89948503263
2008-03-31,254247.7571567481
2008-04-30,252828.6281778089
2008-05-31,251009.98562170565
2008-06-30,248907.0714985331
2008-07-31,246739.6400507112
2008-08-31,244377.18824223816
2008-09-30,242309.90115715843
2008-10-31,240372.70341776672
2008-11-30,238610.5755657023
2008-12-31,236675.26029567173
2009-01-31,234302.8731532259
2009-02-28,231954.6248216182
2009-03-31,229604.76269924664
2009-04-30,227761.10493894937
2009-05-31,225862.0191461464
2009-06-30,223986.9575175195
2009-07-31,222169.9713778445
2009-08-31,220432.298310544
2009-09-30,218781.59662385783
2009-10-31,217309.99735234003
2009-11-30,216265.81238483885
2009-12-31,215517.22030374443
2010-01-31,214777.91252789856
2010-02-28,214082.91507820904
2010-03-31,213483.30221127212
2010-04-30,213181.70207414203
2010-05-31,212845.15899412832
2010-06-30,212023.25174231548
2010-07-31,210553.0313694593
2010-08-31,208584.79339631635
2010-09-30,206870.9721656289
2010-10-31,205308.1701159568
2010-11-30,203647.0774721135
2010-12-31,201666.66794392024
2011-01-31,199811.54004900888
2011-02-28,198118.25137714413
2011-03-31,196950.28121669905
2011-04-30,195872.50124890977
2011-05-31,195054.6163001073
2011-06-30,194076.1393436247
2011-07-31,193256.13024385844
2011-08-31,192756.64210648905
2011-09-30,192047.17373043523
2011-10-31,191335.65359380865
2011-11-30,190595.8321291448
2011-12-31,190477.05544061048
2012-01-31,190478.17012950385
2012-02-29,190647.71852454267
2012-03-31,191181.05483185305
2012-04-30,192220.7687550288
2012-05-31,193664.6160170472
2012-06-30,195207.55225150936
2012-07-31,196671.23619380267
2012-08-31,198026.90123295144
2012-09-30,199484.13316563528
2012-10-31,200972.0367030499
2012-11-30,202753.59173656363
2012-12-31,204591.85958504755
2013-01-31,206619.70014314784
2013-02-28,208392.50528751197
2013-03-31,210130.88676504412
2013-04-30,212011.6211806131
2013-05-31,214288.8523552128
2013-06-30,216734.89245959383
2013-07-31,219043.34835611944
2013-08-31,221160.93664330392
