Date,Price
2000-01-31,115769.20649565068
2000-02-29,115944.42643425034
2000-03-31,116238.54199489964
2000-04-30,116815.31720697042
2000-05-31,117499.10187853308
2000-06-30,118134.12182094286
2000-07-31,118776.6697156472
2000-08-31,119436.72182649562
2000-09-30,120177.53327759472
2000-10-31,121058.66057253424
2000-11-30,121953.36286603252
2000-12-31,122840.47526811063
2001-01-31,123631.51728672325
2001-02-28,124517.14938354769
2001-03-31,125438.371006772
2001-04-30,126362.65667468922
2001-05-31,127219.26058282625
2001-06-30,128043.19772864447
2001-07-31,128880.89720859134
2001-08-31,129638.52278814114
2001-09-30,130395.68686899426
2001-10-31,131212.7067565939
2001-11-30,132195.42263441908
2001-12-31,133219.6824333217
2002-01-31,134288.57501761807
2002-02-28,135338.0090040381
2002-03-31,136425.86564486285
2002-04-30,137471.7376754904
2002-05-31,138456.26751348516
2002-06-30,139405.66995654127
2002-07-31,140257.47158750892
2002-08-31,141041.63213860986
2002-09-30,141741.30154991
2002-10-31,142473.34653722742
2002-11-30,143255.87672297683
2002-12-31,144091.38576013295
2003-01-31,144949.31534794936
2003-02-28,145869.0580541905
2003-03-31,146808.0083984563
2003-04-30,147694.91393927706
2003-05-31,148629.10737070517
2003-06-30,149613.52360425642
2003-07-31,150682.82400116025
2003-08-31,152207.67964677265
2003-09-30,
2003-10-31,156185.91912791642
2003-11-30,157584.10109266988
2003-12-31,158662.21171539053
2004-01-31,159575.70588211835
2004-02-29,160945.0538872429
2004-03-31,162420.8538916538
2004-04-30,164015.71723150185
2004-05-31,166024.42966819654
2004-06-30,168213.54712078383
2004-07-31,170251.00650940507
2004-08-31,171623.4717202871
2004-09-30,172824.56750040967
2004-10-31,174249.52899366972
2004-11-30,175906.75028133567
2004-12-31,177717.50337779117
2005-01-31,179488.7634996012
2005-02-28,181264.6564579271
2005-03-31,183033.7609709959
2005-04-30,185155.9959954449
2005-05-31,187110.32775212868
2005-06-30,188834.88638379716
2005-07-31,190343.8630278388
2005-08-31,192071.0686225991
2005-09-30,194115.96733723223
2005-10-31,196203.42990175716
2005-11-30,198034.09251705764
2005-12-31,199677.4853254553
2006-01-31,201066.60954080112
2006-02-28,202437.02384724576
2006-03-31,204003.42703421533
2006-04-30,205429.10051546208
2006-05-31,206905.3625321597
2006-06-30,208196.4068209358
2006-07-31,209457.13934003585
2006-08-31,210736.2999992889
2006-09-30,211917.8627780348
2006-10-31,213121.32488112268
2006-11-30,214351.9209754537
2006-12-31,215528.44613210892
2007-01-31,216709.32227098625
2007-02-28,217770.8884622861
2007-03-31,218428.81633340183
2007-04-30,218795.544875533
2007-05-31,219082.277296714
2007-06-30,219461.03934817648
2007-07-31,219680.46470530875
2007-08-31,219665.7902830884
2007-09-30,219821.3218635115
2007-10-31,220265.0351556132
2007-11-30,220944.32504302324
2007-12-31,221622.8223257085
2008-01-31,222744.50491449705
2008-02-29,223312.5816252794
2008-03-31,223640.9962569206
2008-04-30,223206.4850041977
2008-05-31,222776.4870407289
2008-06-30,222253.74266780808
2008-07-31,221591.399548522
2008-08-31,221192.52468243675
2008-09-30,220772.8638201264
2008-10-31,220349.3384363553
2008-11-30,219892.46039625863
2008-12-31,219489.31383328495
2009-01-31,219283.2497322284
2009-02-28,219166.3177286645
2009-03-31,219004.397847982
2009-04-30,218725.33836810105
2009-05-31,218463.98393183327
2009-06-30,218069.0497772264
2009-07-31,217400.39652873413
2009-08-31,216446.84305540027
2009-09-30,215526.6279052204
2009-10-31,214847.52935586683
2009-11-30,214334.7116940593
2009-12-31,213966.03697873175
2010-01-31,213638.90024756733
2010-02-28,213462.09201368608
2010-03-31,213507.96977283875
2010-04-30,213643.8000538701
2010-05-31,213728.44424542983
2010-06-30,213738.64221810063
2010-07-31,213956.20968372724
2010-08-31,214249.35143330685
2010-09-30,214392.6585331988
2010-10-31,214522.21375172504
2010-11-30,214675.1529289008
2010-12-31,214931.31727864384
2011-01-31,214916.62489132263
2011-02-28,214849.7293305079
2011-03-31,214693.2155395327
2011-04-30,214689.4889194424
2011-05-31,214446.395012094
2011-06-30,214238.2730286613
2011-07-31,214025.7700626916
2011-08-31,213818.287925505
2011-09-30,213580.2409298368
2011-10-31,213403.53841719896
2011-11-30,213589.0263048275
2011-12-31,213791.12976434137
2012-01-31,213927.824914269
2012-02-29,214304.5519012603
2012-03-31,215122.2019648317
2012-04-30,216282.86792074196
2012-05-31,217219.9982950498
2012-06-30,217916.44978884724
2012-07-31,218441.6370903347
2012-08-31,219039.06476826
2012-09-30,219615.50522445832
2012-10-31,219987.69043194997
2012-11-30,220079.57850562345
2012-12-31,220135.9631272985
2013-01-31,220567.2735301976
2013-02-28,221410.16899231749
2013-03-31,222450.10987645996
2013-04-30,223369.48573688875
2013-05-31,224217.4151851912
2013-06-30,225020.0610613397
2013-07-31,225582.16795274577
2013-08-31,226098.62782426795
2013-09-30,226661.2236504752
2013-10-31,227208.3960814844
2013-11-30,226985.5972839784
2013-12-31,226469.5527162914
2014-01-31,226068.0904047056
2014-02-28,226261.4889947888
2014-03-31,226663.75487116328
2014-04-30,226937.86588440483
2014-05-31,227681.8357084495
2014-06-30,228365.60740385455
2014-07-31,229321.0908575756
2014-08-31,229895.35469818691
2014-09-30,230504.99702662983
2014-10-31,230617.361540236
2014-11-30,230490.4364166489
2014-12-31,230204.64687164803
2015-01-31,230214.96320644693
2015-02-28,230721.0053718932
2015-03-31,231386.4976066161
2015-04-30,232234.42114195056
2015-05-31,233182.1848906212
2015-06-30,234103.70748094103
