Date,Price
2000-01-31,126488.58143464728
2000-02-29,126825.67055096336
2000-03-31,127174.28767369392
2000-04-30,127830.56370585166
2000-05-31,128462.01915566652
2000-06-30,129076.16439538694
2000-07-31,129825.52586145216
2000-08-31,130694.45726939631
2000-09-30,131631.91074016583
2000-10-31,132509.29084551262
2000-11-30,133406.19010976725
2000-12-31,134327.83447699135
2001-01-31,135260.5390781179
2001-02-28,136086.300519232
2001-03-31,136930.7174627599
2001-04-30,137806.6998354286
2001-05-31,138766.24542269853
2001-06-30,139726.74358295696
2001-07-31,140765.40593843613
2001-08-31,141815.03545782497
2001-09-30,142895.70503803398
2001-10-31,143932.3245816986
2001-11-30,145002.15739606414
2001-12-31,146018.26457655212
2002-01-31,146971.27634218885
2002-02-28,147921.2234905325
2002-03-31,148915.79102634426
2002-04-30,150034.44678817666
2002-05-31,151180.21938375497
2002-06-30,152445.17620474892
2002-07-31,153788.18173799964
2002-08-31,155223.05099591418
2002-09-30,156655.98542638865
2002-10-31,158047.63093201944
2002-11-30,159352.79315247922
2002-12-31,160568.69712881983
2003-01-31,161644.36847423358
2003-02-28,162725.43055906778
2003-03-31,163879.18796772964
2003-04-30,165205.49285982666
2003-05-31,166672.2519920977
2003-06-30,168222.53481133588
2003-07-31,169928.5083662623
2003-08-31,171702.55359734336
2003-09-30,173537.10465343468
2003-10-31,175417.79661722563
2003-11-30,177232.56540025436
2003-12-31,178978.3394754258
2004-01-31,180565.64951745069
2004-02-29,182312.50624229512
2004-03-31,184345.4416316958
2004-04-30,186758.3731419392
2004-05-31,189635.2751802239
2004-06-30,192926.86043625235
2004-07-31,196670.6812338455
2004-08-31,200620.7458957008
2004-09-30,204564.57844357545
2004-10-31,208086.5123465468
2004-11-30,211157.84867159984
2004-12-31,214112.09729096343
2005-01-31,217086.8336449084
2005-02-28,220033.5168796062
2005-03-31,223144.42154144935
2005-04-30,226681.1172046054
2005-05-31,230851.8324513208
2005-06-30,235093.84105571872
2005-07-31,239265.88011474736
2005-08-31,243073.8394406853
2005-09-30,246825.5133924524
2005-10-31,250187.94201444232
2005-11-30,253295.1858094485
2005-12-31,255925.65647010528
2006-01-31,258250.25398435653
2006-02-28,260507.04703668552
2006-03-31,262780.0142984226
2006-04-30,264889.07463890576
2006-05-31,266516.8593652347
2006-06-30,267695.4446303644
2006-07-31,268732.601286158
2006-08-31,269462.6460749798
2006-09-30,269720.49957434606
2006-10-31,269615.4461809932
2006-11-30,269437.7156635068
2006-12-31,269330.7791191204
2007-01-31,269157.1013819643
2007-02-28,269095.8206250914
2007-03-31,269077.66455648193
2007-04-30,269237.06873435
2007-05-31,269051.8732071324
2007-06-30,268465.8185792041
2007-07-31,267365.8692069284
2007-08-31,266162.4199376866
2007-09-30,265056.6656317896
2007-10-31,264141.6592946904
2007-11-30,263244.2199144629
2007-12-31,262035.79661420124
2008-01-31,260573.61847397164
2008-02-29,258909.64777249517
2008-03-31,256952.5407372857
2008-04-30,254748.9782138986
2008-05-31,252413.9245341716
2008-06-30,250393.99462346197
2008-07-31,248298.62577564316
2008-08-31,245932.38701037352
2008-09-30,243456.3289470689
2008-10-31,241360.30229473615
2008-11-30,239624.02546937772
2008-12-31,238066.35216326363
2009-01-31,236419.61594973147
2009-02-28,234848.6744716424
2009-03-31,233294.2435975716
2009-04-30,231861.3904682198
2009-05-31,230603.127170332
2009-06-30,229454.6589149552
2009-07-31,228455.0145922888
2009-08-31,227449.35702485128
2009-09-30,226456.89914523088
2009-10-31,225544.72931119183
2009-11-30,225016.2136109256
