Date,Price
2000-01-31,73417.18580282132
2000-02-29,73414.14558741282
2000-03-31,73438.81666112662
2000-04-30,73499.34700704634
2000-05-31,73615.85880323286
2000-06-30,73808.18859746987
2000-07-31,74060.11282428038
2000-08-31,74392.10120907945
2000-09-30,74691.3382324543
2000-10-31,75039.3044505832
2000-11-30,75493.27302710648
2000-12-31,76080.97957046829
2001-01-31,76795.86274086876
2001-02-28,77243.29233860654
2001-03-31,77581.53862849937
2001-04-30,77738.74114800402
2001-05-31,78047.74840256367
2001-06-30,78362.53758951552
2001-07-31,78678.26908014351
2001-08-31,78970.8876982516
2001-09-30,79219.55296746925
2001-10-31,79487.94280214387
2001-11-30,79651.24760312395
2001-12-31,79761.62338189238
2002-01-31,79851.25021221039
2002-02-28,80053.86440767185
2002-03-31,80344.02814119437
2002-04-30,80594.35627459573
2002-05-31,80809.03882943162
2002-06-30,81016.43854591632
2002-07-31,81270.0603661862
2002-08-31,81564.60725501862
2002-09-30,81856.63194885953
2002-10-31,82234.33904777434
2002-11-30,82488.80006091835
2002-12-31,82678.85797227308
2003-01-31,82785.15446960053
2003-02-28,83067.97998191364
2003-03-31,83434.0013952093
2003-04-30,83837.37367142875
2003-05-31,84234.25532944313
2003-06-30,84637.68462143438
2003-07-31,85055.418546119
2003-08-31,85362.32284531402
2003-09-30,85624.14286855016
2003-10-31,85817.67418206763
2003-11-30,86095.00866910341
2003-12-31,86433.93738431617
2004-01-31,86888.27169584674
2004-02-29,87406.58856153388
2004-03-31,88023.5113394371
2004-04-30,88572.45629066967
2004-05-31,89082.86782552286
2004-06-30,89569.4903976867
2004-07-31,90193.44477168516
2004-08-31,90865.03730304768
2004-09-30,91532.37176014073
2004-10-31,92158.48533494964
2004-11-30,92772.33006243866
2004-12-31,93367.19898995858
2005-01-31,94022.66891012467
2005-02-28,94731.07383422634
2005-03-31,95332.7361194472
2005-04-30,95856.3570596596
2005-05-31,96452.58577211034
2005-06-30,97212.18030211066
2005-07-31,98045.21238655056
2005-08-31,98548.07921997024
2005-09-30,98943.60499601415
2005-10-31,99245.3112790878
