Date,Price
2000-01-31,121863.24556048033
2000-02-29,121837.0888854054
2000-03-31,121976.27243591136
2000-04-30,122174.50773840712
2000-05-31,122558.66643557714
2000-06-30,123008.02319239866
2000-07-31,123608.71448864702
2000-08-31,124273.90530280925
2000-09-30,124943.969908411
2000-10-31,125603.45037345414
2000-11-30,126221.9298753768
2000-12-31,126830.86281044774
2001-01-31,127391.48059718568
2001-02-28,127936.30497017968
2001-03-31,128477.57696310634
2001-04-30,129071.89750731376
2001-05-31,129681.61562080593
2001-06-30,130322.78006612814
2001-07-31,131001.57574321808
2001-08-31,131727.01211572575
2001-09-30,132463.02066534545
2001-10-31,133187.09317783618
2001-11-30,133874.63105824593
2001-12-31,134534.77269223743
2002-01-31,135154.6281061962
2002-02-28,135727.29953433792
2002-03-31,136246.47676859685
2002-04-30,136736.75436760334
2002-05-31,137254.24345062385
2002-06-30,137815.82753513564
2002-07-31,138412.38388419393
2002-08-31,139083.85376339863
2002-09-30,139779.0724817289
2002-10-31,140560.8636475947
2002-11-30,141291.6963094899
2002-12-31,142000.9124823423
2003-01-31,142587.71536468234
2003-02-28,143134.78527466662
2003-03-31,143741.2995388799
2003-04-30,144386.66770502026
2003-05-31,145191.87417188694
2003-06-30,146088.4446117739
2003-07-31,147117.2634935984
2003-08-31,148294.49736566326
2003-09-30,149548.91516825437
2003-10-31,150869.48461600256
2003-11-30,151890.85738920394
2003-12-31,152722.2891428773
2004-01-31,153410.5092479379
2004-02-29,154206.61320872512
2004-03-31,155020.7675268266
2004-04-30,155981.89481947143
2004-05-31,157200.67309694484
2004-06-30,158630.412726292
2004-07-31,160240.18881555737
2004-08-31,161626.27637192383
2004-09-30,162901.78814138673
2004-10-31,164036.9463938886
2004-11-30,165191.52886453303
2004-12-31,166300.43663978903
2005-01-31,167027.4686973894
2005-02-28,167550.41060270634
2005-03-31,168048.01917185844
2005-04-30,168919.59944694975
2005-05-31,170080.6506221136
2005-06-30,171406.61530337107
2005-07-31,172760.74450663372
2005-08-31,174074.68175623257
2005-09-30,175227.41354910075
2005-10-31,176182.71499852603
2005-11-30,176963.29272605028
2005-12-31,177593.53664631126
2006-01-31,178075.110574731
2006-02-28,178552.0544944669
2006-03-31,178960.40699201272
2006-04-30,179371.71380516808
2006-05-31,179699.52187081522
2006-06-30,179957.61587739945
2006-07-31,180121.91611921962
2006-08-31,180316.72192082065
2006-09-30,180606.9593025966
2006-10-31,180951.6245015628
2006-11-30,181229.280250862
2006-12-31,181409.1538638659
2007-01-31,181673.94552828875
2007-02-28,181909.2422265676
2007-03-31,182178.76717494024
2007-04-30,182345.3904103409
2007-05-31,182418.1330907923
2007-06-30,182405.12590109187
2007-07-31,182199.59494027987
2007-08-31,182059.5316740888
2007-09-30,181960.51771940137
2007-10-31,181990.7104749598
2007-11-30,181960.44090287187
2007-12-31,181904.1471080218
2008-01-31,181794.6442058849
2008-02-29,181470.450986484
2008-03-31,180879.87902546415
2008-04-30,180145.4172780568
2008-05-31,179471.90000651975
2008-06-30,178987.61094731966
2008-07-31,178505.97443645843
2008-08-31,177950.80123405778
2008-09-30,177244.8259378207
2008-10-31,176267.85232127493
2008-11-30,175091.1298304886
2008-12-31,173924.33609783626
2009-01-31,172395.49011958632
2009-02-28,171305.74268554084
2009-03-31,170381.94468234314
2009-04-30,170138.4728737294
2009-05-31,169722.71537037494
2009-06-30,169287.0557580513
2009-07-31,168692.26153358808
2009-08-31,168215.45857352926
2009-09-30,167694.8555312386
2009-10-31,167170.9296549425
2009-11-30,166601.85556490198
2009-12-31,166131.04391534816
2010-01-31,166030.19344766936
2010-02-28,166246.9573085093
2010-03-31,166638.77925920053
2010-04-30,167002.32323582022
2010-05-31,167227.7777133856
2010-06-30,167102.16568334887
2010-07-31,166651.37329652187
2010-08-31,165675.47309882074
2010-09-30,164288.9663093175
2010-10-31,162805.92584322457
2010-11-30,161375.59603576807
2010-12-31,160167.1926216009
2011-01-31,159120.7773629021
2011-02-28,158110.23289261988
2011-03-31,157187.35175240866
2011-04-30,156212.33513495457
2011-05-31,155295.8542490365
2011-06-30,154471.75197023925
2011-07-31,153647.29082078126
2011-08-31,153007.55680680135
2011-09-30,152500.9758825968
2011-10-31,152014.53733438707
2011-11-30,151599.76560805886
2011-12-31,151070.55067262848
2012-01-31,150687.6687138001
2012-02-29,150434.3926374679
2012-03-31,150401.4096778436
2012-04-30,150597.83783751365
2012-05-31,150988.998393252
2012-06-30,151427.12694335016
2012-07-31,151767.55332850595
2012-08-31,151937.64983633196
2012-09-30,152135.99940034127
2012-10-31,152384.3382488594
2012-11-30,152519.39671619708
2012-12-31,152606.4449350372
2013-01-31,152775.8169396139
2013-02-28,153182.32893990283
2013-03-31,153693.23409172284
2013-04-30,154244.73548847556
2013-05-31,154852.7666609071
2013-06-30,155504.192739381
2013-07-31,156067.4229648539
2013-08-31,156740.21762396672
2013-09-30,157339.0030256764
2013-10-31,157942.7376306704
2013-11-30,158053.2547928854
2013-12-31,158245.0073532927
2014-01-31,158489.21346202123
2014-02-28,159101.0166472691
2014-03-31,159805.1794641092
2014-04-30,160590.60208746511
2014-05-31,161377.50109071724
2014-06-30,162006.78072800065
2014-07-31,162506.7166251636
2014-08-31,162776.87796313458
2014-09-30,162782.88505790094
2014-10-31,162512.8386933256
2014-11-30,162337.63798210086
2014-12-31,162431.19249655405
2015-01-31,162854.42431511337
2015-02-28,163378.05006060793
2015-03-31,163989.3114876271
2015-04-30,164689.9860123983
2015-05-31,165488.062451252
2015-06-30,166178.6849817201
2015-07-31,166695.95553908512
2015-08-31,167151.69875090383
2015-09-30,167579.38185937636
2015-10-31,168228.0060757508
2015-11-30,168898.0148478314
2015-12-31,169857.6218195099
2016-01-31,170860.94812657638
2016-02-29,171784.80391638595
2016-03-31,172370.72738592944
2016-04-30,173009.44807382044
2016-05-31,173667.8625098723
2016-06-30,174401.31359553037
2016-07-31,174713.29922646002
2016-08-31,175103.56303672958
2016-09-30,175713.5732186141
2016-10-31,176733.48861905292
2016-11-30,177849.00357605578
2016-12-31,178979.1317867878
2017-01-31,179997.68366530235
2017-02-28,180799.80249209504
2017-03-31,181593.3841219114
2017-04-30,182459.1174373858
2017-05-31,183401.9352279425
2017-06-30,184325.2098755115
2017-07-31,185218.92857201572
2017-08-31,185964.42240696703
2017-09-30,186715.57670267115
