Date,Price
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,145050.13578645402
2002-05-31,143759.47760997494
2002-06-30,143174.431017076
2002-07-31,142282.11044146746
2002-08-31,142364.04378702145
2002-09-30,142934.73116111537
2002-10-31,143443.49495972073
2002-11-30,143888.26497899508
2002-12-31,144112.1433728118
2003-01-31,144453.91188048152
2003-02-28,144844.75089336126
2003-03-31,145151.21293658804
2003-04-30,145509.84722212362
2003-05-31,146246.3491577536
2003-06-30,147292.90873138825
2003-07-31,148318.01809671926
2003-08-31,149139.2988601176
2003-09-30,149798.35023082138
2003-10-31,150478.76762992085
2003-11-30,151123.05568118955
2003-12-31,151660.37136192992
2004-01-31,152111.1068539899
2004-02-29,152575.88336353612
2004-03-31,153196.28355572722
2004-04-30,154041.6609507146
2004-05-31,155208.46551671062
2004-06-30,156652.7315418889
2004-07-31,158158.4304452845
2004-08-31,159692.9417782141
2004-09-30,161104.13987794946
2004-10-31,162347.45601206788
2004-11-30,163426.08230956437
2004-12-31,164621.0516298193
2005-01-31,165846.80159459778
2005-02-28,166843.3503458882
2005-03-31,167603.42689207176
2005-04-30,168133.57526347495
2005-05-31,169067.65571914235
2005-06-30,170168.78926961013
2005-07-31,171621.74299369732
2005-08-31,172832.10165615985
2005-09-30,174046.96250087194
2005-10-31,175302.53011217143
2005-11-30,176538.90908292416
2005-12-31,177760.3875508622
2006-01-31,178900.96190629806
2006-02-28,180120.0769040664
2006-03-31,181325.31593839775
2006-04-30,182659.3083593453
2006-05-31,184378.16846689195
2006-06-30,186305.3626407798
2006-07-31,188349.3483804654
2006-08-31,189916.84642721096
2006-09-30,191291.44815870305
2006-10-31,192701.3109256723
2006-11-30,194251.57371431863
2006-12-31,195670.4980722349
2007-01-31,196789.5295646074
2007-02-28,197662.2798370796
2007-03-31,198601.1743356857
2007-04-30,199705.1690026411
2007-05-31,201000.1454768999
2007-06-30,202436.3051028061
2007-07-31,203513.7554382734
2007-08-31,204308.0488434293
2007-09-30,204856.33050301136
2007-10-31,205463.0849614952
2007-11-30,205991.55272415475
2007-12-31,206394.5799387081
2008-01-31,206659.5609703157
2008-02-29,206896.14379824567
2008-03-31,207104.51863244188
2008-04-30,207140.72405842924
2008-05-31,207007.51526328252
2008-06-30,206696.8294324464
2008-07-31,206453.56819722653
2008-08-31,206236.86896528536
2008-09-30,205989.7307612763
2008-10-31,205643.8136620488
2008-11-30,205382.43858140707
2008-12-31,205244.5196927708
2009-01-31,205222.8179875858
2009-02-28,205104.7476881356
2009-03-31,204701.98067660924
2009-04-30,204092.40297462512
2009-05-31,203657.33557612204
2009-06-30,203379.3205358789
2009-07-31,203129.82979242795
2009-08-31,202576.8737722131
2009-09-30,201913.10573352504
2009-10-31,201226.7893096651
2009-11-30,200503.90932439597
2009-12-31,199975.74277337024
2010-01-31,199638.1712069084
2010-02-28,199574.6239359361
2010-03-31,199580.22912272983
2010-04-30,199680.69729732076
2010-05-31,200035.6013613548
2010-06-30,200403.35952884905
2010-07-31,200505.7822843863
2010-08-31,200268.5283108178
2010-09-30,199897.0420438192
2010-10-31,199643.83930686023
2010-11-30,199296.95080260665
2010-12-31,198985.59486045945
2011-01-31,198776.0909863765
2011-02-28,198735.6124219643
2011-03-31,198764.65176978
2011-04-30,198709.32827964847
2011-05-31,198448.57955924797
2011-06-30,197860.38422618876
2011-07-31,197369.31935905025
2011-08-31,197154.3887395665
2011-09-30,197274.3325179972
2011-10-31,197260.2598669933
2011-11-30,197347.99671749244
2011-12-31,197519.86733012483
2012-01-31,198121.3892611516
2012-02-29,198860.90662730127
2012-03-31,199850.5202806144
2012-04-30,200842.27504583003
2012-05-31,202043.18858336116
2012-06-30,203284.0138735677
2012-07-31,204454.5117725592
2012-08-31,205293.9952755014
2012-09-30,206213.90074581176
2012-10-31,207027.01196643573
2012-11-30,207917.1837262644
2012-12-31,208488.00524407884
2013-01-31,209244.95807414377
2013-02-28,209976.7856882886
2013-03-31,210694.95481592268
2013-04-30,211286.5564069192
2013-05-31,211760.7215502397
2013-06-30,212174.39556706315
2013-07-31,212163.0549655248
2013-08-31,212124.7535396877
2013-09-30,212266.3952519292
2013-10-31,212721.9372516449
2013-11-30,212949.36312540932
2013-12-31,212984.6560928832
2014-01-31,212936.93996036224
2014-02-28,212981.53610567623
2014-03-31,213077.5210427008
2014-04-30,213261.1279756103
2014-05-31,213888.86901578456
2014-06-30,214397.86964176348
2014-07-31,215111.03907074544
2014-08-31,215717.12576599908
2014-09-30,216525.66328449888
2014-10-31,217034.8668423829
2014-11-30,217455.89464117648
2014-12-31,218134.6467561581
2015-01-31,219207.89109052948
2015-02-28,220698.46823101817
2015-03-31,222207.72751170164
2015-04-30,223613.5408800639
2015-05-31,224793.71613626
2015-06-30,225887.70806651088
2015-07-31,227310.98655898648
2015-08-31,228897.06809888905
2015-09-30,230536.1568740065
2015-10-31,231772.2542746189
2015-11-30,232617.63657607936
2015-12-31,233008.09073497364
2016-01-31,233365.5911042831
2016-02-29,233845.17176611084
2016-03-31,234199.14680805823
2016-04-30,234266.1880755504
2016-05-31,234246.36903677147
2016-06-30,234325.2243398147
2016-07-31,234192.92560979436
2016-08-31,233777.87392462883
2016-09-30,233157.60016939143
2016-10-31,232886.6164195383
2016-11-30,232951.4606936404
2016-12-31,233362.7765352108
2017-01-31,233720.1468324747
2017-02-28,233838.88445384253
2017-03-31,233829.41557547776
2017-04-30,234065.77921313816
2017-05-31,234311.96653376223
2017-06-30,234556.85253093587
2017-07-31,234575.4861450992
2017-08-31,234586.1027415613
2017-09-30,234664.61880090716
2017-10-31,234926.8687268177
2017-11-30,235323.28665193045
2017-12-31,235824.95018244244
2018-01-31,236238.89449376037
2018-02-28,236455.07297472717
2018-03-31,236817.45538578855
2018-04-30,236978.8921456392
2018-05-31,237250.1335828177
2018-06-30,237190.61413235695
2018-07-31,237765.831113991
2018-08-31,238542.8871153753
2018-09-30,239705.79661743925
2018-10-31,240462.19181306256
2018-11-30,241103.23624451828
2018-12-31,241513.88794239785
2019-01-31,242063.80376708807
2019-02-28,242921.17114284396
2019-03-31,244214.95773194009
2019-04-30,245700.3820522205
2019-05-31,246980.52011908876
2019-06-30,248388.2116375717
2019-07-31,249765.57817177
2019-08-31,251430.29357813136
2019-09-30,252656.233394825
2019-10-31,253990.49745381853
2019-11-30,255378.6901107864
2019-12-31,257128.01364629852
2020-01-31,258362.8739837788
2020-02-29,259313.68902249937
2020-03-31,260207.83491708428
2020-04-30,261481.7233259156
2020-05-31,262603.5269018625
2020-06-30,263472.46290680865
2020-07-31,264406.1912734871
2020-08-31,265918.14999508084
2020-09-30,268136.7037840593
2020-10-31,270535.1695652734
2020-11-30,273277.37195102463
2020-12-31,275789.6406941809
2021-01-31,278202.36376500555
2021-02-28,280596.81870811764
2021-03-31,283356.7092549424
2021-04-30,286373.7105865478
2021-05-31,289195.4803964996
2021-06-30,291630.0616813892
2021-07-31,293823.7667135552
2021-08-31,295809.5263269809
2021-09-30,297543.0023465604
2021-10-31,299618.5319121385
2021-11-30,302209.9117138612
2021-12-31,305079.71184253506
2022-01-31,308444.9016455827
2022-02-28,311627.1006205776
2022-03-31,315372.568792866
2022-04-30,318815.07330034766
2022-05-31,322177.48629498365
2022-06-30,325538.38398034725
2022-07-31,327993.419043819
2022-08-31,329217.53039316885
2022-09-30,329117.7301389297
2022-10-31,329471.4552792455
2022-11-30,330195.4737785158
2022-12-31,330695.9685506282
2023-01-31,330369.21190194093
2023-02-28,329854.6938185959
2023-03-31,329941.97775233263
2023-04-30,330905.95016937883
2023-05-31,332650.1737136858
2023-06-30,334710.9557548289
2023-07-31,336405.1079016958
2023-08-31,338069.4240998449
2023-09-30,339409.1597181628
2023-10-31,340701.36065210245
2023-11-30,341116.23000203684
2023-12-31,340777.9615809169
2024-01-31,340259.2901872854
2024-02-29,340520.3172044624
2024-03-31,341736.68937220884
2024-04-30,343331.2848817328
